"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0979,0.0975,0.0975,0.0979,0.0976,0.0978,0.0975,0.0979,0.0975,0.0979
"baselineHL",0.0518,0.0517,0.0517,0.0518,0.0517,0.0518,0.0517,0.0518,0.0517,0.0518
"baselineRL",0.0518,0.0517,0.0517,0.0518,0.0517,0.0518,0.0517,0.0518,0.0517,0.0518
"baselineSA",0.0518,0.0515,0.0515,0.0518,0.0515,0.0518,0.0515,0.0518,0.0515,0.0518
"BR-C5.0",0.5812,0.5764,0.5713,0.5699,0.5814,0.5744,0.5748,0.5779,0.5744,0.565
"BR-LR",0.7696,0.7639,0.7657,0.767,0.7688,0.7603,0.7628,0.7712,0.7639,0.7698
"BR-RF",0.7812,0.778,0.7786,0.7759,0.7796,0.7719,0.7766,0.7805,0.7799,0.7796
"BR-SVM",0.7689,0.7645,0.7656,0.7668,0.7694,0.7602,0.7621,0.7709,0.7639,0.7693
"BR-XGB",0.7553,0.755,0.7609,0.7542,0.757,0.7539,0.7538,0.7572,0.7581,0.7579
"BR+-C5.0",0.5592,0.5626,0.5525,0.56,0.5591,0.5481,0.5532,0.5599,0.5549,0.5458
"BR+-LR",0.7691,0.7646,0.7662,0.768,0.7677,0.7608,0.7622,0.7703,0.764,0.7701
"BR+-RF",0.773,0.7621,0.7618,0.7699,0.7613,0.7637,0.7568,0.7693,0.761,0.7713
"BR+-SVM",0.7682,0.7637,0.7659,0.7678,0.7693,0.7604,0.7629,0.7711,0.7639,0.7699
"BR+-XGB",0.7498,0.7515,0.7538,0.7502,0.7512,0.75,0.7495,0.7528,0.7554,0.7538
"CC-C5.0",0.5764,0.5765,0.5761,0.57,0.5903,0.5757,0.5746,0.5124,0.5781,0.5648
"CC-LR",0.7688,0.7641,0.7641,0.7679,0.7681,0.7608,0.7624,0.7699,0.7628,0.7705
"CC-RF",0.7726,0.7746,0.7751,0.7708,0.779,0.767,0.7701,0.7727,0.7712,0.7716
"CC-SVM",0.7683,0.7646,0.7644,0.7678,0.7681,0.7607,0.7626,0.7704,0.7633,0.7706
"CC-XGB",0.6642,0.6821,0.6808,0.6702,0.6784,0.6725,0.6788,0.6698,0.6816,0.6725
"DBR-C5.0",0.5666,0.5672,0.5751,0.5624,0.5759,0.5608,0.5691,0.5644,0.5766,0.5626
"DBR-LR",0.7689,0.764,0.7651,0.7673,0.7688,0.7608,0.7629,0.7703,0.764,0.7698
"DBR-RF",0.7789,0.7797,0.7781,0.7775,0.7821,0.7729,0.7762,0.7776,0.7769,0.777
"DBR-SVM",0.7692,0.7649,0.7652,0.7676,0.7687,0.7613,0.7632,0.7703,0.7643,0.7695
"DBR-XGB",0.7547,0.7532,0.7578,0.7537,0.7559,0.7522,0.7509,0.7566,0.7575,0.7586
"EBR-C5.0",0.6513,0.6576,0.6622,0.6562,0.6524,0.6538,0.6566,0.6625,0.6545,0.6612
"EBR-LR",0.7359,0.7325,0.7377,0.7334,0.7365,0.7287,0.7301,0.7412,0.7248,0.7441
"EBR-RF",0.7726,0.7702,0.774,0.7733,0.7729,0.7662,0.7696,0.773,0.7725,0.7721
"EBR-SVM",0.7632,0.7571,0.7559,0.7661,0.7615,0.7564,0.7547,0.7652,0.7582,0.7651
"EBR-XGB",0.7612,0.7603,0.7594,0.7625,0.7625,0.7584,0.7579,0.767,0.7607,0.7623
"ECC-C5.0",0.655,0.6575,0.6478,0.6507,0.653,0.6445,0.66,0.6552,0.6567,0.652
"ECC-LR",0.7385,0.7404,0.7359,0.7327,0.7318,0.7357,0.7312,0.7353,0.7327,0.7398
"ECC-RF",0.7663,0.77,0.774,0.7665,0.7714,0.7673,0.7687,0.7708,0.7663,0.7704
"ECC-SVM",0.7634,0.7587,0.7582,0.765,0.7553,0.7566,0.7567,0.7668,0.7533,0.7625
"ECC-XGB",0.7242,0.7321,0.7398,0.7278,0.734,0.7246,0.7435,0.7279,0.7465,0.7226
"MBR-C5.0",0.5839,0.5838,0.5802,0.5731,0.5899,0.5803,0.5886,0.583,0.5826,0.5735
"MBR-LR",0.7692,0.7643,0.765,0.767,0.7684,0.76,0.7626,0.7705,0.7632,0.7693
"MBR-RF",0.7804,0.7777,0.7789,0.778,0.7811,0.7753,0.7776,0.78,0.7764,0.7776
"MBR-SVM",0.7686,0.764,0.7648,0.7674,0.7685,0.7599,0.7621,0.7698,0.7637,0.7688
"MBR-XGB",0.7552,0.7553,0.7616,0.7541,0.7574,0.7536,0.7541,0.7573,0.7587,0.7579
"NS-C5.0",0.5837,0.5758,0.573,0.5737,0.5831,0.5752,0.5746,0.5784,0.5749,0.5647
"NS-LR",0.7644,0.7603,0.7612,0.7633,0.7639,0.7548,0.7579,0.7656,0.7597,0.7664
"NS-RF",0.7735,0.7744,0.776,0.7737,0.7755,0.7716,0.7704,0.7754,0.7727,0.7723
"NS-SVM",0.77,0.766,0.766,0.7672,0.7696,0.7608,0.7633,0.7709,0.7652,0.7701
"NS-XGB",0.7345,0.7375,0.7456,0.7385,0.7406,0.7363,0.7393,0.7426,0.7394,0.7384
"PruDent-C5.0",0.5812,0.5764,0.5713,0.5699,0.5814,0.5744,0.5748,0.5779,0.5744,0.565
"PruDent-LR",0.7684,0.7643,0.765,0.7668,0.7685,0.7603,0.7622,0.7699,0.7636,0.7687
"PruDent-RF",0.7784,0.7774,0.7786,0.7752,0.7827,0.7751,0.7785,0.7786,0.7773,0.7794
"PruDent-SVM",0.7688,0.7639,0.765,0.7672,0.7688,0.7603,0.7634,0.7703,0.7637,0.7689
"PruDent-XGB",0.7553,0.755,0.7609,0.7542,0.757,0.7539,0.7538,0.7572,0.7581,0.7579
"RDBR-C5.0",0.5595,0.5572,0.5382,0.5562,0.5613,0.5496,0.5552,0.5615,0.5409,0.5478
"RDBR-LR",0.7677,0.764,0.7652,0.7683,0.7681,0.7609,0.7638,0.7699,0.7636,0.7698
"RDBR-RF",0.7665,0.7558,0.7586,0.7691,0.7564,0.761,0.7531,0.7686,0.7562,0.7686
"RDBR-SVM",0.7685,0.764,0.7652,0.7678,0.7683,0.7617,0.7635,0.7704,0.7634,0.7698
"RDBR-XGB",0.75,0.7481,0.7532,0.7503,0.7512,0.7501,0.7485,0.7525,0.7517,0.7541
