"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.2033,0.2044,0.2027,0.205,0.2043,0.2035,0.2041,0.2036,0.2033,0.2044
"baseline-HL",0.0998,0.0998,0.0977,0.1019,0.1001,0.0995,0.0995,0.1001,0.0986,0.101
"baseline-RL",0.187,0.1873,0.1858,0.1885,0.1876,0.1867,0.187,0.1873,0.1868,0.1875
"baseline-SA",0.0258,0.0856,0.0257,0.0855,0.0862,0.0257,0.1111,0.0852,0.0265,0.0859
"BR-C5.0",0.1229,0.1303,0.1218,0.1248,0.1268,0.1163,0.1135,0.1276,0.1116,0.1223
"BR+-C5.0",0.1029,0.1109,0.1075,0.101,0.1101,0.1018,0.1009,0.1044,0.0987,0.1045
"CC-C5.0",0.1215,0.1309,0.1217,0.1303,0.1294,0.1217,0.1153,0.1278,0.1205,0.1309
"DBR-C5.0",0.1037,0.1081,0.1045,0.0988,0.1067,0.1015,0.1009,0.105,0.0985,0.1019
"EBR-C5.0",0.2107,0.217,0.215,0.2206,0.2133,0.2159,0.2131,0.2175,0.2106,0.2132
"ECC-C5.0",0.2135,0.2195,0.2172,0.2264,0.2094,0.2128,0.2115,0.2193,0.2179,0.2024
"MBR-C5.0",0.1205,0.1321,0.118,0.1238,0.1265,0.1164,0.1127,0.1274,0.1117,0.1212
"NS-C5.0",0.1111,0.1317,0.1286,0.1234,0.1266,0.1049,0.1152,0.1305,0.1119,0.1267
"PruDent-C5.0",0.1207,0.1279,0.1215,0.1246,0.1257,0.1134,0.1115,0.1248,0.1101,0.1216
"RDBR-C5.0",0.1059,0.106,0.1067,0.103,0.1085,0.1029,0.0947,0.1046,0.0981,0.1008
"BR-LR",0.1587,0.1574,0.1656,0.16,0.1627,0.1593,0.1587,0.1679,0.1649,0.1564
"BR+-LR",0.1708,0.1761,0.1652,0.167,0.1729,0.1704,0.1656,0.1742,0.1725,0.1711
"CC-LR",0.1625,0.167,0.158,0.162,0.1699,0.1587,0.1566,0.1635,0.1732,0.1557
"DBR-LR",0.1707,0.1769,0.1726,0.1632,0.1656,0.1715,0.1627,0.1726,0.1719,0.1694
"EBR-LR",0.221,0.2213,0.2203,0.2189,0.2244,0.2183,0.2222,0.2234,0.22,0.2248
"ECC-LR",0.2199,0.2285,0.2269,0.2276,0.2275,0.2299,0.2236,0.2321,0.2301,0.2295
"MBR-LR",0.1708,0.1681,0.1767,0.1729,0.1753,0.17,0.1659,0.1793,0.1728,0.1656
"NS-LR",0.1531,0.173,0.1743,0.1611,0.1728,0.1625,0.1587,0.1754,0.1686,0.1743
"PruDent-LR",0.1637,0.1617,0.1668,0.1615,0.1649,0.1628,0.1584,0.1705,0.1641,0.1565
"RDBR-LR",0.1601,0.1744,0.1687,0.1577,0.1717,0.1712,0.1745,0.1623,0.1718,0.1754
"BR-RF",0.1701,0.1645,0.1645,0.1711,0.1651,0.1699,0.1602,0.1741,0.17,0.166
"BR+-RF",0.1621,0.1574,0.1607,0.1619,0.1578,0.1624,0.1548,0.1626,0.1586,0.1623
"CC-RF",0.1705,0.1713,0.1699,0.1705,0.1683,0.1734,0.1627,0.1711,0.1715,0.1692
"DBR-RF",0.1614,0.1568,0.1632,0.163,0.1559,0.1604,0.1532,0.1575,0.1619,0.161
"EBR-RF",0.2482,0.2443,0.2424,0.2447,0.2421,0.2392,0.2387,0.2438,0.245,0.2409
"ECC-RF",0.2497,0.2476,0.2455,0.2471,0.2471,0.2491,0.2412,0.2461,0.2458,0.2476
"MBR-RF",0.1699,0.1644,0.1662,0.1711,0.1643,0.1723,0.1598,0.1743,0.1707,0.1689
"NS-RF",0.1629,0.174,0.1774,0.1742,0.1684,0.1763,0.1689,0.1772,0.1713,0.1843
"PruDent-RF",0.1714,0.1652,0.1648,0.1701,0.1644,0.1731,0.1606,0.1725,0.1697,0.1678
"RDBR-RF",0.159,0.1585,0.1618,0.1665,0.16,0.1646,0.1566,0.1634,0.1591,0.1614
"BR-SVM",0.1605,0.1567,0.1647,0.1575,0.1609,0.1594,0.1574,0.1667,0.1621,0.1565
"BR+-SVM",0.1642,0.1724,0.1699,0.1653,0.1742,0.1687,0.1678,0.1699,0.1709,0.1727
"CC-SVM",0.1651,0.1668,0.1576,0.1603,0.1702,0.1593,0.1567,0.1626,0.1712,0.1571
"DBR-SVM",0.1658,0.1758,0.1711,0.1665,0.1661,0.1716,0.1631,0.1773,0.1693,0.1713
"EBR-SVM",0.2262,0.2265,0.2307,0.2321,0.2335,0.229,0.2257,0.2291,0.229,0.2319
"ECC-SVM",0.2436,0.2477,0.2473,0.248,0.249,0.2454,0.2469,0.2435,0.242,0.2443
"MBR-SVM",0.1707,0.1677,0.1766,0.1697,0.1736,0.1671,0.1626,0.179,0.1726,0.1661
"NS-SVM",0.1595,0.1732,0.178,0.163,0.1739,0.1631,0.1625,0.1797,0.1727,0.1752
"PruDent-SVM",0.1597,0.1561,0.1672,0.1591,0.1613,0.1593,0.1564,0.1664,0.1632,0.1551
"RDBR-SVM",0.1659,0.1805,0.1636,0.1568,0.1737,0.1756,0.174,0.1689,0.1701,0.1656
"BR-SVMt",0.1919,0.187,0.1795,0.1926,0.1944,0.1843,0.1841,0.1895,0.1841,0.185
"BR+-SVMt",0.2199,0.2104,0.2186,0.2246,0.2171,0.2243,0.1975,0.2213,0.2207,0.2054
"CC-SVMt",0.1869,0.1927,0.181,0.1922,0.1912,0.1952,0.1776,0.1869,0.188,0.1898
"DBR-SVMt",0.2313,0.2193,0.2222,0.2149,0.2286,0.2291,0.2247,0.2225,0.2309,0.2241
"EBR-SVMt",0.232,0.2263,0.2232,0.2362,0.2313,0.2246,0.2278,0.2322,0.2299,0.2248
"ECC-SVMt",0.262,0.2582,0.2533,0.2468,0.2524,0.2507,0.2361,0.2486,0.2532,0.2511
"MBR-SVMt",0.2005,0.1966,0.1938,0.2005,0.2019,0.1991,0.1894,0.1938,0.1936,0.1882
"NS-SVMt",0.1926,0.1917,0.1843,0.1876,0.1977,0.1989,0.1906,0.1961,0.1731,0.1901
"PruDent-SVMt",0.1872,0.1912,0.1807,0.1929,0.1921,0.1847,0.1797,0.1912,0.1969,0.1923
