"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.4525,0.4758,0.4558,0.4721,0.4585,0.4692,0.455,0.473,0.4547,0.4733
"baselineHL",0.2913,0.3003,0.2947,0.2967,0.2972,0.2941,0.2948,0.2966,0.2915,0.3
"baselineRL",0.3905,0.4028,0.3919,0.4011,0.3941,0.3989,0.3939,0.3991,0.3921,0.401
"baselineSA",0.3202,0.2488,0.3201,0.3317,0.3214,0.3303,0.3215,0.2471,0.3219,0.2471
"BR-C5.0",0.5466,0.5261,0.5295,0.5313,0.5265,0.5254,0.5243,0.564,0.4864,0.5228
"BR-LR",0.6655,0.6104,0.6553,0.6188,0.6477,0.6137,0.6617,0.6184,0.6589,0.6232
"BR-RF",0.6602,0.6278,0.6625,0.6175,0.6534,0.6214,0.6763,0.6266,0.6581,0.6213
"BR-SVM",0.6663,0.6101,0.6553,0.6189,0.6491,0.6142,0.6546,0.6128,0.654,0.6216
"BR-SVMt",0.6506,0.6291,0.6289,0.6063,0.6326,0.6028,0.6551,0.6416,0.6476,0.6055
"BR-XGB",0.6283,0.6346,0.6212,0.5985,0.6161,0.6002,0.6116,0.622,0.6114,0.6163
"BR+-C5.0",0.5654,0.5272,0.5193,0.5355,0.5238,0.5402,0.5211,0.5869,0.4883,0.5521
"BR+-LR",0.6836,0.6429,0.6607,0.6402,0.6654,0.639,0.6729,0.6553,0.6832,0.6484
"BR+-RF",0.6563,0.6319,0.6596,0.6401,0.6651,0.6307,0.6776,0.6405,0.6569,0.6262
"BR+-SVM",0.6872,0.6439,0.6624,0.6523,0.6661,0.6565,0.675,0.6597,0.6788,0.6578
"BR+-SVMt",0.6556,0.6488,0.6363,0.6239,0.6719,0.6495,0.6624,0.6266,0.6661,0.6471
"BR+-XGB",0.6214,0.6422,0.6302,0.6353,0.651,0.6275,0.6542,0.6411,0.6475,0.6433
"CC-C5.0",0.5305,0.524,0.5371,0.5084,0.4927,0.5174,0.5726,0.5672,0.5036,0.5385
"CC-LR",0.6434,0.6296,0.646,0.6363,0.6471,0.6251,0.659,0.6449,0.6435,0.6366
"CC-RF",0.6457,0.6341,0.6472,0.6121,0.6584,0.6181,0.6601,0.6331,0.656,0.6123
"CC-SVM",0.645,0.6238,0.6383,0.6317,0.6394,0.6206,0.6568,0.6428,0.6486,0.6349
"CC-SVMt",0.6662,0.5946,0.646,0.6127,0.6437,0.6239,0.654,0.6422,0.6388,0.618
"CC-XGB",0.6132,0.6219,0.6105,0.5983,0.6068,0.6081,0.6094,0.6262,0.5996,0.6069
"DBR-C5.0",0.5404,0.5397,0.5399,0.5561,0.4882,0.5339,0.5359,0.5593,0.4925,0.5579
"DBR-LR",0.682,0.6482,0.6679,0.6481,0.6736,0.6548,0.6792,0.6656,0.6692,0.6536
"DBR-RF",0.6546,0.6332,0.6636,0.6392,0.6694,0.6262,0.6719,0.639,0.6593,0.6246
"DBR-SVM",0.6826,0.6464,0.6679,0.6506,0.6723,0.6516,0.6794,0.6579,0.6722,0.6592
"DBR-SVMt",0.6638,0.6431,0.6402,0.6356,0.6787,0.6414,0.6464,0.6325,0.6568,0.6349
"DBR-XGB",0.6323,0.644,0.6302,0.6257,0.6572,0.6192,0.651,0.6335,0.6356,0.6507
"EBR-C5.0",0.6131,0.6117,0.6119,0.6113,0.6086,0.6067,0.6295,0.6293,0.6042,0.6254
"EBR-LR",0.6728,0.65,0.6694,0.649,0.645,0.6435,0.6652,0.6613,0.664,0.6507
"EBR-RF",0.6733,0.6545,0.6742,0.6584,0.6658,0.6437,0.6811,0.6759,0.6771,0.664
"EBR-SVM",0.6564,0.6391,0.6655,0.6243,0.6438,0.6148,0.6642,0.6672,0.6539,0.6375
"EBR-SVMt",0.6595,0.6411,0.6474,0.6051,0.6307,0.6225,0.6681,0.6488,0.6343,0.645
"EBR-XGB",0.6532,0.6487,0.6591,0.6419,0.6589,0.6309,0.6656,0.6616,0.6485,0.6522
