"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.4679,0.4589,0.464,0.4626,0.4626,0.464,0.4659,0.4607,0.4628,0.4638
"baseline-HL",0.3661,0.3562,0.3601,0.362,0.3614,0.3607,0.2333,0.3578,0.3603,0.3618
"baseline-RL",0.4254,0.412,0.4169,0.4203,0.4183,0.4189,0.4227,0.4145,0.4175,0.4197
"baseline-SA",0.1948,0.3871,0.2102,0.1973,0.2027,0.2047,0.198,0.2093,0.2053,0.2022
"BR-C5.0",0.5375,0.5233,0.5308,0.4892,0.5394,0.5367,0.5108,0.541,0.5448,0.5221
"BR+-C5.0",0.5139,0.5134,0.5369,0.5076,0.542,0.5393,0.518,0.5441,0.5302,0.517
"CC-C5.0",0.5031,0.5009,0.5118,0.4848,0.5272,0.5166,0.5081,0.5349,0.5241,0.506
"DBR-C5.0",0.5201,0.5254,0.5367,0.5171,0.5358,0.5431,0.5221,0.5352,0.5298,0.5281
"EBR-C5.0",0.5751,0.5902,0.5834,0.5758,0.572,0.5981,0.5892,0.5841,0.5894,0.5936
"ECC-C5.0",0.5847,0.5998,0.5923,0.5764,0.5819,0.5982,0.6009,0.5983,0.5889,0.603
"MBR-C5.0",0.5392,0.5271,0.5255,0.4926,0.5386,0.5389,0.5041,0.5435,0.5436,0.5244
"NS-C5.0",0.5283,0.5312,0.4934,0.5063,0.5239,0.519,0.5295,0.5173,0.5277,0.5258
"PruDent-C5.0",0.5201,0.5399,0.5409,0.5063,0.5392,0.5413,0.5242,0.5498,0.5404,0.5326
"RDBR-C5.0",0.5226,0.5269,0.5433,0.5104,0.5425,0.5315,0.5095,0.5482,0.532,0.5321
"BR-LR",0.5243,0.517,0.5257,0.5219,0.5296,0.538,0.5273,0.5302,0.5402,0.5286
"BR+-LR",0.535,0.5283,0.5477,0.5278,0.5431,0.5538,0.5367,0.547,0.5567,0.5375
"CC-LR",0.5343,0.5182,0.5395,0.5313,0.5421,0.547,0.5431,0.5375,0.5525,0.5358
"DBR-LR",0.5408,0.5251,0.5477,0.5268,0.5387,0.5497,0.5299,0.5459,0.5572,0.5355
"EBR-LR",0.5639,0.5676,0.5706,0.5713,0.5748,0.5828,0.5823,0.5762,0.5844,0.5699
"ECC-LR",0.556,0.5697,0.5667,0.5547,0.5605,0.5843,0.5759,0.5716,0.5863,0.5687
"MBR-LR",0.5247,0.5158,0.5338,0.5257,0.527,0.5377,0.5286,0.5373,0.5319,0.5282
"NS-LR",0.5178,0.5081,0.5334,0.5193,0.5284,0.5428,0.5225,0.5223,0.5386,0.5349
"PruDent-LR",0.5258,0.5144,0.5297,0.5245,0.5279,0.545,0.5338,0.5343,0.5465,0.5339
"RDBR-LR",0.5271,0.5396,0.5475,0.5249,0.5357,0.5443,0.5301,0.5476,0.5552,0.53
"BR-RF",0.5419,0.5805,0.5773,0.5489,0.5535,0.5726,0.5577,0.5705,0.5765,0.5628
"BR+-RF",0.5515,0.5836,0.5816,0.5602,0.5649,0.5756,0.5662,0.5757,0.5813,0.5725
"CC-RF",0.5419,0.5839,0.5812,0.546,0.56,0.5798,0.5662,0.5725,0.5761,0.5628
"DBR-RF",0.5522,0.5858,0.5793,0.5595,0.5686,0.574,0.5655,0.5802,0.5812,0.5721
"EBR-RF",0.5789,0.6095,0.6097,0.5854,0.5886,0.6122,0.6022,0.6054,0.608,0.5949
"ECC-RF",0.5859,0.6124,0.6192,0.5884,0.5882,0.6065,0.6056,0.6096,0.6114,0.5977
"MBR-RF",0.5352,0.5778,0.5766,0.5463,0.5567,0.5743,0.5596,0.5697,0.5777,0.5635
"NS-RF",0.5504,0.5755,0.5786,0.5498,0.551,0.5701,0.5639,0.5673,0.577,0.5627
"PruDent-RF",0.5419,0.5869,0.5814,0.5503,0.5596,0.5805,0.5623,0.5741,0.5841,0.5662
"RDBR-RF",0.5463,0.5804,0.5753,0.5548,0.5683,0.5712,0.5627,0.5744,0.5744,0.5709
"BR-SVM",0.525,0.5176,0.526,0.5207,0.5298,0.5372,0.528,0.5268,0.538,0.5288
"BR+-SVM",0.5362,0.5294,0.544,0.5288,0.5417,0.5507,0.5396,0.5416,0.5583,0.5349
"CC-SVM",0.5362,0.5193,0.5389,0.5296,0.5355,0.5473,0.5439,0.5371,0.549,0.5365
"DBR-SVM",0.5355,0.529,0.5429,0.5294,0.5415,0.5483,0.5386,0.5417,0.5588,0.5336
"EBR-SVM",0.5588,0.5724,0.5783,0.5618,0.5629,0.5813,0.5839,0.5718,0.5823,0.5701
"ECC-SVM",0.5515,0.5725,0.5831,0.5608,0.5656,0.5814,0.5835,0.5747,0.5868,0.5712
"MBR-SVM",0.5227,0.5214,0.5285,0.5251,0.5316,0.5328,0.529,0.5324,0.5373,0.5304
"NS-SVM",0.5209,0.5201,0.531,0.5176,0.5296,0.5445,0.527,0.5248,0.5372,0.532
"PruDent-SVM",0.5264,0.5255,0.5335,0.5255,0.5365,0.5449,0.533,0.5372,0.5457,0.5301
"RDBR-SVM",0.5293,0.5369,0.5462,0.5248,0.5349,0.543,0.5293,0.5464,0.5551,0.53
"BR-SVMt",0.5211,0.56,0.5619,0.5323,0.5434,0.5595,0.5454,0.542,0.5396,0.5377
"BR+-SVMt",0.535,0.5694,0.5628,0.5459,0.5572,0.5623,0.5566,0.5502,0.5525,0.5476
"CC-SVMt",0.5405,0.5661,0.5796,0.5402,0.5607,0.5789,0.5534,0.5595,0.5628,0.5468
"DBR-SVMt",0.536,0.5687,0.5546,0.546,0.5489,0.5721,0.5512,0.5517,0.5756,0.5447
"EBR-SVMt",0.5551,0.5676,0.5725,0.5938,0.5859,0.5926,0.5983,0.5852,0.5684,0.5842
"ECC-SVMt",0.5524,0.5669,0.6038,0.5906,0.5755,0.6055,0.5979,0.5567,0.5952,0.5801
"MBR-SVMt",0.5286,0.5539,0.5584,0.537,0.5471,0.5583,0.5444,0.5583,0.5485,0.5413
"NS-SVMt",0.5384,0.5485,0.5542,0.5341,0.5373,0.5713,0.5572,0.5245,0.5547,0.5512
"PruDent-SVMt",0.5373,0.5577,0.5665,0.5356,0.541,0.558,0.5526,0.5446,0.558,0.5438
"RDBR-SVMt",0.5342,0.5596,0.5701,0.54,0.5566,0.5734,0.5475,0.5486,0.5579,0.5522
"BR-XGB",0.5662,0.5807,0.5809,0.5591,0.5646,0.588,0.5736,0.5783,0.5882,0.5716
"BR+-XGB",0.5635,0.5884,0.5809,0.5636,0.5619,0.5893,0.5624,0.5742,0.5883,0.567
"CC-XGB",0.561,0.5848,0.5877,0.5741,0.5679,0.5916,0.5699,0.5808,0.5968,0.5737
"DBR-XGB",0.5691,0.5888,0.5848,0.573,0.5635,0.5939,0.5765,0.5785,0.5967,0.5781
"EBR-XGB",0.6037,0.6263,0.6228,0.6033,0.6035,0.6265,0.6138,0.6183,0.6199,0.6188
"ECC-XGB",0.6141,0.6218,0.6286,0.6055,0.602,0.6306,0.6196,0.6215,0.6138,0.6183
"MBR-XGB",0.566,0.5792,0.5808,0.5589,0.5643,0.5881,0.574,0.5791,0.5878,0.5719
"NS-XGB",0.5677,0.5794,0.5789,0.5676,0.5684,0.5904,0.5708,0.5742,0.5757,0.5779
"PruDent-XGB",0.5689,0.585,0.5891,0.5686,0.5672,0.5894,0.5747,0.5821,0.5884,0.5805
"RDBR-XGB",0.5669,0.5921,0.5858,0.5734,0.5643,0.5965,0.5787,0.5849,0.5989,0.5706
