"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.2025,0.1945,0.1999,0.1964,0.2002,0.196,0.2011,0.1954,0.2025,0.1945
"baseline-HL",0.122,0.1081,0.127,0.1067,0.127,0.1067,0.128,0.1058,0.122,0.1055
"baseline-RL",0.122,0.1081,0.127,0.1067,0.127,0.1067,0.128,0.1058,0.122,0.1055
"baseline-SA",0.122,0.1003,0.127,0.124,0.127,0.124,0.128,0.123,0.122,0.1289
"BR-C5.0",0.3062,0.3542,0.4037,0.3595,0.3497,0.3934,0.3405,0.3672,0.4102,0.2918
"BR+-C5.0",0.3091,0.3641,0.3759,0.3461,0.3529,0.3682,0.3405,0.375,0.4102,0.3275
"CC-C5.0",0.3091,0.368,0.405,0.3536,0.3529,0.3835,0.3405,0.3794,0.4102,0.3285
"DBR-C5.0",0.3091,0.3563,0.3759,0.3461,0.3529,0.3682,0.3405,0.375,0.4102,0.3197
"EBR-C5.0",0.4922,0.569,0.5148,0.4717,0.4672,0.5267,0.4717,0.5209,0.5073,0.5177
"ECC-C5.0",0.458,0.501,0.4458,0.4995,0.5122,0.5336,0.4115,0.4544,0.4623,0.4995
"MBR-C5.0",0.3213,0.3594,0.3958,0.3683,0.3444,0.3934,0.3307,0.3611,0.3972,0.2949
"NS-C5.0",0.3184,0.3945,0.4177,0.3829,0.3492,0.3683,0.3429,0.4003,0.4198,0.3336
"PruDent-C5.0",0.3062,0.3542,0.4037,0.3542,0.3497,0.3961,0.3405,0.3659,0.4102,0.2928
"RDBR-C5.0",0.3091,0.3641,0.3759,0.3461,0.3529,0.3682,0.3405,0.375,0.4102,0.3275
"BR-LR",0.5691,0.5924,0.5437,0.5512,0.5608,0.5477,0.6027,0.5275,0.5732,0.5747
"BR+-LR",0.5583,0.6034,0.5688,0.5355,0.6138,0.5155,0.5933,0.5151,0.5894,0.6151
"CC-LR",0.5881,0.6034,0.5688,0.5515,0.5384,0.5477,0.6067,0.5278,0.5867,0.5891
"DBR-LR",0.5583,0.5734,0.5582,0.5264,0.6138,0.5229,0.6013,0.5434,0.5759,0.5883
"EBR-LR",0.5068,0.5737,0.509,0.4672,0.5394,0.5419,0.5395,0.509,0.5119,0.5167
"ECC-LR",0.523,0.5253,0.5251,0.5443,0.4767,0.52,0.5131,0.5079,0.4832,0.5078
"MBR-LR",0.5905,0.612,0.5632,0.5568,0.587,0.5456,0.6147,0.5328,0.5634,0.588
"NS-LR",0.5935,0.5745,0.5648,0.5371,0.545,0.5464,0.58,0.4939,0.5854,0.5768
"PruDent-LR",0.5637,0.5904,0.5675,0.5435,0.5899,0.5664,0.6144,0.5434,0.5745,0.5792
"RDBR-LR",0.5583,0.5812,0.5635,0.5363,0.6138,0.5456,0.596,0.5392,0.5637,0.6008
"BR-RF",0.5542,0.5286,0.5569,0.484,0.5688,0.5013,0.5827,0.4921,0.5854,0.5156
"BR+-RF",0.5799,0.5391,0.5437,0.4427,0.5608,0.5053,0.5533,0.5013,0.5759,0.513
"CC-RF",0.5867,0.5234,0.541,0.4813,0.5635,0.496,0.532,0.4947,0.5664,0.5156
"DBR-RF",0.5799,0.5391,0.5437,0.4427,0.5529,0.5053,0.5533,0.5013,0.5759,0.513
"EBR-RF",0.5981,0.5232,0.555,0.5109,0.5926,0.508,0.5901,0.4952,0.6114,0.5466
"ECC-RF",0.5734,0.531,0.5741,0.4997,0.5892,0.5307,0.5747,0.5331,0.568,0.543
"MBR-RF",0.5962,0.5208,0.5622,0.4947,0.5503,0.528,0.548,0.496,0.5583,0.5391
"NS-RF",0.5867,0.5234,0.541,0.4813,0.5635,0.496,0.532,0.4947,0.5664,0.5156
"PruDent-RF",0.5786,0.5182,0.5648,0.4813,0.5608,0.528,0.548,0.5,0.5542,0.5052
"RDBR-RF",0.5799,0.5391,0.5437,0.4427,0.5608,0.5213,0.5533,0.5013,0.584,0.513
"BR-SVM",0.5718,0.5917,0.5754,0.5472,0.5675,0.5539,0.6067,0.5458,0.5596,0.6034
"BR+-SVM",0.561,0.6034,0.5688,0.5499,0.5675,0.5565,0.604,0.5405,0.5596,0.606
"CC-SVM",0.5772,0.5969,0.5754,0.5539,0.5595,0.5539,0.6093,0.5405,0.5556,0.6044
"DBR-SVM",0.5691,0.6047,0.5688,0.5499,0.5675,0.5565,0.604,0.5405,0.5596,0.5982
"EBR-SVM",0.5702,0.5844,0.5243,0.5619,0.5392,0.5552,0.5445,0.5188,0.5566,0.5729
"ECC-SVM",0.5962,0.5547,0.5362,0.536,0.536,0.5469,0.5493,0.5439,0.5474,0.5302
"MBR-SVM",0.5824,0.6008,0.5794,0.5517,0.5831,0.5491,0.6053,0.5466,0.5675,0.5776
"NS-SVM",0.5772,0.5995,0.5728,0.5472,0.5648,0.5485,0.6013,0.5405,0.5583,0.6099
"PruDent-SVM",0.6016,0.5904,0.5728,0.5419,0.6005,0.5349,0.5907,0.5259,0.5569,0.6034
"RDBR-SVM",0.5691,0.6034,0.5767,0.5539,0.5648,0.5565,0.604,0.5405,0.5596,0.606
"BR-SVMt",0.5634,0.5891,0.4907,0.5333,0.6032,0.5592,0.6307,0.5249,0.5461,0.5734
"BR+-SVMt",0.5894,0.5792,0.4696,0.5224,0.5675,0.5432,0.588,0.5349,0.5339,0.5635
"CC-SVMt",0.5705,0.5974,0.5648,0.5211,0.5847,0.5864,0.6133,0.5196,0.5488,0.581
"DBR-SVMt",0.6125,0.5956,0.5331,0.5507,0.5847,0.5539,0.6173,0.5243,0.5556,0.5448
