"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.7024,0.6958,0.6948,0.7034,0.7041,0.6941,0.687,0.7121,0.7039,0.6944
"baseline-HL",0.6424,0.642,0.6321,0.6523,0.6463,0.6381,0.6347,0.5788,0.644,0.6404
"baseline-RL",0.6424,0.642,0.6321,0.6523,0.6463,0.6381,0.6347,0.6502,0.644,0.6404
"baseline-SA",0.6424,0.642,0.6321,0.6523,0.579,0.6381,0.6347,0.5788,0.5774,0.6404
"BR-C5.0",0.6726,0.7275,0.7,0.7372,0.7157,0.6944,0.6918,0.723,0.7067,0.7017
"BR+-C5.0",0.6787,0.6973,0.6902,0.7071,0.7331,0.6709,0.6733,0.7088,0.697,0.6725
"CC-C5.0",0.7187,0.724,0.679,0.7282,0.6969,0.6757,0.665,0.7363,0.6875,0.6761
"DBR-C5.0",0.6917,0.6578,0.6716,0.6813,0.7061,0.6959,0.648,0.7,0.6647,0.6489
"EBR-C5.0",0.7091,0.7237,0.6846,0.716,0.7027,0.7,0.7,0.715,0.722,0.7082
"ECC-C5.0",0.6955,0.7221,0.6547,0.7066,0.7305,0.6864,0.6706,0.698,0.7341,0.7122
"MBR-C5.0",0.6763,0.7129,0.6958,0.7374,0.7091,0.6955,0.6888,0.7237,0.7067,0.6943
"NS-C5.0",0.7152,0.7604,0.7145,0.7285,0.7074,0.6676,0.6807,0.7225,0.6686,0.6873
"PruDent-C5.0",0.7243,0.7172,0.7061,0.7215,0.7157,0.6944,0.6515,0.7059,0.6752,0.6854
"RDBR-C5.0",0.6941,0.6852,0.6621,0.7006,0.7182,0.6757,0.6604,0.7,0.6551,0.647
"BR-LR",0.7327,0.7423,0.7203,0.7232,0.7252,0.7409,0.722,0.7346,0.7175,0.7452
"BR+-LR",0.7318,0.7388,0.7093,0.7191,0.7089,0.7227,0.7144,0.7223,0.7051,0.7236
"CC-LR",0.7276,0.7455,0.6968,0.7132,0.7198,0.7339,0.73,0.7214,0.7175,0.738
"DBR-LR",0.7194,0.7475,0.7012,0.7216,0.7038,0.7236,0.6939,0.7223,0.7245,0.7299
"EBR-LR",0.7227,0.7516,0.685,0.7311,0.7193,0.7145,0.7376,0.7263,0.732,0.7302
"ECC-LR",0.7357,0.7262,0.6859,0.7357,0.7071,0.7271,0.7162,0.745,0.7196,0.7039
"MBR-LR",0.7464,0.7436,0.7126,0.7278,0.7155,0.7349,0.7197,0.7452,0.7254,0.7386
"NS-LR",0.7343,0.747,0.7177,0.7274,0.7217,0.7381,0.7319,0.7282,0.7182,0.7375
"PruDent-LR",0.7404,0.7438,0.7057,0.7299,0.7229,0.7395,0.7237,0.732,0.716,0.7414
"RDBR-LR",0.7229,0.7452,0.7046,0.721,0.727,0.7159,0.6994,0.715,0.7149,0.7376
"BR-RF",0.7328,0.7626,0.7121,0.7426,0.7385,0.7299,0.7085,0.7527,0.7565,0.7409
"BR+-RF",0.741,0.7444,0.706,0.7471,0.7209,0.7373,0.7005,0.7526,0.7602,0.7267
"CC-RF",0.7433,0.7613,0.7156,0.7329,0.7401,0.726,0.7116,0.7449,0.7489,0.7466
"DBR-RF",0.7328,0.7483,0.7076,0.7338,0.7311,0.734,0.7022,0.7522,0.7528,0.7159
"EBR-RF",0.7412,0.7367,0.7147,0.7317,0.7575,0.7141,0.7291,0.7529,0.7548,0.7378
"ECC-RF",0.7475,0.7316,0.7191,0.7422,0.7571,0.7351,0.7293,0.7315,0.7526,0.7308
"MBR-RF",0.7386,0.7599,0.7053,0.7339,0.7431,0.7345,0.7034,0.7525,0.7642,0.7359
