"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.3889,0.3893,0.3895,0.3887,0.3887,0.3895,0.3872,0.391,0.3881,0.3901
"baseline-HL",0.2486,0.2501,0.2504,0.2483,0.2478,0.2509,0.2513,0.2473,0.2481,0.2506
"baseline-RL",0.2486,0.2501,0.2504,0.2483,0.2478,0.2509,0.2513,0.2473,0.2481,0.2506
"baseline-SA",0.2481,0.2489,0.2487,0.2483,0.2507,0.2462,0.245,0.252,0.2496,0.2474
"BR-C5.0",0.5339,0.5798,0.5743,0.539,0.5405,0.5526,0.5502,0.5472,0.5552,0.5402
"BR+-C5.0",0.5091,0.5266,0.5397,0.5067,0.5183,0.5129,0.5501,0.521,0.549,0.5127
"CC-C5.0",0.514,0.5313,0.5274,0.511,0.5225,0.5137,0.5399,0.5069,0.524,0.5099
"DBR-C5.0",0.5015,0.5295,0.5335,0.5189,0.5093,0.5158,0.5336,0.5042,0.5329,0.4856
"EBR-C5.0",0.6477,0.6378,0.654,0.6289,0.6269,0.6231,0.6503,0.652,0.6452,0.6412
"ECC-C5.0",0.6268,0.6396,0.628,0.6142,0.6347,0.6245,0.6386,0.6257,0.6375,0.6268
"MBR-C5.0",0.5315,0.5762,0.5726,0.537,0.5321,0.5501,0.5411,0.548,0.5598,0.5399
"NS-C5.0",0.5352,0.5319,0.5274,0.5096,0.5099,0.5219,0.5283,0.541,0.531,0.5296
"PruDent-C5.0",0.5387,0.5723,0.5671,0.5405,0.5379,0.5587,0.5466,0.5393,0.5459,0.5483
"RDBR-C5.0",0.5088,0.5077,0.5316,0.5139,0.5207,0.5091,0.5345,0.5109,0.5572,0.509
"BR-LR",0.6833,0.6835,0.6703,0.6828,0.6686,0.6765,0.6995,0.6801,0.6856,0.67
"BR+-LR",0.6796,0.685,0.6765,0.681,0.6724,0.6715,0.7033,0.6799,0.6892,0.6717
"CC-LR",0.6765,0.678,0.6662,0.6853,0.6675,0.6708,0.6944,0.6779,0.6872,0.67
"DBR-LR",0.6783,0.6834,0.6748,0.685,0.6714,0.6737,0.7033,0.6772,0.6854,0.6703
"EBR-LR",0.6842,0.6909,0.68,0.6979,0.6709,0.6832,0.686,0.6801,0.6822,0.6822
"ECC-LR",0.6804,0.6954,0.6908,0.688,0.6803,0.6925,0.7066,0.6866,0.6954,0.6853
"MBR-LR",0.6806,0.6844,0.6768,0.6818,0.6666,0.6745,0.7038,0.6794,0.6871,0.6724
"NS-LR",0.6833,0.6815,0.6742,0.686,0.6676,0.6763,0.7035,0.6818,0.6836,0.6735
"PruDent-LR",0.681,0.6828,0.6715,0.6825,0.6698,0.6745,0.7,0.6797,0.6857,0.6717
