"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.249,0.2488,0.2464,0.2515,0.2456,0.2494,0.2474,0.2505,0.2473,0.2505
"baseline-HL",0.2416,0.2458,0.2434,0.2442,0.2413,0.2462,0.2455,0.242,0.2443,0.2433
"baseline-RL",0.2416,0.2458,0.2434,0.2442,0.2413,0.2462,0.2455,0.242,0.2443,0.2433
"baseline-SA",0.2416,0.2458,0.2434,0.2442,0.2413,0.2462,0.2455,0.242,0.2443,0.2433
"BR-C5.0",0.7837,0.844,0.8039,0.8371,0.7958,0.8392,0.8242,0.8191,0.8205,0.8089
"BR+-C5.0",0.7807,0.8448,0.8209,0.84,0.7952,0.8422,0.8463,0.8315,0.8239,0.8228
"CC-C5.0",0.7896,0.8554,0.8073,0.8426,0.7878,0.8423,0.8284,0.8476,0.8105,0.8329
"DBR-C5.0",0.7805,0.8424,0.8228,0.8362,0.7959,0.8408,0.84,0.8133,0.8207,0.808
"EBR-C5.0",0.843,0.8446,0.824,0.8358,0.85,0.8513,0.8675,0.8355,0.8523,0.8194
"ECC-C5.0",0.829,0.8457,0.8215,0.8351,0.8151,0.857,0.8599,0.839,0.8438,0.8347
"MBR-C5.0",0.7844,0.8422,0.8011,0.8374,0.7934,0.837,0.8252,0.8221,0.8216,0.807
"NS-C5.0",0.7895,0.8372,0.8066,0.8337,0.7921,0.8346,0.8234,0.846,0.8136,0.8322
"PruDent-C5.0",0.7837,0.844,0.8039,0.8371,0.7958,0.8392,0.8242,0.8191,0.8205,0.8089
"RDBR-C5.0",0.7821,0.8448,0.8188,0.84,0.7952,0.8422,0.8462,0.8315,0.8242,0.8228
"BR-LR",0.8473,0.8342,0.8413,0.831,0.8386,0.8481,0.8391,0.853,0.8471,0.8375
"BR+-LR",0.8427,0.8315,0.8367,0.8334,0.8327,0.835,0.8402,0.8495,0.8381,0.8333
"CC-LR",0.8433,0.8325,0.8436,0.8304,0.8294,0.8343,0.8394,0.8495,0.8424,0.8308
"DBR-LR",0.8403,0.8284,0.8365,0.8271,0.8319,0.841,0.8358,0.8425,0.8354,0.8323
"EBR-LR",0.7963,0.7988,0.8047,0.7921,0.7888,0.7752,0.7559,0.7449,0.6637,0.7106
"ECC-LR",0.7967,0.8084,0.7354,0.797,0.787,0.8033,0.7671,0.7516,0.7619,0.7694
"MBR-LR",0.8443,0.8397,0.8465,0.8368,0.8427,0.8467,0.8391,0.8494,0.8405,0.8396
"NS-LR",0.8211,0.8155,0.8265,0.8155,0.8159,0.8217,0.8261,0.8328,0.8248,0.823
"PruDent-LR",0.8451,0.8365,0.8493,0.8271,0.8391,0.8461,0.8443,0.8463,0.8385,0.8385
"RDBR-LR",0.8384,0.826,0.8377,0.835,0.8345,0.8395,0.8404,0.8381,0.8336,0.8401
"BR-RF",0.7653,0.7656,0.7547,0.7727,0.7798,0.7559,0.7627,0.7692,0.7521,0.7957
"BR+-RF",0.7652,0.7558,0.7644,0.7575,0.7733,0.7457,0.7665,0.765,0.7423,0.784
"CC-RF",0.7752,0.7676,0.7561,0.7783,0.7733,0.7817,0.7745,0.7921,0.7635,0.7913
"DBR-RF",0.761,0.7523,0.7561,0.766,0.7797,0.7547,0.7645,0.7629,0.7409,0.7882
"EBR-RF",0.7719,0.7655,0.752,0.7653,0.7719,0.7705,0.7629,0.7882,0.766,0.7861
"ECC-RF",0.777,0.751,0.7541,0.7575,0.7704,0.7726,0.7511,0.7678,0.7578,0.7873
"MBR-RF",0.7703,0.7826,0.7557,0.748,0.7669,0.7597,0.7762,0.7757,0.7562,0.7872
"NS-RF",0.7661,0.7788,0.7519,0.7784,0.7712,0.7674,0.7579,0.7885,0.7604,0.79
"PruDent-RF",0.7766,0.7784,0.7686,0.778,0.7776,0.7632,0.77,0.7814,0.759,0.7928
"RDBR-RF",0.7695,0.7662,0.7644,0.7582,0.7747,0.7561,0.7679,0.7714,0.75,0.7797
"BR-SVM",0.8416,0.8401,0.8451,0.833,0.8481,0.8492,0.846,0.847,0.8454,0.8392
