"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.2697,0.2701,0.2702,0.2696,0.2698,0.27,0.2692,0.2706,0.2694,0.2704
"baseline-HL",0.189,0.1904,0.1884,0.1911,0.1892,0.1902,0.1892,0.1902,0.1886,0.1908
"baseline-RL",0.189,0.1904,0.1884,0.1911,0.1892,0.1902,0.1892,0.1902,0.1886,0.1908
"baseline-SA",0.1428,0.1441,0.1437,0.1432,0.1426,0.1443,0.1432,0.1437,0.1433,0.1436
"BR-C5.0",0.5091,0.5144,0.5184,0.5083,0.506,0.5166,0.5166,0.5025,0.5183,0.5096
"BR+-C5.0",0.5155,0.5037,0.5155,0.5164,0.4936,0.5208,0.5199,0.5086,0.5003,0.5158
"CC-C5.0",0.5185,0.519,0.5198,0.5157,0.5047,0.5225,0.5178,0.5096,0.5179,0.5147
"DBR-C5.0",0.5152,0.5173,0.5162,0.517,0.505,0.5204,0.5198,0.5084,0.5162,0.5165
"EBR-C5.0",0.5542,0.5536,0.5536,0.5539,0.5525,0.5536,0.5572,0.5508,0.5591,0.5488
"ECC-C5.0",0.5513,0.5515,0.5524,0.5566,0.5532,0.5557,0.5553,0.5504,0.5565,0.5489
"MBR-C5.0",0.5109,0.513,0.5196,0.5124,0.5067,0.5136,0.5206,0.5043,0.5208,0.5113
"NS-C5.0",0.5081,0.5151,0.5166,0.5074,0.5052,0.5209,0.5179,0.5067,0.5182,0.5094
"PruDent-C5.0",0.5091,0.5144,0.5184,0.5083,0.506,0.5166,0.5166,0.5025,0.5183,0.5096
"RDBR-C5.0",0.5126,0.4775,0.5152,0.5165,0.453,0.5206,0.5193,0.5091,0.4586,0.5167
"BR-LR",0.5573,0.5557,0.5573,0.5527,0.5562,0.5538,0.5561,0.5565,0.5599,0.5532
"BR+-LR",0.557,0.5547,0.5577,0.5537,0.5553,0.5546,0.5579,0.5568,0.561,0.5536
"CC-LR",0.5563,0.555,0.5572,0.5533,0.5562,0.5531,0.5553,0.5572,0.5607,0.554
"DBR-LR",0.5574,0.5552,0.5574,0.5551,0.5565,0.5546,0.5568,0.556,0.5613,0.5535
"EBR-LR",0.5637,0.5648,0.5687,0.5632,0.5632,0.5605,0.5606,0.5631,0.5659,0.5646
"ECC-LR",0.5674,0.5618,0.5612,0.5651,0.5601,0.56,0.5671,0.5576,0.5651,0.5547
