"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.3019,0.3012,0.3019,0.3012,0.3019,0.3012,0.3019,0.3012,0.3019,0.3012
"baseline-HL",0.2041,0.2032,0.2041,0.2032,0.2041,0.2032,0.2041,0.2032,0.2041,0.2032
"baseline-RL",0.2041,0.2032,0.2041,0.2032,0.2041,0.2032,0.2041,0.2032,0.2041,0.2032
"baseline-SA",0.2041,0.1747,0.2041,0.1747,0.2041,0.1747,0.2041,0.1747,0.2041,0.1747
"BR-C5.0",0.6343,0.6364,0.6343,0.6364,0.6343,0.6364,0.6343,0.6364,0.6343,0.6364
"BR+-C5.0",0.6342,0.5955,0.6342,0.5955,0.6342,0.5955,0.6342,0.5955,0.6342,0.5955
"CC-C5.0",0.6344,0.5927,0.6344,0.5927,0.6344,0.5927,0.6344,0.5927,0.6344,0.5927
"DBR-C5.0",0.6208,0.5955,0.6208,0.5955,0.6208,0.5955,0.6208,0.5955,0.6208,0.5955
"EBR-C5.0",0.7339,0.7346,0.7339,0.7346,0.7339,0.7346,0.7339,0.7346,0.7339,0.7346
"ECC-C5.0",0.7118,0.7126,0.7118,0.7126,0.7118,0.7126,0.7118,0.7126,0.7118,0.7126
"MBR-C5.0",0.6262,0.6294,0.6262,0.6294,0.6262,0.6294,0.6262,0.6294,0.6262,0.6294
"NS-C5.0",0.6227,0.6065,0.6227,0.6065,0.6227,0.6065,0.6227,0.6065,0.6227,0.6065
"PruDent-C5.0",0.6343,0.6364,0.6343,0.6364,0.6343,0.6364,0.6343,0.6364,0.6343,0.6364
"RDBR-C5.0",0.6399,0.6026,0.6399,0.6026,0.6399,0.6026,0.6399,0.6026,0.6399,0.6026
"BR-LR",0.7875,0.7932,0.7864,0.7921,0.7886,0.7943,0.7875,0.7932,0.7883,0.794
"BR+-LR",0.7891,0.7965,0.7883,0.7973,0.788,0.7962,0.7905,0.7943,0.788,0.7973
"CC-LR",0.7872,0.7954,0.7905,0.7973,0.7864,0.7957,0.7897,0.7968,0.7871,0.7979
"DBR-LR",0.7855,0.7949,0.7886,0.794,0.7875,0.7957,0.7883,0.7935,0.788,0.7932
"EBR-LR",0.7846,0.7823,0.7842,0.7867,0.7866,0.7852,0.78,0.7899,0.7778,0.7888
"ECC-LR",0.7823,0.7874,0.7793,0.8,0.7794,0.7863,0.7842,0.7877,0.7776,0.7853
"MBR-LR",0.7866,0.794,0.7864,0.7946,0.7872,0.7946,0.7869,0.794,0.7861,0.794
"NS-LR",0.7843,0.7937,0.7857,0.7922,0.7851,0.7914,0.7846,0.7944,0.784,0.7928
"PruDent-LR",0.7858,0.7951,0.7866,0.7932,0.7866,0.7937,0.7855,0.7951,0.7864,0.794
"RDBR-LR",0.7878,0.7973,0.7897,0.7949,0.7902,0.7982,0.79,0.7965,0.7891,0.7951
