"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.2212,0.2197,0.219,0.2219,0.2209,0.2199,0.2191,0.2218,0.22,0.2209
"baselineHL",0.1495,0.1489,0.1487,0.1498,0.1497,0.1488,0.1486,0.1499,0.1495,0.149
"baselineRL",0.1495,0.1489,0.1487,0.1498,0.1497,0.1488,0.1486,0.1499,0.1495,0.149
"baselineSA",0.1495,0.1489,0.1487,0.1498,0.1497,0.1488,0.1486,0.1499,0.1495,0.149
"BR-C5.0",0.3926,0.3957,0.4008,0.3871,0.415,0.3972,0.3938,0.393,0.3851,0.3938
"BR-LR",0.5808,0.5676,0.5547,0.5737,0.5813,0.5559,0.5576,0.5837,0.5609,0.576
"BR-RF",0.5704,0.5821,0.5797,0.5699,0.5756,0.5912,0.5734,0.5708,0.5795,0.5646
"BR-SVM",0.5797,0.5703,0.5566,0.5715,0.5808,0.556,0.5581,0.5839,0.5607,0.5776
"BR-SVMt",0.5826,0.1589,0.5299,0.5948,0.5939,0.1534,0.1964,0.5967,0.3211,0.5828
"BR-XGB",0.5548,0.5545,0.5523,0.547,0.5531,0.5534,0.5504,0.5557,0.5498,0.5519
"BR+-C5.0",0.3923,0.3958,0.3963,0.3983,0.4098,0.3867,0.3764,0.3931,0.3847,0.3911
"BR+-LR",0.5734,0.5707,0.555,0.5689,0.5738,0.5581,0.5574,0.5778,0.5588,0.5723
"BR+-RF",0.5494,0.561,0.5671,0.5581,0.5562,0.5677,0.5661,0.5662,0.5639,0.5468
"BR+-SVM",0.574,0.5707,0.5566,0.5674,0.5709,0.5565,0.5591,0.5805,0.557,0.5749
"BR+-SVMt",0.588,0.1505,0.1533,0.5872,0.5947,0.1534,0.1531,0.5856,0.1551,0.587
"BR+-XGB",0.5438,0.5484,0.5481,0.5397,0.5454,0.5446,0.5426,0.5492,0.5453,0.5491
"CC-C5.0",0.3993,0.3855,0.3984,0.3941,0.4049,0.3898,0.3933,0.3978,0.3857,0.4017
"CC-LR",0.5433,0.5674,0.5558,0.5462,0.5497,0.5522,0.5578,0.5433,0.5622,0.5449
"CC-RF",0.5705,0.5785,0.5754,0.5673,0.5766,0.5781,0.5663,0.572,0.5724,0.5641
"CC-SVM",0.5402,0.5703,0.5545,0.5449,0.5527,0.5529,0.5571,0.5423,0.56,0.5417
"CC-SVMt",0.5621,0.1516,0.1746,0.5542,0.5734,0.192,0.1761,0.5627,0.1514,0.5644
"CC-XGB",0.5117,0.5127,0.524,0.5207,0.525,0.5211,0.5174,0.5173,0.5149,0.5168
"DBR-C5.0",0.3918,0.394,0.3953,0.3952,0.406,0.3904,0.389,0.3866,0.3829,0.3883
"DBR-LR",0.5782,0.5688,0.5526,0.5742,0.5792,0.5528,0.5644,0.5851,0.5599,0.5758
"DBR-RF",0.573,0.574,0.5806,0.5726,0.575,0.5852,0.5746,0.5804,0.5812,0.5724
