"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.1876,0.1878,0.1877,0.1868,0.1875,0.1879,0.1891,0.1863,0.186,0.1894
"baseline-HL",0.1742,0.1765,0.1774,0.1733,0.1752,0.1756,0.1765,0.1742,0.1758,0.175
"baseline-RL",0.1742,0.1765,0.1774,0.1733,0.1752,0.1756,0.1765,0.1742,0.1758,0.175
"baseline-SA",0.1742,0.1765,0.1774,0.1733,0.1752,0.1756,0.1765,0.1742,0.1758,0.175
"BR-C5.0",0.3252,0.3298,0.3138,0.3124,0.35,0.33,0.3383,0.3196,0.3311,0.333
"BR+-C5.0",0.3049,0.3527,0.3188,0.3099,0.3166,0.3175,0.3423,0.2841,0.3143,0.3228
"CC-C5.0",0.3163,0.3431,0.3067,0.3184,0.3306,0.3156,0.3391,0.3346,0.3324,0.3093
"DBR-C5.0",0.3111,0.3436,0.3182,0.3009,0.3127,0.3143,0.3431,0.288,0.3109,0.3222
"EBR-C5.0",0.3913,0.3979,0.3901,0.3755,0.4004,0.3868,0.3802,0.3721,0.3718,0.383
"ECC-C5.0",0.379,0.4004,0.3855,0.371,0.3966,0.379,0.392,0.3707,0.3738,0.3785
"MBR-C5.0",0.3019,0.3225,0.3042,0.3149,0.3438,0.319,0.3214,0.3112,0.3261,0.3185
"NS-C5.0",0.3283,0.3294,0.329,0.3168,0.3466,0.3139,0.3462,0.3224,0.3292,0.3242
"PruDent-C5.0",0.3252,0.3298,0.3138,0.3124,0.35,0.33,0.3383,0.3196,0.3311,0.333
"RDBR-C5.0",0.308,0.354,0.3195,0.3103,0.3147,0.3094,0.3412,0.2845,0.3136,0.3227
"BR-LR",0.3362,0.3329,0.3422,0.3173,0.3322,0.3317,0.3352,0.3311,0.3404,0.3331
"BR+-LR",0.3389,0.3404,0.3615,0.3343,0.3451,0.3452,0.3481,0.3431,0.3475,0.3384
"CC-LR",0.337,0.332,0.3561,0.3207,0.3356,0.3433,0.3425,0.3392,0.3513,0.3393
"DBR-LR",0.3396,0.3324,0.3548,0.3303,0.341,0.342,0.3467,0.3421,0.3513,0.3399
"EBR-LR",0.3536,0.3602,0.3276,0.3493,0.3259,0.3454,0.3344,0.3494,0.3315,0.3249
"ECC-LR",0.3274,0.3746,0.3698,0.3609,0.3732,0.3629,0.3198,0.3401,0.3574,0.3464
"MBR-LR",0.3765,0.3937,0.3966,0.3883,0.3524,0.3871,0.3858,0.3933,0.3878,0.3848
"NS-LR",0.3772,0.3372,0.3709,0.3278,0.3303,0.3873,0.3882,0.3303,0.3377,0.3425
"PruDent-LR",0.3476,0.339,0.3594,0.3248,0.341,0.3388,0.3453,0.3382,0.3472,0.3392
"RDBR-LR",0.3388,0.3365,0.3594,0.3289,0.3454,0.3461,0.3551,0.3434,0.345,0.3428
"BR-RF",0.3738,0.3526,0.3507,0.3543,0.3478,0.3565,0.3649,0.3606,0.3632,0.3668
"BR+-RF",0.3627,0.3448,0.3543,0.3511,0.3437,0.3467,0.3635,0.3545,0.3508,0.356
"CC-RF",0.3734,0.3427,0.3554,0.3503,0.3429,0.3532,0.3633,0.355,0.3582,0.3513
"DBR-RF",0.3634,0.347,0.3557,0.3507,0.3458,0.3496,0.3634,0.3558,0.3555,0.3564
"EBR-RF",0.4061,0.3963,0.4017,0.3902,0.3998,0.4022,0.3963,0.3844,0.4005,0.401
"ECC-RF",0.3952,0.3962,0.3982,0.3976,0.3867,0.4002,0.3947,0.3903,0.4029,0.3911
"MBR-RF",0.376,0.3457,0.3551,0.3563,0.3495,0.3613,0.3645,0.3639,0.3625,0.3554
"NS-RF",0.366,0.3577,0.3591,0.3527,0.3461,0.3541,0.3696,0.3599,0.3605,0.3547
"PruDent-RF",0.3748,0.3533,0.3575,0.3631,0.3452,0.3624,0.3668,0.3596,0.3684,0.3593
"RDBR-RF",0.3621,0.3466,0.3579,0.3584,0.3455,0.3522,0.3617,0.3591,0.356,0.3618
"BR-SVM",0.3363,0.3293,0.3463,0.3177,0.3351,0.342,0.3466,0.3361,0.3429,0.3332
"BR+-SVM",0.3377,0.3387,0.3599,0.3338,0.3419,0.351,0.3439,0.3412,0.3469,0.3386
"CC-SVM",0.3372,0.3318,0.3495,0.3277,0.3322,0.3453,0.344,0.3376,0.3468,0.3349
"DBR-SVM",0.3353,0.3387,0.3582,0.3323,0.3411,0.3522,0.3445,0.3412,0.3485,0.3392
"EBR-SVM",0.3728,0.3714,0.3762,0.3939,0.3579,0.3968,0.3726,0.3638,0.3673,0.3782
"ECC-SVM",0.394,0.384,0.368,0.379,0.3691,0.3835,0.3548,0.3631,0.3939,0.3563
"MBR-SVM",0.3426,0.3365,0.3593,0.3203,0.3434,0.3426,0.3512,0.3392,0.3587,0.3426
"NS-SVM",0.375,0.3657,0.3484,0.3247,0.3769,0.3856,0.3844,0.3365,0.3781,0.3471
"PruDent-SVM",0.3365,0.3306,0.3527,0.3237,0.3342,0.3368,0.3389,0.3376,0.3356,0.3366
"RDBR-SVM",0.3403,0.3408,0.358,0.3353,0.3426,0.3505,0.344,0.3404,0.3469,0.3378
"BR-SVMt",0.3471,0.3408,0.3272,0.3285,0.3475,0.3476,0.3158,0.341,0.1898,0.3486
"BR+-SVMt",0.3542,0.3404,0.3301,0.3403,0.3594,0.3459,0.3385,0.352,0.1932,0.3585
