"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.9484,0.9487,0.9487,0.9484,0.9486,0.9485,0.9487,0.9484,0.9487,0.9484
"baseline-HL",0.0964,0.0962,0.0962,0.0964,0.0962,0.0963,0.0962,0.0964,0.0962,0.0964
"baseline-RL",0.0964,0.0962,0.0962,0.0964,0.0962,0.0963,0.0962,0.0964,0.0962,0.0964
"baseline-SA",0.0964,0.0962,0.0962,0.0964,0.0962,0.0964,0.0962,0.0964,0.0962,0.0964
"BR-C5.0",0.0445,0.0446,0.0451,0.0455,0.0441,0.0451,0.0448,0.045,0.0447,0.046
"BR+-C5.0",0.046,0.0461,0.0474,0.0462,0.0462,0.0468,0.0467,0.0466,0.0466,0.0473
"CC-C5.0",0.0446,0.0444,0.0446,0.0453,0.0431,0.0447,0.0446,0.051,0.0445,0.0458
"DBR-C5.0",0.0457,0.046,0.0449,0.0467,0.0449,0.0459,0.0458,0.0463,0.0448,0.0459
"EBR-C5.0",0.0379,0.0371,0.0366,0.0374,0.0377,0.0376,0.0371,0.0368,0.0372,0.0369
"ECC-C5.0",0.0369,0.0366,0.0373,0.0374,0.0371,0.0377,0.0363,0.0369,0.0366,0.0371
"MBR-C5.0",0.0437,0.0436,0.0439,0.0449,0.0429,0.0442,0.0432,0.0441,0.0436,0.0447
"NS-C5.0",0.0433,0.0439,0.0441,0.0443,0.0431,0.0442,0.0441,0.0438,0.0439,0.045
"PruDent-C5.0",0.0445,0.0446,0.0451,0.0455,0.0441,0.0451,0.0448,0.045,0.0447,0.046
"RDBR-C5.0",0.0458,0.046,0.048,0.0461,0.0455,0.0465,0.0463,0.0455,0.0478,0.047
"BR-LR",0.0245,0.0251,0.0249,0.0248,0.0245,0.0255,0.0252,0.0244,0.025,0.0245
"BR+-LR",0.0245,0.025,0.0248,0.0247,0.0246,0.0254,0.0252,0.0244,0.025,0.0245
"CC-LR",0.0246,0.0251,0.025,0.0247,0.0246,0.0254,0.0252,0.0245,0.0252,0.0244
"DBR-LR",0.0246,0.0251,0.0249,0.0248,0.0245,0.0254,0.0252,0.0244,0.025,0.0245
"EBR-LR",0.0295,0.0301,0.0294,0.0299,0.0294,0.0302,0.0302,0.0291,0.0307,0.0286
"ECC-LR",0.0293,0.029,0.0295,0.0299,0.0297,0.0295,0.0299,0.0295,0.0298,0.0291
"MBR-LR",0.0246,0.0251,0.0249,0.0248,0.0246,0.0255,0.0252,0.0244,0.0251,0.0245
"NS-LR",0.0246,0.0248,0.0247,0.0247,0.0245,0.0256,0.0251,0.0245,0.0249,0.0244
"PruDent-LR",0.0247,0.0251,0.025,0.0249,0.0246,0.0255,0.0253,0.0245,0.0251,0.0246
"RDBR-LR",0.0247,0.0251,0.0249,0.0247,0.0246,0.0254,0.0251,0.0245,0.0251,0.0245
"BR-RF",0.0227,0.0228,0.0227,0.0231,0.0226,0.0236,0.0229,0.0227,0.0226,0.0228
"BR+-RF",0.0235,0.0244,0.0244,0.0238,0.0245,0.0244,0.0249,0.0238,0.0245,0.0236
"CC-RF",0.0235,0.0231,0.0231,0.0237,0.0227,0.024,0.0236,0.0235,0.0234,0.0236
"DBR-RF",0.0228,0.0226,0.0228,0.023,0.0224,0.0234,0.0229,0.023,0.0229,0.023
"EBR-RF",0.0238,0.0238,0.0235,0.0237,0.0237,0.0244,0.0239,0.0238,0.0237,0.0238
"ECC-RF",0.0244,0.0239,0.0247,0.0244,0.0238,0.0243,0.0251,0.024,0.0243,0.024
"MBR-RF",0.0227,0.0228,0.0227,0.0229,0.0225,0.0232,0.0228,0.0228,0.0229,0.023
"NS-RF",0.0234,0.0231,0.023,0.0234,0.023,0.0236,0.0235,0.0232,0.0233,0.0235
"PruDent-RF",0.0229,0.0228,0.0227,0.0233,0.0223,0.0232,0.0227,0.0229,0.0228,0.0228
"RDBR-RF",0.0241,0.025,0.0248,0.0239,0.025,0.0247,0.0253,0.0239,0.025,0.0239
"BR-SVM",0.0246,0.025,0.0249,0.0248,0.0245,0.0255,0.0253,0.0244,0.025,0.0245
"BR+-SVM",0.0246,0.0251,0.0248,0.0247,0.0245,0.0255,0.0252,0.0244,0.025,0.0245
"CC-SVM",0.0246,0.025,0.025,0.0247,0.0246,0.0254,0.0252,0.0244,0.0251,0.0244
"DBR-SVM",0.0245,0.025,0.0249,0.0248,0.0246,0.0254,0.0252,0.0245,0.025,0.0245
"EBR-SVM",0.0252,0.026,0.026,0.0251,0.0255,0.026,0.0266,0.0251,0.0258,0.0252
"ECC-SVM",0.0252,0.0258,0.0263,0.0252,0.0266,0.0259,0.0264,0.0249,0.0269,0.0259
"MBR-SVM",0.0246,0.0251,0.0249,0.0248,0.0246,0.0255,0.0252,0.0245,0.025,0.0246
"NS-SVM",0.0242,0.0245,0.0245,0.0245,0.0241,0.0252,0.0248,0.0241,0.0246,0.0242
"PruDent-SVM",0.0246,0.0251,0.0249,0.0248,0.0246,0.0255,0.0251,0.0244,0.0251,0.0246
"RDBR-SVM",0.0246,0.0251,0.0249,0.0248,0.0246,0.0253,0.0251,0.0245,0.0251,0.0245
"BR-SVMt",0.0266,0.0251,0.0249,0.0268,0.0281,0.0271,0.0273,0.0263,0.0284,0.0265
"BR+-SVMt",0.0266,0.0272,0.0272,0.0267,0.0268,0.027,0.0273,0.0263,0.0284,0.0265
"CC-SVMt",0.0267,0.0272,0.0272,0.0268,0.0281,0.0272,0.0285,0.0264,0.0272,0.0266
"DBR-SVMt",0.0265,0.0272,0.0271,0.0267,0.0268,0.0271,0.0273,0.0263,0.0284,0.0265
"EBR-SVMt",0.0271,0.026,0.0261,0.0258,0.0256,0.0286,0.0289,0.0269,0.0263,0.0271
"ECC-SVMt",0.0267,0.0255,0.0257,0.0258,0.027,0.0261,0.0264,0.0269,0.0264,0.0282
"MBR-SVMt",0.0266,0.0273,0.0272,0.0268,0.0268,0.0271,0.0273,0.0263,0.0272,0.0266
"NS-SVMt",0.0265,0.025,0.0268,0.0268,0.0266,0.0271,0.027,0.0263,0.0268,0.0264
"PruDent-SVMt",0.0266,0.0273,0.0272,0.0268,0.0281,0.0272,0.0273,0.0263,0.0272,0.0266
"RDBR-SVMt",0.0266,0.0272,0.0272,0.0267,0.0281,0.0271,0.0274,0.0263,0.0272,0.0265
"BR-XGB",0.0258,0.0257,0.0251,0.0259,0.0255,0.026,0.0259,0.0257,0.0254,0.0256
"BR+-XGB",0.0258,0.0254,0.0252,0.0257,0.0255,0.0258,0.0257,0.0254,0.0251,0.0253
"CC-XGB",0.0345,0.0326,0.0327,0.0339,0.033,0.0337,0.0329,0.0339,0.0326,0.0337
"DBR-XGB",0.0253,0.0253,0.0248,0.0254,0.0251,0.0255,0.0255,0.0251,0.0249,0.0249
"EBR-XGB",0.0255,0.0255,0.0256,0.0254,0.0253,0.0258,0.0257,0.025,0.0254,0.0254
"ECC-XGB",0.0314,0.0306,0.0298,0.0315,0.0282,0.0293,0.0292,0.0308,0.029,0.0312
"MBR-XGB",0.0258,0.0257,0.0251,0.0259,0.0255,0.026,0.0258,0.0256,0.0253,0.0256
"NS-XGB",0.0275,0.027,0.0262,0.027,0.0267,0.0272,0.0268,0.0266,0.0268,0.027
