"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.2418,0.2322,0.2475,0.2449,0.2413,0.2414,0.2414,0.2379,0.2414,0.2337
"baselineHL",0.1662,0.165,0.1665,0.1644,0.1648,0.166,0.1649,0.1659,0.1644,0.1664
"baselineRL",0.1923,0.1887,0.1793,0.1798,0.1834,0.1847,0.1831,0.182,0.1822,0.1778
"baselineSA",0.246,0.2258,0.2278,0.201,0.2005,0.2291,0.2009,0.2279,0.2448,0.2284
"BR-C5.0",0.2077,0.2079,0.2096,0.211,0.2082,0.2077,0.2087,0.2069,0.2119,0.2054
"BR-LR",0.1666,0.1656,0.1659,0.1647,0.1654,0.167,0.166,0.1661,0.1649,0.1667
"BR-RF",0.1719,0.1684,0.1706,0.1683,0.1694,0.1691,0.1689,0.1688,0.1705,0.1686
"BR-SVM",0.1672,0.1657,0.1659,0.1651,0.1661,0.1659,0.1654,0.167,0.1652,0.1671
"BR-SVMt",0.1675,0.1652,0.1663,0.1665,0.1663,0.1672,0.1655,0.1666,0.1663,0.1667
"BR-XGB",0.1823,0.1821,0.1821,0.1817,0.1814,0.1808,0.1812,0.1847,0.1815,0.1816
"BR+-C5.0",0.2056,0.2008,0.2032,0.2036,0.2006,0.2053,0.2069,0.2067,0.2089,0.2043
"BR+-LR",0.1682,0.167,0.1693,0.1691,0.1679,0.1708,0.1668,0.1688,0.1686,0.1694
"BR+-RF",0.1673,0.1645,0.1676,0.1656,0.1669,0.1675,0.1665,0.167,0.168,0.1674
"BR+-SVM",0.168,0.1666,0.1679,0.1679,0.1683,0.1698,0.1682,0.1692,0.1686,0.1694
"BR+-SVMt",0.1864,0.1859,0.193,0.186,0.1915,0.1892,0.1885,0.1919,0.1886,0.1892
"BR+-XGB",0.1785,0.176,0.1789,0.1776,0.1802,0.178,0.1774,0.1808,0.1786,0.1782
"CC-C5.0",0.2196,0.2173,0.2096,0.2211,0.2131,0.2157,0.2135,0.2193,0.2285,0.211
"CC-LR",0.1684,0.171,0.172,0.1688,0.1728,0.1682,0.17,0.1692,0.1689,0.1711
"CC-RF",0.1682,0.167,0.1705,0.167,0.1682,0.1694,0.1679,0.1678,0.169,0.1685
"CC-SVM",0.1684,0.1713,0.1726,0.1681,0.1724,0.1696,0.1697,0.1703,0.1687,0.1713
"CC-SVMt",0.1811,0.1842,0.1708,0.1788,0.1886,0.1792,0.1822,0.1772,0.1743,0.1778
"CC-XGB",0.1816,0.1854,0.1855,0.1795,0.1832,0.1821,0.1848,0.1824,0.1815,0.1822
"DBR-C5.0",0.2082,0.2029,0.2078,0.2072,0.2042,0.209,0.2071,0.2087,0.2103,0.2037
"DBR-LR",0.1684,0.1671,0.1684,0.1682,0.1678,0.17,0.1684,0.1693,0.1689,0.1685
"DBR-RF",0.1675,0.1649,0.1671,0.1654,0.1664,0.1672,0.1659,0.1666,0.168,0.167
