"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0916,0.0912,0.0913,0.0914,0.0915,0.0913,0.0913,0.0915,0.0913,0.0915
"baselineHL",0.0784,0.077,0.0778,0.0776,0.0778,0.0776,0.0783,0.0775,0.0777,0.0777
"baselineRL",0.0829,0.0821,0.0825,0.0825,0.0826,0.0824,0.0825,0.0824,0.0825,0.0825
"baselineSA",0.0893,0.0913,0.0886,0.0883,0.0885,0.0884,0.0889,0.088,0.0886,0.0883
"BR-C5.0",0.0649,0.0641,0.0656,0.0682,0.0652,0.0646,0.0667,0.0629,0.0634,0.0665
"BR-LR",0.0623,0.0591,0.0599,0.0604,0.0597,0.0593,0.0605,0.0596,0.059,0.06
"BR-RF",0.0606,0.0549,0.0563,0.0579,0.0579,0.0568,0.0575,0.0564,0.0558,0.0568
"BR-SVM",0.0623,0.0592,0.0598,0.0603,0.0594,0.0593,0.0605,0.0598,0.0593,0.06
"BR-SVMt",0.0638,0.0559,0.0567,0.0591,0.0578,0.0571,0.0583,0.0574,0.0583,0.0588
"BR-XGB",0.0611,0.0581,0.0597,0.0606,0.0606,0.0572,0.059,0.0591,0.0573,0.0593
"BR+-C5.0",0.0688,0.0681,0.0672,0.0696,0.0676,0.0659,0.0681,0.0649,0.0657,0.0692
"BR+-LR",0.0628,0.0604,0.0603,0.0616,0.0598,0.0596,0.0612,0.0597,0.0591,0.0606
"BR+-RF",0.06,0.0565,0.0573,0.0577,0.0577,0.0571,0.058,0.0565,0.0563,0.0567
"BR+-SVM",0.0627,0.0602,0.0601,0.0611,0.0601,0.0597,0.0609,0.0602,0.0589,0.0609
"BR+-SVMt",0.0622,0.0569,0.0583,0.0603,0.0587,0.0586,0.059,0.0594,0.0598,0.0598
"BR+-XGB",0.0649,0.0598,0.0628,0.0632,0.0645,0.0606,0.0642,0.0623,0.0603,0.0629
"CC-C5.0",0.0681,0.0676,0.0692,0.0683,0.068,0.0668,0.0668,0.0657,0.067,0.0668
"CC-LR",0.0622,0.0595,0.0597,0.0605,0.0594,0.0596,0.0602,0.0597,0.0586,0.0602
"CC-RF",0.0608,0.055,0.0565,0.0584,0.0579,0.0561,0.0576,0.0564,0.0561,0.0571
"CC-SVM",0.062,0.0595,0.0596,0.0605,0.0599,0.0596,0.0597,0.0599,0.0588,0.0601
"CC-SVMt",0.0606,0.0556,0.0559,0.0595,0.0573,0.0567,0.0585,0.0567,0.0572,0.0593
"CC-XGB",0.063,0.059,0.0605,0.0602,0.0623,0.0586,0.0611,0.0611,0.0579,0.0603
"DBR-C5.0",0.0715,0.0692,0.0688,0.0696,0.0702,0.0675,0.0691,0.0687,0.0676,0.0699
"DBR-LR",0.0625,0.0602,0.0603,0.0614,0.0601,0.0599,0.0615,0.06,0.059,0.061
"DBR-RF",0.0599,0.0561,0.0576,0.0578,0.0573,0.0571,0.058,0.0562,0.0561,0.0567
"DBR-SVM",0.0627,0.0604,0.0603,0.061,0.0602,0.06,0.061,0.0604,0.0588,0.0611
"DBR-SVMt",0.0624,0.057,0.0595,0.0603,0.06,0.0576,0.0598,0.0603,0.0574,0.0611
"DBR-XGB",0.07,0.0634,0.0671,0.067,0.0692,0.0639,0.0677,0.066,0.0639,0.0659
"EBR-C5.0",0.066,0.0624,0.0662,0.0651,0.0648,0.0636,0.0632,0.0647,0.0641,0.063
"EBR-LR",0.0648,0.067,0.0679,0.0687,0.068,0.0675,0.0671,0.0697,0.0663,0.0684
"EBR-RF",0.063,0.0599,0.0598,0.0611,0.061,0.059,0.0605,0.0601,0.0599,0.0607
"EBR-SVM",0.0708,0.0665,0.0683,0.0683,0.0677,0.0673,0.0673,0.0698,0.0665,0.0689
"EBR-SVMt",0.0662,0.068,0.0686,0.0645,0.0656,0.0653,0.0642,0.0664,0.0688,0.064
"EBR-XGB",0.0613,0.0625,0.06,0.0603,0.0608,0.0581,0.0595,0.0597,0.0595,0.0597
"ECC-C5.0",0.0657,0.0625,0.0658,0.0664,0.0663,0.0634,0.0635,0.0641,0.065,0.0639
"ECC-LR",0.0671,0.0705,0.065,0.0666,0.0656,0.0689,0.0704,0.0649,0.0632,0.0653
"ECC-RF",0.0628,0.0612,0.0608,0.0617,0.0623,0.0606,0.0614,0.0602,0.0611,0.0615
"ECC-SVM",0.0681,0.0693,0.0647,0.0698,0.0699,0.0688,0.0685,0.0652,0.0677,0.0698
"ECC-SVMt",0.0678,0.0695,0.0647,0.0662,0.0674,0.0615,0.0654,0.0721,0.0619,0.0636
"ECC-XGB",0.0626,0.0612,0.0614,0.0625,0.0643,0.0597,0.0618,0.062,0.0629,0.0617
"MBR-C5.0",0.0652,0.0638,0.0663,0.0684,0.0656,0.0638,0.0672,0.0635,0.0635,0.0665
"MBR-LR",0.0625,0.0593,0.0596,0.0602,0.0598,0.059,0.0605,0.0592,0.0593,0.0603
"MBR-RF",0.0609,0.0555,0.0564,0.0581,0.0577,0.0566,0.0576,0.0565,0.0556,0.0567
"MBR-SVM",0.0625,0.059,0.0598,0.0603,0.0594,0.0592,0.0605,0.0593,0.059,0.06
"MBR-SVMt",0.0616,0.0574,0.0576,0.0597,0.0577,0.0578,0.0595,0.0569,0.0578,0.059
"MBR-XGB",0.0612,0.0585,0.0597,0.0606,0.0607,0.0571,0.059,0.0591,0.0574,0.0593
"NS-C5.0",0.07,0.0659,0.0685,0.0706,0.0701,0.068,0.0656,0.0679,0.0672,0.0679
"NS-LR",0.0707,0.0643,0.0638,0.0685,0.0677,0.0631,0.0656,0.0684,0.0674,0.0638
"NS-RF",0.0675,0.0612,0.0617,0.0658,0.0661,0.0623,0.0631,0.0644,0.0632,0.0627
"NS-SVM",0.0705,0.0637,0.0636,0.0687,0.0677,0.0629,0.0654,0.0681,0.0677,0.0638
"NS-SVMt",0.0682,0.0621,0.0615,0.0681,0.0666,0.0606,0.062,0.0672,0.065,0.0623
"NS-XGB",0.0663,0.0615,0.0629,0.064,0.0642,0.0606,0.0636,0.0637,0.0634,0.062
"PruDent-C5.0",0.0653,0.0625,0.0634,0.0654,0.064,0.0624,0.065,0.0604,0.0618,0.0643
"PruDent-LR",0.063,0.06,0.0606,0.061,0.0603,0.0594,0.0607,0.0602,0.0591,0.0602
"PruDent-RF",0.0609,0.0546,0.0562,0.0581,0.0575,0.0563,0.0576,0.0563,0.0554,0.0571
"PruDent-SVM",0.0625,0.0592,0.0597,0.0607,0.0597,0.0593,0.0609,0.0594,0.0589,0.0599
"PruDent-SVMt",0.0603,0.0566,0.0564,0.0598,0.0582,0.0573,0.0583,0.0576,0.0567,0.0579
"PruDent-XGB",0.0611,0.0579,0.059,0.0601,0.0605,0.0576,0.0594,0.0591,0.0572,0.0588
"RDBR-C5.0",0.0675,0.0657,0.066,0.0684,0.0668,0.0668,0.0684,0.0645,0.066,0.0675
"RDBR-LR",0.0633,0.0601,0.0605,0.0617,0.0607,0.0609,0.0619,0.06,0.0595,0.0614
"RDBR-RF",0.0603,0.0572,0.058,0.0582,0.0575,0.0577,0.0584,0.0568,0.0568,0.057
"RDBR-SVM",0.0632,0.0602,0.0604,0.0616,0.0609,0.0604,0.0619,0.0601,0.0592,0.0616
