"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.3432,0.3461,0.3476,0.3417,0.3432,0.3461,0.3529,0.3359,0.3432,0.3461
"baseline-HL",0.3284,0.3255,0.3299,0.324,0.3284,0.3255,0.3271,0.3328,0.3284,0.3255
"baseline-RL",0.3284,0.3255,0.3299,0.324,0.3284,0.3255,0.3271,0.3267,0.3284,0.3255
"baseline-SA",0.3284,0.3255,0.3299,0.324,0.3299,0.3255,0.3271,0.3328,0.3299,0.3255
"BR-C5.0",0.2828,0.2563,0.2857,0.2563,0.2666,0.2607,0.2486,0.2629,0.2622,0.2563
"BR+-C5.0",0.2842,0.2622,0.2813,0.2754,0.2459,0.2828,0.2814,0.2629,0.2739,0.2784
"CC-C5.0",0.2636,0.2401,0.2901,0.2577,0.2725,0.2784,0.2829,0.2477,0.268,0.271
"DBR-C5.0",0.2784,0.2798,0.2828,0.271,0.2533,0.2739,0.3,0.266,0.2901,0.2946
"EBR-C5.0",0.2607,0.2327,0.2739,0.2622,0.2739,0.2651,0.2657,0.2477,0.2563,0.2651
"ECC-C5.0",0.2489,0.2415,0.296,0.2489,0.2518,0.2769,0.28,0.2599,0.243,0.2622
"MBR-C5.0",0.2828,0.2636,0.2784,0.2563,0.2739,0.2622,0.2543,0.2629,0.2622,0.2651
"NS-C5.0",0.2607,0.2209,0.2636,0.2607,0.2754,0.2857,0.2614,0.2614,0.2813,0.2666
"PruDent-C5.0",0.2651,0.2607,0.2754,0.2489,0.2666,0.2563,0.28,0.2644,0.2592,0.2607
"RDBR-C5.0",0.2754,0.2813,0.3019,0.2784,0.2622,0.2813,0.2886,0.2675,0.3093,0.3019
"BR-LR",0.243,0.2327,0.2504,0.2489,0.243,0.243,0.2471,0.2356,0.2489,0.2342
"BR+-LR",0.2445,0.2327,0.2651,0.2577,0.2563,0.2459,0.2486,0.2447,0.2592,0.243
"CC-LR",0.243,0.2268,0.271,0.2533,0.2459,0.2459,0.2357,0.2477,0.2489,0.2342
