"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.753,0.7526,0.7524,0.7532,0.753,0.7526,0.7546,0.751,0.7535,0.7521
"baselineHL",0.3311,0.3313,0.3315,0.3309,0.3311,0.3313,0.3304,0.3321,0.3308,0.3316
"baselineRL",0.3311,0.3313,0.3315,0.3309,0.3311,0.3313,0.3304,0.3321,0.3308,0.3316
"baselineSA",0.3351,0.3353,0.3355,0.3349,0.3351,0.3353,0.3343,0.3361,0.3348,0.3356
"BR-C5.0",0.2444,0.222,0.2248,0.2428,0.2436,0.237,0.2411,0.2411,0.2345,0.2463
"BR-LR",0.1518,0.1506,0.1552,0.1514,0.1564,0.1552,0.1438,0.152,0.1498,0.1579
"BR-RF",0.1447,0.1435,0.1445,0.1425,0.1497,0.1489,0.1435,0.1488,0.146,0.1492
"BR-SVM",0.1534,0.1506,0.1558,0.1518,0.1564,0.155,0.1407,0.1522,0.1498,0.1573
"BR-SVMt",0.1594,0.1467,0.1469,0.152,0.151,0.165,0.1454,0.147,0.1515,0.1681
"BR-XGB",0.1487,0.1473,0.1473,0.1437,0.155,0.1536,0.15,0.1498,0.142,0.1549
"BR+-C5.0",0.2472,0.2294,0.2286,0.2386,0.2344,0.2406,0.2256,0.2401,0.2213,0.2395
"BR+-LR",0.1538,0.1506,0.1538,0.1516,0.1556,0.1574,0.1421,0.152,0.148,0.1573
"BR+-RF",0.1491,0.1421,0.1467,0.1431,0.1499,0.1441,0.145,0.1458,0.1408,0.1519
"BR+-SVM",0.154,0.1506,0.1542,0.1518,0.1552,0.1574,0.1423,0.1516,0.1486,0.1571
"BR+-SVMt",0.1648,0.1443,0.1463,0.1692,0.1499,0.1604,0.1486,0.1484,0.1438,0.1549
"BR+-XGB",0.1483,0.1471,0.1485,0.1479,0.1556,0.1528,0.153,0.1494,0.1446,0.1545
"CC-C5.0",0.2392,0.2348,0.2404,0.2366,0.2388,0.2446,0.2302,0.2468,0.2307,0.2433
"CC-LR",0.1542,0.153,0.1576,0.15,0.157,0.157,0.146,0.1536,0.149,0.1579
"CC-RF",0.1455,0.1439,0.1439,0.1441,0.1491,0.1465,0.1452,0.1484,0.141,0.1517
"CC-SVM",0.1552,0.1534,0.1572,0.1504,0.1552,0.1566,0.1452,0.153,0.15,0.1577
"CC-SVMt",0.1562,0.1469,0.1479,0.1616,0.1516,0.1698,0.1482,0.1494,0.148,0.1593
"CC-XGB",0.1624,0.1584,0.1574,0.1566,0.158,0.1638,0.1621,0.1571,0.1494,0.1635
