"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0966,0.0965,0.0964,0.0968,0.0964,0.0967,0.0964,0.0968,0.0967,0.0964
"baseline-HL",0.0534,0.0532,0.053,0.0536,0.0531,0.0535,0.053,0.0536,0.0535,0.0531
"baseline-RL",0.0534,0.0532,0.053,0.0536,0.0531,0.0535,0.053,0.0536,0.0535,0.0531
"baseline-SA",0.0534,0.0532,0.053,0.0536,0.0531,0.0535,0.053,0.0536,0.0535,0.0531
"BR-C5.0",0.0514,0.0496,0.0505,0.0548,0.0504,0.0521,0.0504,0.0534,0.0495,0.0507
"BR+-C5.0",0.0518,0.05,0.0515,0.0516,0.051,0.052,0.0501,0.0524,0.0496,0.0509
"CC-C5.0",0.0521,0.05,0.0511,0.0531,0.0508,0.0521,0.0504,0.0532,0.0509,0.051
"DBR-C5.0",0.0516,0.0502,0.0516,0.0516,0.051,0.052,0.05,0.0522,0.0499,0.0508
"EBR-C5.0",0.0556,0.0486,0.057,0.0589,0.0579,0.0556,0.057,0.0566,0.0549,0.0551
"ECC-C5.0",0.0548,0.0572,0.0549,0.0566,0.0593,0.0544,0.0571,0.0565,0.0558,0.0558
"MBR-C5.0",0.0501,0.0497,0.0505,0.0541,0.0508,0.0518,0.0502,0.0542,0.0505,0.0508
"NS-C5.0",0.0503,0.048,0.0496,0.0509,0.0493,0.0493,0.049,0.0512,0.0493,0.049
"PruDent-C5.0",0.0514,0.0496,0.0505,0.0548,0.0504,0.0521,0.0504,0.0534,0.0495,0.0507
"RDBR-C5.0",0.0514,0.05,0.0519,0.0514,0.0511,0.0521,0.05,0.0521,0.0491,0.0509
"BR-LR",0.0443,0.0432,0.0434,0.0441,0.0438,0.0441,0.0434,0.044,0.0433,0.043
"BR+-LR",0.0436,0.0435,0.0434,0.0441,0.0442,0.0438,0.0433,0.0441,0.0438,0.0433
"CC-LR",0.0445,0.0436,0.044,0.0439,0.0436,0.0441,0.0434,0.0444,0.0433,0.0431
"DBR-LR",0.0443,0.0438,0.0435,0.0438,0.0436,0.0441,0.0432,0.044,0.0431,0.0433
"EBR-LR",0.0499,0.0513,0.0484,0.0488,0.0495,0.0479,0.0491,0.0497,0.05,0.0493
"ECC-LR",0.0497,0.0504,0.0489,0.0502,0.0493,0.0495,0.0501,0.0493,0.0499,0.0497
"MBR-LR",0.0445,0.0439,0.0434,0.0449,0.0441,0.0446,0.0432,0.0449,0.0431,0.0433
"NS-LR",0.0443,0.0435,0.0431,0.044,0.0438,0.0441,0.0431,0.0443,0.0434,0.0435
"PruDent-LR",0.0447,0.0432,0.0439,0.0445,0.0438,0.0439,0.0431,0.0442,0.043,0.0433
"RDBR-LR",0.0438,0.0432,0.0436,0.0443,0.0437,0.0436,0.0431,0.0436,0.0435,0.0428
"BR-RF",0.0447,0.0425,0.0435,0.0443,0.0428,0.0437,0.0429,0.0442,0.0434,0.0431
"BR+-RF",0.0451,0.0432,0.0433,0.0442,0.0433,0.0448,0.043,0.0449,0.0442,0.0422
"CC-RF",0.0452,0.0431,0.0436,0.0447,0.043,0.0444,0.0425,0.0447,0.0424,0.0419
"DBR-RF",0.0451,0.0432,0.0436,0.0443,0.0433,0.0448,0.043,0.045,0.0441,0.0422
"EBR-RF",0.0505,0.0482,0.0509,0.0516,0.0499,0.0509,0.0493,0.0512,0.051,0.0494
"ECC-RF",0.0505,0.0498,0.0509,0.0506,0.0492,0.0512,0.0492,0.0514,0.0511,0.0486
"MBR-RF",0.0441,0.0429,0.0434,0.0443,0.0434,0.0437,0.0423,0.0448,0.0431,0.042
"NS-RF",0.0448,0.0431,0.0436,0.0444,0.0431,0.0445,0.0424,0.0442,0.0442,0.0427
