"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0412,0.0412,0.0412,0.0412,0.0412,0.0412,0.0412,0.0412,0.0412,0.0412
"baseline-HL",0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359
"baseline-RL",0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047,0.047
"baseline-SA",0.0422,0.0422,0.0421,0.0422,0.0422,0.0422,0.0422,0.0422,0.0421,0.0422
"BR-C5.0",0.0323,0.0326,0.0323,0.0327,0.0323,0.0324,0.0324,0.0322,0.0323,0.0325
"BR+-C5.0",0.0342,0.0347,0.0347,0.0347,0.035,0.0346,0.0346,0.035,0.0349,0.0348
"CC-C5.0",0.0334,0.0331,0.0332,0.033,0.0332,0.033,0.0331,0.033,0.0331,0.0333
"DBR-C5.0",0.0362,0.0364,0.036,0.0367,0.037,0.036,0.0363,0.0368,0.0364,0.0366
"EBR-C5.0",0.0351,0.0347,0.0349,0.0348,0.0348,0.0347,0.0352,0.0345,0.035,0.0346
"ECC-C5.0",0.0351,0.0349,0.0347,0.0346,0.035,0.035,0.0351,0.0347,0.035,0.0347
"MBR-C5.0",0.0323,0.0325,0.0324,0.0329,0.0323,0.0324,0.0325,0.0322,0.0325,0.0325
"NS-C5.0",0.0321,0.0322,0.0322,0.0319,0.0321,0.0321,0.0322,0.0321,0.0321,0.0319
"PruDent-C5.0",0.0317,0.0319,0.0317,0.032,0.0317,0.0317,0.0318,0.0317,0.0318,0.0318
"RDBR-C5.0",0.0342,0.0347,0.0346,0.0346,0.0356,0.0342,0.0345,0.0351,0.0351,0.035
"BR-LR",0.0291,0.0291,0.0292,0.0291,0.0292,0.0292,0.0292,0.0291,0.0292,0.0292
"BR+-LR",0.0308,0.0309,0.0309,0.0309,0.0309,0.0309,0.0311,0.0308,0.031,0.0308
"CC-LR",0.0294,0.0295,0.0296,0.0295,0.0295,0.0296,0.0295,0.0295,0.0295,0.0296
"DBR-LR",0.0311,0.031,0.031,0.0311,0.031,0.0311,0.0312,0.0309,0.0311,0.031
"EBR-LR",0.0354,0.035,0.0353,0.035,0.0353,0.035,0.0353,0.035,0.0352,0.0352
