"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.1561,0.1554,0.1561,0.1554,0.1179,0.1554,0.1559,0.1556,0.1559,0.1555
"baseline-HL",0.0825,0.0817,0.082,0.0822,0.0824,0.0818,0.0818,0.0823,0.082,0.0821
"baseline-RL",0.0825,0.0817,0.082,0.0822,0.0824,0.0818,0.0818,0.0823,0.082,0.0821
"baseline-SA",0.0825,0.0817,0.082,0.0822,0.0824,0.0818,0.0818,0.0823,0.082,0.0821
"BR-C5.0",0.0262,0.0194,0.0236,0.0215,0.0246,0.0213,0.022,0.0218,0.0223,0.0239
"BR+-C5.0",0.0262,0.0201,0.022,0.0212,0.0246,0.0206,0.0199,0.0212,0.0216,0.023
"CC-C5.0",0.0254,0.0182,0.0237,0.0208,0.0253,0.0206,0.0217,0.0187,0.023,0.0211
"DBR-C5.0",0.0261,0.0203,0.0215,0.0213,0.0242,0.0207,0.0205,0.0229,0.0222,0.0247
"EBR-C5.0",0.02,0.0201,0.0225,0.0208,0.0196,0.0196,0.0182,0.0203,0.0193,0.0231
"ECC-C5.0",0.0213,0.02,0.022,0.0212,0.0228,0.0184,0.0184,0.02,0.0196,0.0214
"MBR-C5.0",0.0261,0.0195,0.0238,0.0214,0.0244,0.0212,0.0218,0.0215,0.0222,0.024
"NS-C5.0",0.0245,0.0199,0.0229,0.0214,0.0244,0.0214,0.0215,0.0186,0.0223,0.0206
"PruDent-C5.0",0.0262,0.0194,0.0236,0.0215,0.0246,0.0213,0.022,0.0218,0.0223,0.0239
"RDBR-C5.0",0.0261,0.0201,0.0223,0.0212,0.0246,0.0206,0.02,0.0212,0.0215,0.023
"BR-LR",0.0201,0.0228,0.0207,0.0229,0.0208,0.0211,0.0215,0.0194,0.0203,0.0215
"BR+-LR",0.02,0.0227,0.0208,0.0228,0.0212,0.022,0.0213,0.0196,0.0209,0.0217
"CC-LR",0.02,0.0225,0.0199,0.0229,0.0215,0.0222,0.0213,0.0194,0.0204,0.0224
"DBR-LR",0.0201,0.023,0.0207,0.0234,0.0211,0.0214,0.0216,0.0202,0.0212,0.0221
"EBR-LR",0.0254,0.0258,0.0245,0.0261,0.0266,0.0281,0.0306,0.0313,0.0422,0.035
"ECC-LR",0.0248,0.0251,0.0328,0.0262,0.0271,0.0259,0.031,0.0297,0.0306,0.0286
"MBR-LR",0.0203,0.0223,0.0202,0.0222,0.0205,0.0212,0.0213,0.0197,0.0211,0.0214
"NS-LR",0.0215,0.0238,0.0209,0.0237,0.0219,0.0227,0.0216,0.0208,0.0215,0.0222
"PruDent-LR",0.0203,0.0225,0.0199,0.0234,0.0208,0.0212,0.0209,0.0202,0.0213,0.0216
"RDBR-LR",0.0206,0.0233,0.0208,0.0226,0.0211,0.0217,0.0215,0.0207,0.0217,0.0213
"BR-RF",0.0275,0.0269,0.0285,0.0263,0.026,0.028,0.0273,0.027,0.0288,0.0244
"BR+-RF",0.0275,0.0279,0.0274,0.0279,0.0263,0.0289,0.0268,0.0273,0.0297,0.0254
"CC-RF",0.0264,0.0269,0.0285,0.0256,0.0268,0.0252,0.0261,0.0246,0.0275,0.0247
"DBR-RF",0.0279,0.0283,0.0282,0.0271,0.0257,0.028,0.027,0.0275,0.03,0.025
"EBR-RF",0.0293,0.0289,0.0314,0.0299,0.0294,0.0294,0.0298,0.0278,0.0293,0.0273
"ECC-RF",0.0293,0.031,0.0312,0.0308,0.03,0.0287,0.0312,0.0302,0.03,0.0286
"MBR-RF",0.0271,0.0253,0.0283,0.0292,0.0273,0.0274,0.0258,0.0262,0.0283,0.0252
"NS-RF",0.0277,0.0255,0.0287,0.0258,0.0269,0.0267,0.0279,0.0248,0.0281,0.0248
"PruDent-RF",0.0264,0.0254,0.0271,0.0258,0.0261,0.0272,0.0263,0.0256,0.0283,0.0246
"RDBR-RF",0.0271,0.0269,0.0274,0.0279,0.0262,0.0278,0.0267,0.0268,0.0289,0.0259
"BR-SVM",0.0206,0.0222,0.0202,0.0229,0.0202,0.021,0.0206,0.0198,0.0205,0.0215
"BR+-SVM",0.0206,0.0228,0.0206,0.0235,0.0209,0.0219,0.0212,0.02,0.0211,0.0217
"CC-SVM",0.02,0.022,0.0201,0.023,0.0213,0.0215,0.021,0.0196,0.0201,0.0219
"DBR-SVM",0.0209,0.0229,0.0206,0.0234,0.0211,0.022,0.0212,0.02,0.0212,0.0217
"EBR-SVM",0.0198,0.021,0.02,0.0214,0.0215,0.0198,0.0241,0.0193,0.0206,0.0205
"ECC-SVM",0.0206,0.0225,0.0204,0.0226,0.0213,0.0212,0.0219,0.02,0.0213,0.0212
"MBR-SVM",0.0197,0.0224,0.0203,0.0224,0.0209,0.0208,0.0204,0.0197,0.0206,0.0216
"NS-SVM",0.0201,0.023,0.02,0.0237,0.0211,0.0218,0.0204,0.02,0.021,0.0218
"PruDent-SVM",0.02,0.0223,0.0202,0.0223,0.0209,0.0208,0.0205,0.0197,0.0213,0.0214
"RDBR-SVM",0.0208,0.0229,0.0206,0.0237,0.0211,0.0219,0.0207,0.02,0.0211,0.0217
"BR-SVMt",0.02,0.0194,0.018,0.0225,0.0194,0.0187,0.0177,0.0199,0.0195,0.0221
"BR+-SVMt",0.0213,0.0208,0.0178,0.0237,0.0211,0.0206,0.0191,0.0194,0.0181,0.0236
"CC-SVMt",0.0205,0.0203,0.0187,0.0251,0.0191,0.0205,0.0197,0.0201,0.0188,0.0229
"DBR-SVMt",0.0197,0.0191,0.0183,0.0234,0.0205,0.0195,0.0172,0.0188,0.0182,0.0231
"EBR-SVMt",0.0196,0.0206,0.0173,0.0211,0.0195,0.0183,0.0194,0.0187,0.0209,0.0214
"ECC-SVMt",0.0306,0.0272,0.0182,0.021,0.0187,0.0194,0.019,0.0176,0.0215,0.0209
"MBR-SVMt",0.0212,0.0194,0.0194,0.0205,0.0209,0.0192,0.0188,0.02,0.0182,0.0212
"NS-SVMt",0.0197,0.0203,0.0189,0.0204,0.0185,0.0206,0.0196,0.0182,0.0191,0.0223
"PruDent-SVMt",0.0208,0.0183,0.0185,0.0203,0.0197,0.0189,0.0171,0.0192,0.0197,0.0219
"RDBR-SVMt",0.0189,0.0204,0.0171,0.0232,0.0217,0.0203,0.0174,0.0202,0.0192,0.0226
"BR-XGB",0.0207,0.0192,0.0187,0.0212,0.0206,0.0185,0.0196,0.0192,0.0197,0.0217
"BR+-XGB",0.0211,0.0201,0.0182,0.0219,0.0203,0.0188,0.0202,0.0196,0.0193,0.0211
"CC-XGB",0.0211,0.0211,0.0194,0.0215,0.0203,0.0199,0.0209,0.0194,0.0193,0.0223
"DBR-XGB",0.021,0.0204,0.0186,0.0213,0.0206,0.0194,0.0201,0.0198,0.0197,0.0207
"EBR-XGB",0.0196,0.0198,0.0186,0.021,0.0188,0.0187,0.018,0.0194,0.0184,0.0205
"ECC-XGB",0.019,0.0191,0.0176,0.0214,0.019,0.0195,0.0182,0.0201,0.0192,0.0214
"MBR-XGB",0.0207,0.0192,0.0187,0.0212,0.0206,0.0185,0.0196,0.0192,0.0197,0.0218
"NS-XGB",0.0204,0.0209,0.0186,0.022,0.0205,0.0209,0.0209,0.0206,0.0196,0.0221
"PruDent-XGB",0.0207,0.0192,0.0187,0.0212,0.0206,0.0185,0.0196,0.0192,0.0197,0.0217
"RDBR-XGB",0.021,0.0204,0.0184,0.0223,0.0203,0.0183,0.0193,0.0196,0.0195,0.0213
