"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.1458,0.1457,0.1458,0.1457,0.1458,0.1457,0.1457,0.1458,0.1457,0.1458
"baseline-HL",0.0912,0.091,0.0912,0.0911,0.0913,0.091,0.091,0.0912,0.091,0.0912
"baseline-RL",0.0912,0.091,0.0912,0.0911,0.0913,0.091,0.091,0.0912,0.091,0.0912
"baseline-SA",0.1,0.0997,0.0999,0.0998,0.1,0.0997,0.0998,0.1,0.0997,0.1
"BR-C5.0",0.0611,0.0608,0.06,0.0611,0.0614,0.0609,0.0603,0.0623,0.0603,0.0617
"BR+-C5.0",0.0608,0.062,0.0602,0.0608,0.063,0.0607,0.0604,0.0617,0.0621,0.061
"CC-C5.0",0.0605,0.0604,0.0599,0.061,0.0617,0.0606,0.0604,0.0617,0.0604,0.0611
"DBR-C5.0",0.0613,0.0605,0.0602,0.0608,0.0617,0.0607,0.0604,0.0617,0.0604,0.061
"EBR-C5.0",0.0625,0.0623,0.0627,0.0625,0.0622,0.0627,0.0618,0.0631,0.0617,0.0638
"ECC-C5.0",0.0629,0.0626,0.0627,0.0625,0.0624,0.0626,0.0623,0.0635,0.0617,0.0636
"MBR-C5.0",0.0608,0.0608,0.0598,0.0607,0.0613,0.061,0.06,0.062,0.06,0.0614
"NS-C5.0",0.061,0.0607,0.0601,0.0611,0.0612,0.0603,0.0602,0.0615,0.06,0.0614
"PruDent-C5.0",0.0611,0.0608,0.06,0.0611,0.0614,0.0609,0.0603,0.0623,0.0603,0.0617
"RDBR-C5.0",0.061,0.0651,0.0603,0.0607,0.0681,0.0607,0.0604,0.0617,0.0673,0.0609
"BR-LR",0.055,0.0556,0.0552,0.0557,0.0553,0.0557,0.055,0.0555,0.0549,0.0558
"BR+-LR",0.055,0.0556,0.0551,0.0556,0.0553,0.0556,0.0549,0.0555,0.0547,0.0557
"CC-LR",0.0551,0.0556,0.0551,0.0557,0.0553,0.0557,0.0551,0.0555,0.0548,0.0557
"DBR-LR",0.055,0.0556,0.0551,0.0555,0.0553,0.0556,0.055,0.0556,0.0548,0.0558
"EBR-LR",0.0624,0.0625,0.0624,0.0631,0.0624,0.0631,0.0627,0.0627,0.0621,0.0626
