"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.8207,0.8213,0.8207,0.8213,0.8207,0.8213,0.8207,0.8213,0.8207,0.8213
"baseline-HL",0.272,0.2717,0.272,0.2717,0.272,0.2717,0.272,0.2717,0.272,0.2717
"baseline-RL",0.272,0.2717,0.272,0.2717,0.272,0.2717,0.272,0.2717,0.272,0.2717
"baseline-SA",0.272,0.2859,0.272,0.2859,0.272,0.2859,0.272,0.2859,0.272,0.2859
"BR-C5.0",0.1416,0.1419,0.1416,0.1419,0.1416,0.1419,0.1416,0.1419,0.1416,0.1419
"BR+-C5.0",0.1338,0.1471,0.1338,0.1471,0.1338,0.1471,0.1338,0.1471,0.1338,0.1471
"CC-C5.0",0.1327,0.1474,0.1327,0.1474,0.1327,0.1474,0.1327,0.1474,0.1327,0.1474
"DBR-C5.0",0.1426,0.1489,0.1426,0.1489,0.1426,0.1489,0.1426,0.1489,0.1426,0.1489
"EBR-C5.0",0.1046,0.1038,0.1046,0.1038,0.1046,0.1038,0.1046,0.1038,0.1046,0.1038
"ECC-C5.0",0.1056,0.1048,0.1056,0.1048,0.1056,0.1048,0.1056,0.1048,0.1056,0.1048
"MBR-C5.0",0.1409,0.14,0.1409,0.14,0.1409,0.14,0.1409,0.14,0.1409,0.14
"NS-C5.0",0.1381,0.1438,0.1381,0.1438,0.1381,0.1438,0.1381,0.1438,0.1381,0.1438
"PruDent-C5.0",0.1416,0.1419,0.1416,0.1419,0.1416,0.1419,0.1416,0.1419,0.1416,0.1419
"RDBR-C5.0",0.1301,0.1434,0.1301,0.1434,0.1301,0.1434,0.1301,0.1434,0.1301,0.1434
"BR-LR",0.0779,0.0749,0.0781,0.0756,0.0774,0.0746,0.0777,0.0752,0.0774,0.0749
"BR+-LR",0.077,0.0735,0.0773,0.0734,0.0773,0.0738,0.0765,0.0745,0.0773,0.0734
"CC-LR",0.0776,0.0743,0.0766,0.0736,0.0781,0.0741,0.0769,0.0739,0.0777,0.0734
"DBR-LR",0.0783,0.0743,0.077,0.0743,0.0774,0.0739,0.0772,0.0746,0.0773,0.0749
"EBR-LR",0.0822,0.0814,0.0824,0.0797,0.0806,0.0806,0.0831,0.0792,0.0846,0.0788
"ECC-LR",0.0812,0.0788,0.0827,0.0752,0.0826,0.08,0.0805,0.079,0.0827,0.08
