"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.2673,0.2673,0.2673,0.2673,0.2673,0.2673,0.2673,0.2672,0.2672,0.2673
"baselineHL",0.1042,0.1036,0.1035,0.1044,0.104,0.1038,0.1035,0.1043,0.1037,0.1041
"baselineRL",0.1042,0.1036,0.1035,0.1044,0.104,0.1038,0.1035,0.1043,0.1037,0.1041
"baselineSA",0.1042,0.1036,0.1035,0.1044,0.104,0.1038,0.1035,0.1043,0.1037,0.1041
"BR-C5.0",0.0746,0.0742,0.0734,0.0761,0.0725,0.074,0.0747,0.0754,0.0756,0.0746
"BR-LR",0.0527,0.0539,0.0553,0.0539,0.0528,0.0558,0.055,0.0524,0.0548,0.0532
"BR-RF",0.0536,0.0524,0.0525,0.054,0.0531,0.0512,0.0532,0.0538,0.0526,0.0544
"BR-SVM",0.0528,0.0535,0.0551,0.0543,0.0528,0.0557,0.0549,0.0525,0.0548,0.053
"BR-SVMt",0.0525,0.102,0.0581,0.0513,0.0511,0.1026,0.0976,0.0508,0.0832,0.0523
"BR-XGB",0.0569,0.0561,0.0564,0.0579,0.0566,0.0564,0.0568,0.0567,0.0569,0.0569
"BR+-C5.0",0.0743,0.0735,0.0734,0.0741,0.0724,0.0751,0.0758,0.0746,0.0749,0.0743
"BR+-LR",0.054,0.0534,0.0553,0.055,0.0539,0.0555,0.055,0.0534,0.055,0.0539
"BR+-RF",0.056,0.0547,0.0537,0.0553,0.0552,0.0537,0.0541,0.0542,0.0541,0.0563
"BR+-SVM",0.0539,0.0535,0.0551,0.055,0.0542,0.0557,0.0547,0.0531,0.0552,0.0536
"BR+-SVMt",0.0519,0.1029,0.1023,0.0523,0.0514,0.1026,0.1024,0.0525,0.1025,0.0522
"BR+-XGB",0.0572,0.0562,0.0565,0.0578,0.0568,0.057,0.0571,0.0565,0.0571,0.0564
"CC-C5.0",0.0739,0.0749,0.0734,0.0756,0.0736,0.0747,0.0742,0.0746,0.0749,0.0736
"CC-LR",0.0572,0.0539,0.0552,0.0572,0.0564,0.0561,0.0549,0.0572,0.0547,0.0568
"CC-RF",0.0535,0.0528,0.0529,0.054,0.0528,0.0525,0.0541,0.0534,0.0532,0.0543
"CC-SVM",0.0576,0.0535,0.0554,0.0573,0.0561,0.0561,0.055,0.0573,0.055,0.0571
