"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0526,0.0525,0.0628,0.0526,0.0526,0.0526,0.0526,0.0526,0.0524,0.0527
"baseline-HL",0.0328,0.0325,0.0326,0.0327,0.0326,0.0327,0.0326,0.0327,0.0326,0.0327
"baseline-RL",0.0328,0.0325,0.0326,0.0327,0.0326,0.0327,0.0326,0.0327,0.0326,0.0327
"baseline-SA",0.0328,0.0325,0.0326,0.0327,0.0326,0.0327,0.0326,0.0327,0.0326,0.0327
"BR-C5.0",0.0289,0.0288,0.0286,0.03,0.0281,0.0283,0.0282,0.0291,0.029,0.0287
"BR+-C5.0",0.0292,0.0277,0.0285,0.0298,0.029,0.0288,0.0277,0.0296,0.0295,0.0285
"CC-C5.0",0.0289,0.0281,0.0287,0.0296,0.0285,0.0286,0.0278,0.0283,0.0285,0.029
"DBR-C5.0",0.0289,0.028,0.0284,0.0299,0.0291,0.0288,0.0277,0.0295,0.0294,0.0285
"EBR-C5.0",0.0304,0.0305,0.0298,0.0331,0.0298,0.031,0.0306,0.0317,0.032,0.0308
"ECC-C5.0",0.0304,0.03,0.0295,0.0318,0.0297,0.0304,0.0294,0.0309,0.0319,0.0306
"MBR-C5.0",0.0297,0.0288,0.0288,0.0302,0.0284,0.0285,0.0287,0.0294,0.0293,0.0288
"NS-C5.0",0.028,0.0282,0.0276,0.0288,0.0276,0.0285,0.0272,0.0283,0.0283,0.0284
"PruDent-C5.0",0.0289,0.0288,0.0286,0.03,0.0281,0.0283,0.0282,0.0291,0.029,0.0287
"RDBR-C5.0",0.029,0.0277,0.0283,0.0299,0.029,0.0289,0.0277,0.0295,0.0297,0.0285
"BR-LR",0.0272,0.0271,0.0266,0.0279,0.0276,0.027,0.0271,0.0274,0.0268,0.0269
"BR+-LR",0.0272,0.0269,0.0261,0.0273,0.0269,0.0267,0.0266,0.0271,0.0266,0.0268
"CC-LR",0.0271,0.0271,0.0261,0.0279,0.0273,0.0267,0.0269,0.0271,0.0264,0.0268
"DBR-LR",0.0271,0.0272,0.0262,0.0276,0.0272,0.0268,0.0267,0.027,0.0265,0.0268
"EBR-LR",0.0352,0.036,0.0361,0.0357,0.0371,0.036,0.0361,0.0351,0.0358,0.0364
"ECC-LR",0.0363,0.0358,0.0351,0.0357,0.0351,0.0357,0.0381,0.0359,0.0357,0.0364
"MBR-LR",0.0269,0.0266,0.0258,0.0269,0.0269,0.0262,0.0267,0.0261,0.0264,0.0268
"NS-LR",0.0257,0.027,0.0256,0.0274,0.0278,0.0252,0.0252,0.0274,0.0269,0.0265
"PruDent-LR",0.0271,0.0272,0.0261,0.0278,0.0271,0.027,0.0268,0.0272,0.0268,0.0269
"RDBR-LR",0.0272,0.0271,0.0261,0.0275,0.0269,0.0268,0.0264,0.027,0.0268,0.0266
"BR-RF",0.0253,0.0259,0.026,0.026,0.0261,0.026,0.0256,0.0257,0.0255,0.0256
"BR+-RF",0.0257,0.0261,0.0258,0.026,0.0262,0.0261,0.0257,0.0258,0.0259,0.0258
"CC-RF",0.0254,0.0262,0.0258,0.0261,0.0263,0.026,0.0257,0.0258,0.0257,0.026
"DBR-RF",0.0257,0.0261,0.0257,0.026,0.0261,0.026,0.0256,0.0258,0.0257,0.0258
"EBR-RF",0.0353,0.0357,0.0345,0.0363,0.035,0.0359,0.0355,0.0358,0.0351,0.0353
"ECC-RF",0.0358,0.0357,0.0351,0.0354,0.0358,0.0362,0.0353,0.0356,0.0353,0.0358
"MBR-RF",0.0253,0.026,0.0258,0.026,0.026,0.0258,0.0256,0.0255,0.0255,0.026
"NS-RF",0.0256,0.0257,0.0258,0.0261,0.0261,0.026,0.0255,0.0257,0.0257,0.026
"PruDent-RF",0.0254,0.0258,0.0257,0.0258,0.0262,0.0257,0.0255,0.0257,0.0254,0.0258
"RDBR-RF",0.0257,0.026,0.0257,0.0258,0.0262,0.026,0.0258,0.0257,0.0258,0.0257
"BR-SVM",0.0272,0.027,0.0265,0.0279,0.0273,0.0268,0.0266,0.0272,0.0267,0.0271
"BR+-SVM",0.0272,0.0268,0.0261,0.0274,0.0271,0.0265,0.0268,0.0271,0.0268,0.027
"CC-SVM",0.0272,0.0271,0.0264,0.0277,0.0273,0.0267,0.0268,0.0271,0.0267,0.027
"DBR-SVM",0.0272,0.0268,0.0262,0.0275,0.0271,0.0265,0.0268,0.0271,0.0267,0.027
"EBR-SVM",0.0346,0.0352,0.0338,0.0352,0.0345,0.0342,0.034,0.0342,0.0345,0.0368
"ECC-SVM",0.0351,0.0298,0.0349,0.0345,0.0346,0.0349,0.0357,0.0345,0.0342,0.0357
"MBR-SVM",0.0272,0.0274,0.0261,0.0281,0.0272,0.027,0.0268,0.0272,0.0264,0.0269
"NS-SVM",0.0259,0.0262,0.0266,0.0278,0.0258,0.0254,0.0255,0.0273,0.0257,0.0264
"PruDent-SVM",0.0273,0.0269,0.0263,0.0276,0.0274,0.0268,0.0269,0.0271,0.027,0.0269
"RDBR-SVM",0.0271,0.0267,0.0262,0.0273,0.027,0.0266,0.0269,0.0271,0.0267,0.027
"BR-SVMt",0.0269,0.0267,0.0277,0.0287,0.0282,0.0266,0.028,0.0271,0.0323,0.0265
"BR+-SVMt",0.0266,0.0272,0.0276,0.0279,0.0269,0.0266,0.0273,0.0267,0.0323,0.0263
"CC-SVMt",0.0271,0.0268,0.0275,0.0276,0.0262,0.0277,0.0278,0.0267,0.0322,0.0274
"DBR-SVMt",0.0273,0.0277,0.0276,0.0279,0.0278,0.0263,0.0262,0.0269,0.0312,0.0271
"EBR-SVMt",0.0354,0.036,0.0352,0.0393,0.0357,0.0319,0.0361,0.0349,0.0344,0.0299
"ECC-SVMt",0.0361,0.0357,0.0343,0.0334,0.0296,0.0344,0.034,0.0345,0.0351,0.0337
