"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.3306,0.3311,0.3305,0.3312,0.3308,0.3309,0.3304,0.3313,0.3312,0.3305
"baselineHL",0.2321,0.2316,0.2321,0.2316,0.232,0.2317,0.2319,0.2318,0.2317,0.2319
"baselineRL",0.2553,0.2552,0.2552,0.2553,0.2553,0.2552,0.2551,0.2554,0.2553,0.2552
"baselineSA",0.2812,0.2656,0.2811,0.2657,0.2657,0.2656,0.2809,0.2658,0.2657,0.2656
"BR-C5.0",0.2601,0.2427,0.2403,0.253,0.2564,0.2457,0.2523,0.2575,0.2496,0.2478
"BR-LR",0.1885,0.1905,0.1867,0.1857,0.1855,0.1873,0.188,0.1846,0.1864,0.1866
"BR-RF",0.1927,0.1923,0.1913,0.1886,0.1882,0.191,0.1918,0.188,0.1905,0.1879
"BR-SVM",0.1882,0.1898,0.1866,0.1852,0.1855,0.1873,0.1876,0.184,0.1874,0.1863
"BR-SVMt",0.1894,0.1902,0.186,0.1836,0.1842,0.1872,0.1885,0.1823,0.1873,0.187
"BR-XGB",0.1985,0.1981,0.1988,0.1975,0.194,0.1961,0.2029,0.1956,0.1979,0.196
"BR+-C5.0",0.2978,0.2764,0.2541,0.289,0.2883,0.2711,0.2828,0.2829,0.278,0.2803
"BR+-LR",0.1962,0.1972,0.1914,0.1943,0.1899,0.1922,0.1966,0.1926,0.1928,0.1941
"BR+-RF",0.193,0.1959,0.1915,0.191,0.1909,0.1931,0.1949,0.1911,0.1914,0.1885
"BR+-SVM",0.1966,0.1977,0.1915,0.1937,0.1914,0.1922,0.1974,0.1929,0.1931,0.1937
"BR+-SVMt",0.1964,0.1961,0.1914,0.1915,0.1908,0.1923,0.1969,0.1906,0.1939,0.1959
"BR+-XGB",0.2108,0.2071,0.2122,0.2084,0.2021,0.2048,0.2143,0.2078,0.207,0.206
"CC-C5.0",0.2654,0.2668,0.2688,0.2642,0.2699,0.259,0.2734,0.2734,0.2566,0.2685
"CC-LR",0.1955,0.1926,0.192,0.191,0.1884,0.1922,0.1924,0.1923,0.1916,0.1911
"CC-RF",0.1955,0.1947,0.1911,0.1908,0.1918,0.1908,0.1908,0.1913,0.1916,0.1907
"CC-SVM",0.1956,0.1936,0.1923,0.19,0.1875,0.1917,0.1926,0.1928,0.1919,0.1915
"CC-SVMt",0.2129,0.1917,0.1905,0.1928,0.1909,0.1908,0.1934,0.1902,0.1878,0.1917
"CC-XGB",0.2068,0.2065,0.2005,0.2017,0.1992,0.2042,0.2036,0.2031,0.2036,0.2029
"DBR-C5.0",0.2978,0.2799,0.267,0.2877,0.2894,0.2761,0.2846,0.2896,0.2845,0.2849
"DBR-LR",0.1988,0.1967,0.192,0.1917,0.1904,0.1937,0.1949,0.1929,0.1912,0.1924
"DBR-RF",0.199,0.1987,0.1994,0.1961,0.196,0.1985,0.2009,0.198,0.1972,0.1953
"DBR-SVM",0.1982,0.1961,0.1925,0.1925,0.192,0.1941,0.1951,0.1931,0.1922,0.1923
"DBR-SVMt",0.1984,0.1957,0.1949,0.1908,0.1913,0.1927,0.195,0.1901,0.1928,0.1959
"DBR-XGB",0.2144,0.2161,0.2154,0.216,0.2123,0.2134,0.2214,0.2141,0.214,0.2128
"EBR-C5.0",0.218,0.2125,0.2079,0.2139,0.2114,0.2122,0.2151,0.213,0.211,0.2145
"EBR-LR",0.1974,0.1954,0.1951,0.1961,0.1903,0.1937,0.1953,0.1922,0.1914,0.1948
"EBR-RF",0.1927,0.1958,0.1936,0.1908,0.1886,0.1931,0.1912,0.1892,0.192,0.1928
"EBR-SVM",0.204,0.2012,0.1983,0.1983,0.1982,0.1987,0.2013,0.1993,0.1958,0.1981
"EBR-SVMt",0.2078,0.2041,0.2013,0.199,0.2048,0.1974,0.1997,0.1992,0.1994,0.2043
"EBR-XGB",0.1995,0.1956,0.1948,0.1949,0.1928,0.1967,0.1936,0.1927,0.1932,0.1954
"ECC-C5.0",0.2104,0.2162,0.2084,0.2143,0.2095,0.213,0.212,0.2115,0.2076,0.2145
"ECC-LR",0.2027,0.2022,0.1981,0.1997,0.1954,0.1981,0.1991,0.1971,0.1979,0.2008
"ECC-RF",0.1943,0.2013,0.1952,0.1929,0.1937,0.1975,0.1956,0.1908,0.1951,0.1942
"ECC-SVM",0.2053,0.2055,0.2012,0.2025,0.196,0.2021,0.205,0.2028,0.2007,0.2038
"ECC-SVMt",0.2046,0.2074,0.1953,0.2015,0.1996,0.1996,0.2056,0.1994,0.1952,0.2071
"ECC-XGB",0.1987,0.1996,0.193,0.1919,0.1914,0.1961,0.1953,0.1904,0.1941,0.1934
"MBR-C5.0",0.2809,0.2683,0.2714,0.2778,0.2768,0.2732,0.2797,0.2775,0.2692,0.2736
"MBR-LR",0.1897,0.1906,0.1865,0.1859,0.1841,0.187,0.1891,0.1836,0.1863,0.1867
"MBR-RF",0.1922,0.1925,0.1923,0.1865,0.1885,0.1907,0.1925,0.1872,0.1902,0.1885
"MBR-SVM",0.1896,0.19,0.187,0.1862,0.1854,0.1861,0.1884,0.1847,0.186,0.1877
"MBR-XGB",0.1985,0.1981,0.1988,0.1975,0.194,0.1961,0.2029,0.1956,0.1979,0.196
"NS-C5.0",0.2654,0.2582,0.2671,0.2638,0.2716,0.2646,0.2658,0.2743,0.263,0.2694
"NS-LR",0.1927,0.1939,0.1934,0.1863,0.1878,0.1912,0.1932,0.1886,0.1885,0.1891
"NS-RF",0.1958,0.1949,0.1905,0.1906,0.1913,0.1909,0.1908,0.1915,0.1912,0.1904
"NS-SVM",0.1933,0.1942,0.1925,0.1869,0.1872,0.1924,0.192,0.1888,0.1887,0.1898
"NS-SVMt",0.1955,0.193,0.1901,0.1944,0.188,0.1896,0.1997,0.1873,0.1914,0.194
"NS-XGB",0.2065,0.2063,0.2009,0.2014,0.1996,0.2047,0.2036,0.2033,0.2036,0.2039
"PruDent-C5.0",0.2432,0.2291,0.2308,0.2378,0.2361,0.2354,0.235,0.2334,0.2362,0.2309
"PruDent-LR",0.1888,0.1901,0.1869,0.1863,0.1852,0.1869,0.188,0.1849,0.1859,0.187
"PruDent-RF",0.1918,0.1932,0.1936,0.1886,0.1889,0.1909,0.1919,0.1905,0.1898,0.1891
"PruDent-SVM",0.1897,0.1913,0.1883,0.1853,0.1862,0.1872,0.1885,0.1881,0.1856,0.1891
"PruDent-SVMt",0.1945,0.1917,0.1892,0.1854,0.1831,0.1863,0.1907,0.1852,0.1874,0.1881
"PruDent-XGB",0.1971,0.2009,0.2001,0.1958,0.195,0.1956,0.2007,0.1962,0.1974,0.1968
"RDBR-C5.0",0.2846,0.262,0.2546,0.2789,0.2674,0.2671,0.2722,0.2679,0.2694,0.2663
"RDBR-LR",0.1976,0.1985,0.1943,0.1945,0.191,0.1959,0.1956,0.1919,0.1923,0.196
"RDBR-RF",0.1914,0.1984,0.1972,0.1902,0.1916,0.1964,0.1992,0.1911,0.1946,0.1905
"RDBR-SVM",0.1959,0.1979,0.1941,0.1945,0.19,0.1938,0.1967,0.1925,0.195,0.1963
"RDBR-SVMt",0.1967,0.1963,0.1927,0.1955,0.1892,0.1944,0.1967,0.1928,0.1954,0.1966
"RDBR-XGB",0.2075,0.2086,0.2077,0.2056,0.1984,0.2055,0.2133,0.2045,0.2046,0.2011
