"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.3769,0.3764,0.3768,0.3765,0.3767,0.3767,0.3768,0.3765,0.3763,0.377
"baseline-HL",0.2599,0.2603,0.2599,0.2603,0.2601,0.2601,0.2599,0.2603,0.2604,0.2597
"baseline-RL",0.2599,0.2603,0.2599,0.2603,0.2601,0.2601,0.2599,0.2603,0.2604,0.2597
"baseline-SA",0.3158,0.316,0.3158,0.316,0.3159,0.3159,0.3158,0.316,0.3161,0.3157
"BR-C5.0",0.1813,0.1802,0.1851,0.1808,0.1799,0.18,0.1812,0.1824,0.1793,0.1834
"BR+-C5.0",0.183,0.1836,0.1869,0.1857,0.1854,0.182,0.1811,0.1824,0.1815,0.1826
"CC-C5.0",0.1849,0.1882,0.1882,0.184,0.187,0.1763,0.1841,0.1796,0.1829,0.1807
"DBR-C5.0",0.1881,0.1906,0.1932,0.1933,0.1926,0.1921,0.1875,0.1893,0.1899,0.1893
"EBR-C5.0",0.1531,0.1515,0.1522,0.1551,0.1556,0.1527,0.154,0.1546,0.1551,0.155
"ECC-C5.0",0.1498,0.1491,0.1499,0.1529,0.1522,0.1504,0.1542,0.1507,0.1536,0.1549
"MBR-C5.0",0.1772,0.1779,0.1849,0.177,0.1783,0.177,0.1785,0.1805,0.1779,0.1807
"NS-C5.0",0.1802,0.1769,0.1839,0.1784,0.1765,0.1751,0.177,0.1786,0.1756,0.1804
"PruDent-C5.0",0.18,0.177,0.1812,0.1803,0.1778,0.1765,0.1784,0.1789,0.1751,0.1798
"RDBR-C5.0",0.182,0.1824,0.1878,0.1883,0.1873,0.1857,0.1853,0.1851,0.1859,0.1851
"BR-LR",0.1901,0.1945,0.1868,0.1974,0.1926,0.1918,0.1931,0.1917,0.1932,0.1907
"BR+-LR",0.2041,0.2061,0.1989,0.2103,0.2077,0.2048,0.2064,0.2047,0.2033,0.205
"CC-LR",0.2007,0.2064,0.198,0.2086,0.2054,0.2041,0.2054,0.2045,0.2043,0.203
"DBR-LR",0.2073,0.211,0.2052,0.2146,0.2145,0.2095,0.214,0.2088,0.2095,0.2094
"EBR-LR",0.2079,0.2127,0.2078,0.2143,0.2034,0.2004,0.2038,0.2075,0.2097,0.202
"ECC-LR",0.2109,0.2161,0.2111,0.216,0.2216,0.2053,0.2145,0.2104,0.2145,0.2121
"MBR-LR",0.1901,0.1948,0.1872,0.1966,0.1927,0.1912,0.193,0.1917,0.1927,0.191
"NS-LR",0.1904,0.1951,0.1863,0.1968,0.1918,0.1911,0.1917,0.1911,0.1929,0.1909
"PruDent-LR",0.1902,0.1945,0.1873,0.1969,0.1928,0.1916,0.1933,0.1919,0.1928,0.1911
"RDBR-LR",0.2019,0.2062,0.199,0.2124,0.2083,0.2035,0.2063,0.2051,0.204,0.2051
"BR-RF",0.143,0.1416,0.1418,0.1425,0.1409,0.1425,0.1408,0.1439,0.1421,0.1416
"BR+-RF",0.1405,0.1382,0.1401,0.1393,0.1384,0.1397,0.1384,0.1402,0.1386,0.1399
"CC-RF",0.1389,0.1366,0.1371,0.136,0.136,0.1374,0.1366,0.1369,0.1359,0.1373
"DBR-RF",0.1408,0.1385,0.1401,0.1394,0.1382,0.14,0.1381,0.1403,0.1386,0.1402
"EBR-RF",0.1627,0.16,0.1611,0.1605,0.1605,0.1622,0.1629,0.1625,0.1625,0.1615
"ECC-RF",0.1674,0.1511,0.1641,0.1519,0.1514,0.1516,0.1649,0.1526,0.1515,0.1649
"MBR-RF",0.1435,0.1417,0.1418,0.1423,0.1412,0.1425,0.1409,0.1426,0.1434,0.1411
"NS-RF",0.1383,0.1364,0.1369,0.1363,0.1359,0.138,0.1364,0.1374,0.1367,0.1373
"PruDent-RF",0.144,0.1419,0.143,0.143,0.1421,0.1426,0.141,0.1432,0.1434,0.1417
"RDBR-RF",0.1407,0.1383,0.1401,0.1392,0.1381,0.1394,0.1384,0.1403,0.139,0.1396
"BR-SVM",0.1902,0.1946,0.1869,0.1967,0.1927,0.1913,0.193,0.1918,0.1927,0.1908
"BR+-SVM",0.2039,0.2058,0.1988,0.21,0.208,0.2034,0.2067,0.2047,0.204,0.2055
"CC-SVM",0.2006,0.2064,0.1976,0.2091,0.2051,0.2038,0.2048,0.2042,0.2043,0.2032
"DBR-SVM",0.2071,0.2105,0.2055,0.215,0.2142,0.2093,0.214,0.2088,0.2097,0.21
