"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0981,0.0976,0.0976,0.0981,0.0977,0.098,0.0977,0.098,0.0977,0.098
"baselineHL",0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
"baselineRL",0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
"baselineSA",0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049,0.0049
"BR-C5.0",0.6171,0.6087,0.6084,0.6093,0.6134,0.6101,0.6103,0.6104,0.6096,0.5995
"BR-LR",0.7659,0.7613,0.7631,0.7635,0.7662,0.7569,0.7604,0.7674,0.7614,0.7664
"BR-RF",0.7758,0.7748,0.7753,0.7706,0.7762,0.7668,0.773,0.7752,0.7767,0.7746
"BR-SVM",0.7653,0.7619,0.7629,0.7634,0.7669,0.7569,0.7598,0.7671,0.7613,0.7659
"BR-XGB",0.753,0.754,0.7598,0.7517,0.7559,0.7515,0.7529,0.7538,0.7565,0.755
"BR+-C5.0",0.5979,0.6002,0.5929,0.6014,0.6022,0.5845,0.5972,0.5941,0.5928,0.5807
"BR+-LR",0.7656,0.7623,0.7638,0.7644,0.7654,0.7576,0.7599,0.7667,0.7615,0.7666
"BR+-RF",0.7692,0.7643,0.7661,0.765,0.7651,0.7599,0.7616,0.7644,0.7636,0.7667
"BR+-SVM",0.7648,0.7613,0.7635,0.7642,0.7668,0.7571,0.7607,0.7674,0.7614,0.7665
"BR+-XGB",0.7484,0.7521,0.7547,0.7489,0.7521,0.7489,0.7503,0.751,0.7556,0.7528
"CC-C5.0",0.6082,0.6069,0.6093,0.6048,0.6152,0.6014,0.6073,0.5668,0.61,0.5968
"CC-LR",0.7654,0.7617,0.7618,0.7643,0.7656,0.7577,0.7602,0.7662,0.7604,0.7668
"CC-RF",0.7683,0.7711,0.7724,0.7661,0.7765,0.7629,0.7678,0.7672,0.7688,0.7672
"CC-SVM",0.7649,0.7621,0.7621,0.7642,0.7657,0.7577,0.7605,0.7668,0.7609,0.7672
"CC-XGB",0.6951,0.7047,0.7051,0.6949,0.7059,0.697,0.7019,0.7002,0.7043,0.6987
"DBR-C5.0",0.6015,0.5962,0.6089,0.6,0.6068,0.5966,0.6046,0.5951,0.6088,0.5931
"DBR-LR",0.7654,0.7615,0.7627,0.7638,0.7663,0.7574,0.7606,0.7667,0.7615,0.7663
"DBR-RF",0.7735,0.7764,0.7751,0.7721,0.779,0.7679,0.7729,0.7723,0.7738,0.772
"DBR-SVM",0.7657,0.7625,0.7628,0.7642,0.7662,0.758,0.7609,0.7665,0.7618,0.766
"DBR-XGB",0.7539,0.7539,0.7586,0.7528,0.7564,0.7517,0.7519,0.7553,0.7578,0.7578
"EBR-C5.0",0.6626,0.6646,0.6682,0.6622,0.6606,0.6635,0.6625,0.6657,0.6612,0.6662
"EBR-LR",0.727,0.7253,0.73,0.7247,0.7297,0.7206,0.7229,0.7321,0.7175,0.7355
"EBR-RF",0.7655,0.7654,0.7688,0.7667,0.7673,0.7594,0.7648,0.7654,0.7672,0.7652
"EBR-SVM",0.7596,0.7543,0.753,0.7619,0.7583,0.7527,0.7508,0.7611,0.7551,0.7608
"EBR-XGB",0.7573,0.7574,0.7575,0.7586,0.7603,0.7548,0.7562,0.7626,0.7588,0.7582
"ECC-C5.0",0.6655,0.6659,0.6621,0.6625,0.6619,0.6608,0.6649,0.6646,0.6639,0.6627
"ECC-LR",0.7298,0.7332,0.7299,0.7241,0.7263,0.7281,0.7259,0.7276,0.7264,0.7322
"ECC-RF",0.7587,0.7651,0.7641,0.7598,0.7665,0.7605,0.7602,0.7635,0.7611,0.7627
"ECC-SVM",0.7597,0.7559,0.7545,0.7609,0.7512,0.7534,0.753,0.7628,0.7489,0.7574
"ECC-XGB",0.7261,0.7343,0.7379,0.7267,0.7401,0.7298,0.7367,0.732,0.7406,0.7285
"MBR-C5.0",0.6191,0.6141,0.615,0.6103,0.6205,0.615,0.6215,0.614,0.6171,0.6095
"MBR-LR",0.7656,0.7617,0.7626,0.7634,0.7658,0.7567,0.7604,0.7666,0.7607,0.7659
"MBR-RF",0.7746,0.7745,0.7757,0.7727,0.7776,0.7701,0.7741,0.7742,0.7731,0.7724
"MBR-SVM",0.765,0.7614,0.7624,0.7638,0.7658,0.7566,0.7598,0.766,0.7611,0.7655
"MBR-XGB",0.7529,0.7544,0.7605,0.7517,0.7564,0.7513,0.7532,0.7539,0.7572,0.755
"NS-C5.0",0.6201,0.6094,0.61,0.6068,0.6142,0.6117,0.6125,0.6138,0.6116,0.6009
"NS-LR",0.7621,0.7598,0.7605,0.7611,0.7633,0.7528,0.7575,0.7632,0.759,0.7641
"NS-RF",0.7681,0.7713,0.7732,0.7686,0.7721,0.7672,0.7676,0.7702,0.77,0.7673
"NS-SVM",0.7672,0.7647,0.7646,0.7646,0.7681,0.7581,0.7619,0.7679,0.7637,0.7674
"NS-XGB",0.7362,0.7398,0.7481,0.7391,0.7422,0.7372,0.743,0.7427,0.7424,0.7386
"PruDent-C5.0",0.6171,0.6087,0.6084,0.6093,0.6134,0.6101,0.6103,0.6104,0.6096,0.5995
"PruDent-LR",0.7648,0.7617,0.7624,0.7632,0.7657,0.7569,0.7598,0.7661,0.7611,0.7652
"PruDent-RF",0.7725,0.774,0.7752,0.7695,0.7791,0.7696,0.7754,0.773,0.7742,0.7745
"PruDent-SVM",0.7651,0.7613,0.7624,0.7636,0.7662,0.7569,0.7612,0.7665,0.761,0.7655
"PruDent-XGB",0.753,0.754,0.7598,0.7517,0.7559,0.7515,0.7529,0.7538,0.7565,0.755
"RDBR-C5.0",0.5904,0.5919,0.579,0.5875,0.5965,0.5825,0.5907,0.5888,0.5789,0.5761
"RDBR-LR",0.7644,0.7616,0.7628,0.7647,0.7658,0.7577,0.7617,0.7663,0.7611,0.7662
"RDBR-RF",0.763,0.761,0.7628,0.7643,0.761,0.7573,0.76,0.7635,0.7605,0.7642
"RDBR-SVM",0.7652,0.7616,0.7628,0.7642,0.7659,0.7586,0.7612,0.7666,0.7609,0.7664
"RDBR-XGB",0.7497,0.7497,0.7548,0.7498,0.7528,0.7499,0.7504,0.7519,0.7528,0.7536
