"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0939,0.0974,0.0957,0.0955,0.0983,0.093,0.0943,0.0969,0.0986,0.0928
"baseline-HL",0.0308,0.0317,0.0315,0.0309,0.032,0.0305,0.0309,0.0315,0.0324,0.0301
"baseline-RL",0.0562,0.0579,0.0577,0.0564,0.0585,0.0557,0.0564,0.0577,0.0593,0.0549
"baseline-SA",0.0254,0.0263,0.0262,0.0255,0.0265,0.0252,0.0255,0.0315,0.0269,0.0248
"BR-C5.0",0.3677,0.3723,0.3804,0.3455,0.3441,0.4096,0.3619,0.3918,0.354,0.3523
"BR+-C5.0",0.3798,0.3736,0.3965,0.3529,0.3459,0.4127,0.3547,0.3932,0.3559,0.3429
"CC-C5.0",0.3501,0.3749,0.3883,0.3498,0.3573,0.4103,0.3675,0.393,0.3518,0.3336
"DBR-C5.0",0.3773,0.3736,0.3948,0.3484,0.3504,0.4133,0.3531,0.3929,0.3542,0.3423
"EBR-C5.0",0.4585,0.3872,0.4092,0.3655,0.4158,0.4806,0.404,0.4208,0.4552,0.3823
"ECC-C5.0",0.4401,0.3951,0.4355,0.426,0.3977,0.4304,0.4367,0.4326,0.421,0.4106
"MBR-C5.0",0.3656,0.3717,0.3626,0.3453,0.3545,0.4035,0.3552,0.3916,0.3728,0.3701
"NS-C5.0",0.3041,0.352,0.366,0.3534,0.3412,0.3782,0.3529,0.3221,0.3498,0.3147
"PruDent-C5.0",0.3677,0.3723,0.3804,0.3455,0.3441,0.4096,0.3619,0.3918,0.354,0.3523
"RDBR-C5.0",0.3812,0.374,0.3946,0.3529,0.3602,0.4126,0.355,0.3936,0.3544,0.3441
"BR-LR",0.3404,0.0322,0.3471,0.398,0.3613,0.341,0.3063,0.0375,0.414,0.4
"BR+-LR",0.3564,0.032,0.3477,0.4242,0.3969,0.3794,0.3435,0.0319,0.3965,0.3641
"CC-LR",0.3176,0.0351,0.3315,0.4156,0.4186,0.322,0.3606,0.0321,0.3836,0.4369
"DBR-LR",0.3553,0.0351,0.3593,0.4168,0.3751,0.3774,0.3713,0.0349,0.3856,0.376
"EBR-LR",0.1532,0.0956,0.096,0.2683,0.1578,0.2391,0.0679,0.0929,0.2523,0.1295
"ECC-LR",0.0918,0.0625,0.1107,0.176,0.0976,0.1818,0.0842,0.1924,0.1738,0.1107
"MBR-LR",0.342,0.035,0.3873,0.4269,0.035,0.3888,0.3881,0.0315,0.4373,0.4237
"NS-LR",0.3232,0.0318,0.3292,0.3848,0.1394,0.322,0.3294,0.0317,0.3209,0.3654
"PruDent-LR",0.3899,0.0382,0.3712,0.454,0.4296,0.3815,0.3661,0.0318,0.4226,0.4376
"RDBR-LR",0.3622,0.0351,0.367,0.4176,0.4027,0.3732,0.3261,0.0346,0.3971,0.372
"BR-RF",0.3594,0.3371,0.3949,0.3836,0.4181,0.362,0.384,0.3684,0.3789,0.3491
"BR+-RF",0.3498,0.3228,0.3662,0.4411,0.4181,0.3577,0.381,0.3467,0.4173,0.3781
"CC-RF",0.3868,0.3472,0.3773,0.4071,0.4049,0.3841,0.3634,0.3356,0.3825,0.3995
"DBR-RF",0.3498,0.3228,0.3662,0.4411,0.4179,0.3577,0.381,0.3467,0.4173,0.3781
"EBR-RF",0.4389,0.4049,0.4242,0.5066,0.4487,0.4512,0.4287,0.4359,0.4808,0.4503
"ECC-RF",0.4223,0.4122,0.4155,0.4489,0.4287,0.431,0.4243,0.4203,0.4604,0.4668
"MBR-RF",0.3777,0.3297,0.3899,0.4157,0.4035,0.37,0.3708,0.3512,0.3849,0.3978
"NS-RF",0.3704,0.3383,0.3767,0.3984,0.397,0.3849,0.3504,0.3361,0.3834,0.3995
"PruDent-RF",0.3952,0.3207,0.3863,0.4264,0.4054,0.3737,0.3625,0.3435,0.4041,0.3972
