"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0058,0.0058,0.0058,0.0059,0.0059,0.0058,0.0058,0.0058,0.0058,0.0059
"baseline-HL",0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017
"baseline-RL",0.0047,0.0047,0.0046,0.0047,0.0047,0.0046,0.0047,0.0047,0.0046,0.0047
"baseline-SA",9e-04,0.0022,9e-04,0.0022,0.0022,9e-04,0.0032,0.0022,9e-04,0.0022
"BR-C5.0",0.0147,0.0201,0.0152,0.0126,0.0149,0.012,0.0132,0.0159,0.0116,0.015
"BR+-C5.0",0.0141,0.0216,0.0182,0.015,0.0198,0.0124,0.0118,0.0164,0.0124,0.0184
"CC-C5.0",0.0148,0.0181,0.019,0.0177,0.0173,0.016,0.0137,0.0169,0.016,0.0231
"DBR-C5.0",0.0149,0.0205,0.0163,0.0137,0.0171,0.0125,0.0118,0.0157,0.0102,0.0172
"EBR-C5.0",0.0548,0.0623,0.0561,0.0615,0.0596,0.0612,0.0613,0.0649,0.0595,0.0556
"ECC-C5.0",0.0563,0.0589,0.0567,0.0631,0.0577,0.0572,0.06,0.0637,0.0591,0.0578
"MBR-C5.0",0.015,0.0207,0.014,0.014,0.0164,0.0127,0.0125,0.016,0.0115,0.0138
"NS-C5.0",0.0162,0.0244,0.0229,0.0142,0.0168,0.0162,0.0156,0.0219,0.0126,0.0192
"PruDent-C5.0",0.0126,0.0176,0.0142,0.0122,0.0136,0.0095,0.0124,0.0142,0.0106,0.0144
"RDBR-C5.0",0.018,0.0178,0.0175,0.0155,0.0181,0.0146,0.0112,0.0134,0.0118,0.013
"BR-LR",0.0395,0.0419,0.0405,0.0415,0.0419,0.0384,0.0389,0.0469,0.0393,0.0413
"BR+-LR",0.0565,0.0571,0.0565,0.0502,0.0599,0.0549,0.0498,0.0618,0.053,0.0567
"CC-LR",0.0556,0.0621,0.0586,0.0558,0.0612,0.0577,0.0546,0.0592,0.0599,0.0593
"DBR-LR",0.0539,0.0585,0.0564,0.0496,0.0543,0.0525,0.0481,0.0611,0.0514,0.0543
"EBR-LR",0.0592,0.0649,0.0616,0.0575,0.0637,0.0628,0.0683,0.0659,0.0602,0.0615
"ECC-LR",0.0683,0.0657,0.0725,0.0672,0.0688,0.0707,0.0658,0.0693,0.0689,0.0699
