"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.058,0.0571,0.0577,0.0573,0.0574,0.0576,0.0578,0.0572,0.0576,0.0574
"baseline-HL",0.0327,0.0324,0.0326,0.0325,0.0325,0.0326,0.0167,0.0324,0.0326,0.0325
"baseline-RL",0.0464,0.0458,0.0463,0.046,0.0461,0.0462,0.0464,0.0459,0.0462,0.046
"baseline-SA",0.0115,0.0411,0.0114,0.0113,0.0113,0.0114,0.0114,0.0113,0.0114,0.0113
"BR-C5.0",0.1884,0.184,0.1939,0.1793,0.1954,0.1859,0.1804,0.1954,0.1825,0.1755
"BR+-C5.0",0.1952,0.1856,0.1896,0.1807,0.1981,0.1946,0.185,0.2119,0.194,0.1667
"CC-C5.0",0.19,0.1809,0.1896,0.1765,0.1876,0.1943,0.1751,0.1974,0.1827,0.1696
"DBR-C5.0",0.1926,0.1873,0.1896,0.1846,0.197,0.1893,0.1852,0.2088,0.1945,0.1686
"EBR-C5.0",0.2279,0.2261,0.2146,0.2128,0.2166,0.2079,0.2149,0.2404,0.2292,0.2232
"ECC-C5.0",0.2193,0.2251,0.2209,0.2264,0.2165,0.22,0.2105,0.2299,0.2273,0.2173
"MBR-C5.0",0.1979,0.1852,0.1925,0.1799,0.1977,0.1962,0.1797,0.1986,0.1872,0.1803
"NS-C5.0",0.187,0.1681,0.175,0.1748,0.1787,0.171,0.1793,0.1932,0.1771,0.1769
"PruDent-C5.0",0.1859,0.1848,0.1944,0.1826,0.1957,0.1864,0.184,0.1969,0.1826,0.1775
"RDBR-C5.0",0.1897,0.1868,0.1867,0.1875,0.2037,0.1903,0.1845,0.2128,0.1923,0.1749
"BR-LR",0.1434,0.1405,0.14,0.1508,0.1453,0.1406,0.1413,0.1449,0.1427,0.1433
"BR+-LR",0.1672,0.1602,0.1641,0.1694,0.1579,0.1608,0.1509,0.1697,0.1502,0.1644
"CC-LR",0.1562,0.1493,0.1521,0.1655,0.158,0.1489,0.1601,0.162,0.1537,0.1555
"DBR-LR",0.1669,0.142,0.1644,0.1642,0.1596,0.1504,0.1474,0.1688,0.1535,0.161
"EBR-LR",0.1957,0.2247,0.2216,0.2372,0.238,0.2345,0.2348,0.2351,0.2365,0.2317
"ECC-LR",0.2118,0.2398,0.1926,0.2121,0.2042,0.2383,0.2309,0.21,0.2143,0.2075
"MBR-LR",0.1456,0.1349,0.1564,0.1581,0.1467,0.1494,0.1422,0.1577,0.1363,0.1424
"NS-LR",0.1549,0.133,0.1418,0.1488,0.1538,0.1444,0.1394,0.1512,0.143,0.1476
"PruDent-LR",0.1776,0.1485,0.1666,0.1706,0.1546,0.1648,0.1612,0.1743,0.165,0.1643
"RDBR-LR",0.1637,0.1483,0.159,0.1644,0.1526,0.1502,0.1536,0.1661,0.1619,0.1504
"BR-RF",0.2067,0.211,0.2253,0.2104,0.2216,0.1951,0.1909,0.2222,0.2134,0.21
"BR+-RF",0.2072,0.207,0.2182,0.2121,0.222,0.2027,0.2032,0.2244,0.2163,0.2135
"CC-RF",0.2087,0.2054,0.2222,0.2017,0.2205,0.2125,0.2026,0.2221,0.2165,0.2091
"DBR-RF",0.2075,0.2078,0.2191,0.2127,0.2251,0.2033,0.2048,0.2274,0.2168,0.2132
"EBR-RF",0.2464,0.2575,0.2548,0.2457,0.2585,0.2563,0.2505,0.2575,0.2604,0.2547
"ECC-RF",0.2496,0.254,0.2607,0.2451,0.2594,0.251,0.259,0.2558,0.2577,0.2551
"MBR-RF",0.2076,0.2114,0.2209,0.202,0.2246,0.2042,0.1965,0.2257,0.2136,0.2135
"NS-RF",0.2176,0.2094,0.2235,0.2076,0.2217,0.2014,0.2006,0.2298,0.2247,0.2133
