"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0652,0.0521,0.0638,0.0532,0.0638,0.0532,0.0643,0.0528,0.0652,0.0521
"baseline-HL",0.0142,0.0137,0.0139,0.014,0.0139,0.014,0.014,0.0139,0.0142,0.0137
"baseline-RL",0.0142,0.0137,0.0139,0.014,0.0139,0.014,0.014,0.0139,0.0142,0.0137
"baseline-SA",0.0142,0.0117,0.0139,0.014,0.0139,0.014,0.014,0.0139,0.0142,0.0137
"BR-C5.0",0.3208,0.2683,0.3594,0.3041,0.3054,0.3527,0.3036,0.3235,0.3869,0.2517
"BR+-C5.0",0.3227,0.2792,0.3455,0.2908,0.3054,0.3421,0.3036,0.3273,0.3869,0.2733
"CC-C5.0",0.3227,0.2812,0.3588,0.294,0.3054,0.3469,0.3036,0.3299,0.3869,0.2666
"DBR-C5.0",0.3227,0.2723,0.3455,0.2908,0.3054,0.3421,0.3036,0.3273,0.3869,0.2678
"EBR-C5.0",0.4269,0.4579,0.4287,0.3659,0.4291,0.4148,0.4073,0.4261,0.4327,0.4232
"ECC-C5.0",0.3807,0.3953,0.406,0.4307,0.4778,0.4215,0.362,0.3522,0.4048,0.4146
"MBR-C5.0",0.3209,0.2789,0.3543,0.3062,0.3049,0.3509,0.2981,0.323,0.3798,0.261
"NS-C5.0",0.3231,0.2787,0.3664,0.3221,0.2993,0.319,0.2913,0.3487,0.3905,0.2367
"PruDent-C5.0",0.3208,0.2683,0.3594,0.2927,0.3054,0.3392,0.3036,0.3124,0.3869,0.2514
"RDBR-C5.0",0.3227,0.2792,0.3455,0.2908,0.3054,0.3421,0.3036,0.3273,0.3869,0.2733
"BR-LR",0.4643,0.4855,0.4253,0.4592,0.4792,0.4419,0.5153,0.4291,0.4782,0.4729
"BR+-LR",0.4516,0.5235,0.473,0.457,0.5481,0.4064,0.5137,0.4299,0.5257,0.5015
"CC-LR",0.4978,0.5211,0.4746,0.4765,0.4322,0.4456,0.5019,0.4217,0.4868,0.4925
"DBR-LR",0.4516,0.4684,0.4493,0.4465,0.5481,0.4255,0.5095,0.4513,0.4841,0.5051
"EBR-LR",0.3938,0.4566,0.4079,0.3293,0.4624,0.4064,0.4095,0.3763,0.4235,0.3948
"ECC-LR",0.4095,0.4105,0.4149,0.4153,0.3287,0.4116,0.4226,0.4206,0.3907,0.4075
"MBR-LR",0.5131,0.5318,0.4678,0.4792,0.5184,0.441,0.538,0.4406,0.4789,0.4965
"NS-LR",0.4951,0.4974,0.4489,0.4527,0.4614,0.4573,0.4714,0.3924,0.4927,0.4669
"PruDent-LR",0.4691,0.4986,0.4595,0.4701,0.5156,0.4737,0.5306,0.4505,0.4811,0.4641
"RDBR-LR",0.4495,0.4722,0.4657,0.4444,0.5481,0.457,0.5118,0.4644,0.4754,0.5098
"BR-RF",0.4034,0.3836,0.4248,0.3389,0.4526,0.3567,0.4505,0.3402,0.4376,0.3601
"BR+-RF",0.4189,0.3821,0.3775,0.2998,0.4441,0.3424,0.3937,0.3407,0.4224,0.3658
