"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.5288,0.5265,0.5259,0.5294,0.5288,0.5265,0.5198,0.5359,0.5288,0.5265
"baseline-HL",0.345,0.3454,0.3434,0.3469,0.345,0.3454,0.3411,0.2516,0.345,0.3454
"baseline-RL",0.345,0.3454,0.3434,0.3469,0.345,0.3454,0.3411,0.3495,0.345,0.3454
"baseline-SA",0.345,0.3454,0.3434,0.3469,0.2491,0.3454,0.3411,0.2516,0.2491,0.3454
"BR-C5.0",0.5734,0.6597,0.6483,0.6255,0.6212,0.6737,0.679,0.6233,0.6149,0.6907
"BR+-C5.0",0.556,0.6264,0.6225,0.5679,0.6711,0.6448,0.6293,0.642,0.62,0.638
"CC-C5.0",0.5754,0.6707,0.625,0.5871,0.645,0.6526,0.6496,0.6615,0.6145,0.6408
"DBR-C5.0",0.5657,0.6177,0.6163,0.5646,0.6638,0.6526,0.6128,0.6384,0.6186,0.6102
"EBR-C5.0",0.6407,0.6659,0.6142,0.6718,0.6437,0.6534,0.6528,0.6135,0.6368,0.6339
"ECC-C5.0",0.6653,0.6472,0.5927,0.615,0.6805,0.6438,0.6344,0.5815,0.6475,0.6586
"MBR-C5.0",0.5873,0.6527,0.6542,0.6249,0.6407,0.6768,0.6721,0.6356,0.6149,0.6814
"NS-C5.0",0.5691,0.7139,0.6264,0.5938,0.6086,0.637,0.6548,0.6323,0.5999,0.6303
"PruDent-C5.0",0.6071,0.656,0.6456,0.6217,0.6212,0.6724,0.632,0.6122,0.6045,0.6616
"RDBR-C5.0",0.551,0.627,0.6186,0.5746,0.6672,0.6512,0.6328,0.6316,0.6108,0.6342
"BR-LR",0.5889,0.6609,0.631,0.5626,0.5683,0.621,0.5889,0.5852,0.5583,0.6602
"BR+-LR",0.6124,0.6661,0.6364,0.5404,0.5508,0.6491,0.6519,0.6719,0.5584,0.6544
"CC-LR",0.6248,0.6778,0.6149,0.5936,0.6116,0.6463,0.6309,0.5834,0.5654,0.6599
"DBR-LR",0.5809,0.6834,0.634,0.585,0.5451,0.6445,0.6163,0.5823,0.6026,0.6611
"EBR-LR",0.6264,0.5919,0.5782,0.5542,0.5668,0.5381,0.6122,0.6149,0.5729,0.5829
"ECC-LR",0.6132,0.6531,0.5938,0.5417,0.5644,0.6034,0.6396,0.6318,0.5359,0.5367
"MBR-LR",0.6321,0.673,0.6266,0.5757,0.5623,0.6513,0.6038,0.6769,0.5917,0.6469
"NS-LR",0.615,0.6592,0.6299,0.5553,0.5915,0.6656,0.6513,0.5762,0.5728,0.6551
"PruDent-LR",0.6214,0.6802,0.6245,0.591,0.5664,0.6531,0.6437,0.5873,0.5822,0.6524
"RDBR-LR",0.6188,0.6793,0.6196,0.5482,0.6076,0.6411,0.6133,0.547,0.5819,0.6627
"BR-RF",0.6454,0.7012,0.6288,0.628,0.6779,0.6427,0.6006,0.6532,0.6326,0.6695
"BR+-RF",0.6492,0.6789,0.6149,0.6454,0.621,0.6643,0.621,0.6584,0.6297,0.6515
"CC-RF",0.6613,0.6852,0.6207,0.6461,0.6506,0.6535,0.6317,0.6338,0.6266,0.669
"DBR-RF",0.6419,0.6829,0.6162,0.6407,0.6256,0.6631,0.621,0.662,0.624,0.6404
"EBR-RF",0.6289,0.6675,0.6161,0.6243,0.6745,0.6197,0.625,0.6315,0.6365,0.6459
"ECC-RF",0.6558,0.651,0.615,0.6088,0.6595,0.6414,0.6363,0.6015,0.6348,0.6531
"MBR-RF",0.6364,0.6911,0.6182,0.6246,0.6817,0.6414,0.592,0.6604,0.6481,0.6667
"NS-RF",0.6441,0.6822,0.6207,0.6305,0.6502,0.6624,0.6317,0.6309,0.6219,0.669
"PruDent-RF",0.6484,0.6885,0.6255,0.6209,0.6634,0.6425,0.6126,0.6539,0.6279,0.6573
