"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.395,0.3956,0.3959,0.3947,0.395,0.3956,0.3931,0.3976,0.3944,0.3963
"baseline-HL",0.0899,0.09,0.09,0.0899,0.0899,0.09,0.0894,0.0905,0.0897,0.0901
"baseline-RL",0.0899,0.09,0.09,0.0899,0.0899,0.09,0.0894,0.0905,0.0897,0.0901
"baseline-SA",0.0874,0.0876,0.0876,0.0874,0.0874,0.0876,0.087,0.0881,0.0873,0.0877
"BR-C5.0",0.5357,0.5814,0.5779,0.5385,0.545,0.5568,0.5523,0.5499,0.5568,0.5512
"BR+-C5.0",0.5068,0.5293,0.5397,0.5085,0.5229,0.5143,0.5452,0.5162,0.5496,0.5161
"CC-C5.0",0.52,0.5334,0.53,0.5163,0.517,0.5154,0.5454,0.5073,0.5327,0.5206
"DBR-C5.0",0.5015,0.5313,0.5347,0.5181,0.5101,0.5164,0.5351,0.5011,0.5364,0.4889
"EBR-C5.0",0.642,0.6346,0.6537,0.6281,0.6225,0.6212,0.6464,0.6456,0.6393,0.6386
"ECC-C5.0",0.6264,0.6403,0.63,0.6141,0.626,0.6249,0.6384,0.6234,0.6337,0.6262
"MBR-C5.0",0.5328,0.5786,0.5769,0.5362,0.5373,0.5522,0.543,0.548,0.5615,0.5507
"NS-C5.0",0.5388,0.5383,0.5393,0.5136,0.5129,0.527,0.5322,0.543,0.5358,0.5299
"PruDent-C5.0",0.5355,0.5704,0.5705,0.5396,0.5362,0.5565,0.5478,0.5339,0.5518,0.5467
"RDBR-C5.0",0.5128,0.512,0.5313,0.5127,0.5226,0.5105,0.5323,0.5087,0.5575,0.5103
"BR-LR",0.6742,0.676,0.6658,0.674,0.6615,0.6676,0.6907,0.6721,0.6771,0.6614
"BR+-LR",0.6711,0.6779,0.6707,0.6729,0.6652,0.6637,0.696,0.6733,0.6818,0.6635
"CC-LR",0.6681,0.6723,0.662,0.6776,0.661,0.6638,0.6865,0.6705,0.6794,0.6615
"DBR-LR",0.6695,0.6758,0.669,0.6769,0.6631,0.6659,0.6956,0.6703,0.6781,0.6625
