"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0152,0.0151,0.015,0.0153,0.0151,0.0152,0.0151,0.0153,0.0153,0.015
"baselineHL",0.0066,0.0065,0.0065,0.0067,0.0065,0.0066,0.0065,0.0066,0.0066,0.0065
"baselineRL",0.0066,0.0065,0.0065,0.0067,0.0065,0.0066,0.0065,0.0066,0.0066,0.0065
"baselineSA",0.0066,0.0065,0.0065,0.0067,0.0065,0.0066,0.0065,0.0066,0.0066,0.0065
"BR-C5.0",0.1366,0.1591,0.1494,0.1225,0.125,0.1184,0.1341,0.1147,0.1273,0.1402
"BR-LR",0.1252,0.1398,0.1454,0.1245,0.1386,0.1399,0.1389,0.1337,0.155,0.1316
"BR-RF",0.1074,0.1085,0.1047,0.1035,0.1065,0.1096,0.1092,0.1134,0.1141,0.1084
"BR-SVM",0.1267,0.1467,0.1424,0.1387,0.1337,0.1391,0.1428,0.1387,0.1532,0.1343
"BR-SVMt",0.1233,0.137,0.1244,0.1356,0.1356,0.1529,0.1448,0.1542,0.1659,0.1139
"BR-XGB",0.1913,0.1556,0.1486,0.1593,0.1456,0.1573,0.1735,0.1523,0.1675,0.1646
"BR+-C5.0",0.129,0.1475,0.1443,0.1272,0.1148,0.1046,0.1239,0.1026,0.1351,0.1226
"BR+-LR",0.1446,0.1379,0.1408,0.1162,0.1415,0.1426,0.1396,0.1302,0.1486,0.1347
"BR+-RF",0.0982,0.1063,0.1008,0.1083,0.1051,0.1066,0.1092,0.1002,0.1065,0.1088
"BR+-SVM",0.1235,0.1486,0.1464,0.1414,0.1405,0.1402,0.1429,0.1299,0.1605,0.1261
"BR+-SVMt",0.1293,0.1357,0.1447,0.1312,0.1408,0.1496,0.1481,0.1281,0.1463,0.1207
"BR+-XGB",0.1684,0.148,0.1404,0.1563,0.1457,0.1673,0.1755,0.1686,0.1668,0.167
"CC-C5.0",0.1272,0.1467,0.1477,0.126,0.1239,0.1082,0.126,0.1149,0.1305,0.1281
"CC-LR",0.1237,0.1413,0.1453,0.134,0.1439,0.1357,0.1357,0.1281,0.1463,0.1314
"CC-RF",0.0948,0.1044,0.0945,0.1045,0.1054,0.1096,0.1158,0.1046,0.1244,0.1197
"CC-SVM",0.123,0.1508,0.1449,0.1405,0.135,0.1363,0.1445,0.1372,0.1532,0.1258
"CC-SVMt",0.1026,0.1423,0.1475,0.1376,0.1464,0.1428,0.1499,0.1463,0.1534,0.1231
"CC-XGB",0.1789,0.1656,0.1345,0.1431,0.1532,0.1651,0.1604,0.1681,0.1612,0.1727
"DBR-C5.0",0.1314,0.1469,0.145,0.1274,0.1153,0.1034,0.1234,0.1031,0.136,0.1221
"DBR-LR",0.1342,0.1338,0.1461,0.132,0.144,0.1407,0.1413,0.1313,0.1578,0.1287
"DBR-RF",0.0983,0.1046,0.0985,0.1052,0.1051,0.1068,0.109,0.0982,0.1074,0.1089
"DBR-SVM",0.125,0.15,0.1464,0.1409,0.1408,0.1388,0.1426,0.1314,0.1611,0.1267
"DBR-SVMt",0.1188,0.1365,0.1183,0.1344,0.1407,0.144,0.1329,0.139,0.1497,0.1273
"DBR-XGB",0.1632,0.1467,0.135,0.1575,0.1451,0.1677,0.1761,0.1665,0.1697,0.166
