"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273,0.0273
"baseline-HL",0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167
"baseline-RL",0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307
"baseline-SA",0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198
"BR-C5.0",0.13,0.131,0.1284,0.1324,0.1333,0.1324,0.1322,0.1342,0.1299,0.1395
"BR+-C5.0",0.1092,0.0983,0.1007,0.1156,0.111,0.111,0.1097,0.1093,0.1099,0.1106
"CC-C5.0",0.117,0.1087,0.1236,0.1225,0.1209,0.1111,0.1106,0.1149,0.1122,0.1144
"DBR-C5.0",0.1181,0.1079,0.1092,0.1217,0.1184,0.1175,0.1152,0.1199,0.1152,0.1204
"EBR-C5.0",0.2338,0.2312,0.2266,0.2309,0.2304,0.2269,0.2315,0.2289,0.2267,0.2352
"ECC-C5.0",0.2057,0.203,0.205,0.2035,0.2092,0.207,0.207,0.2017,0.2122,0.2092
"MBR-C5.0",0.1486,0.1488,0.1432,0.1511,0.1453,0.1476,0.1499,0.1478,0.1465,0.1554
"NS-C5.0",0.1258,0.1187,0.1134,0.1236,0.1213,0.1226,0.127,0.1214,0.125,0.1207
"PruDent-C5.0",0.1273,0.1285,0.1241,0.1277,0.1297,0.1287,0.1302,0.1306,0.1272,0.135
"RDBR-C5.0",0.1125,0.1069,0.1068,0.1186,0.1144,0.1105,0.1103,0.1148,0.1071,0.114
"BR-LR",0.2159,0.2192,0.2171,0.221,0.2238,0.2163,0.2257,0.2219,0.2191,0.2227
"BR+-LR",0.2078,0.2011,0.19,0.209,0.2045,0.203,0.2011,0.2039,0.1977,0.2064
"CC-LR",0.2288,0.2218,0.2237,0.2197,0.2255,0.2203,0.2224,0.2276,0.221,0.2257
"DBR-LR",0.2129,0.207,0.1981,0.2082,0.2121,0.2066,0.2056,0.2106,0.2031,0.2088
"EBR-LR",0.2807,0.2924,0.2858,0.2902,0.2902,0.2961,0.2864,0.2865,0.287,0.2841
"ECC-LR",0.2744,0.2679,0.2616,0.2754,0.2723,0.275,0.2703,0.2616,0.2719,0.2681
"MBR-LR",0.2376,0.2353,0.2324,0.2298,0.2376,0.2331,0.2367,0.2357,0.2372,0.2382
"NS-LR",0.2024,0.1987,0.1882,0.2029,0.1979,0.2017,0.1924,0.2024,0.1913,0.1983
"PruDent-LR",0.2232,0.2259,0.2232,0.223,0.228,0.2254,0.2299,0.2245,0.2248,0.2286
"RDBR-LR",0.2237,0.2157,0.2111,0.2232,0.223,0.2257,0.2181,0.2287,0.2101,0.2167
"BR-RF",0.1411,0.138,0.1361,0.139,0.1366,0.137,0.1411,0.1339,0.1388,0.137
"BR+-RF",0.1482,0.1488,0.1486,0.1482,0.1473,0.1492,0.1498,0.1472,0.1494,0.1473
"CC-RF",0.1454,0.1396,0.1372,0.1415,0.1388,0.1389,0.1391,0.1375,0.1423,0.1379
"DBR-RF",0.1472,0.1468,0.145,0.1467,0.1466,0.1453,0.1482,0.1431,0.1499,0.1431
"EBR-RF",0.2094,0.1926,0.1929,0.1969,0.1965,0.1949,0.1992,0.1981,0.2021,0.1919
"ECC-RF",0.2261,0.2223,0.2133,0.2208,0.2185,0.2182,0.2133,0.2228,0.2249,0.2142
"MBR-RF",0.1403,0.1371,0.1374,0.1387,0.1387,0.1363,0.1396,0.1335,0.1413,0.1361
"NS-RF",0.1412,0.1406,0.1365,0.138,0.1362,0.1412,0.141,0.1391,0.1428,0.1409
"PruDent-RF",0.1422,0.1388,0.1361,0.1385,0.1399,0.139,0.1394,0.135,0.1431,0.1373
"RDBR-RF",0.1448,0.1398,0.1384,0.1441,0.1429,0.1413,0.139,0.1415,0.1432,0.141
"BR-SVM",0.2221,0.2178,0.2197,0.2185,0.2197,0.2192,0.2176,0.2199,0.2226,0.2189
"BR+-SVM",0.2078,0.1997,0.19,0.2083,0.2022,0.2014,0.1989,0.207,0.1903,0.2035
"CC-SVM",0.2302,0.22,0.2211,0.2212,0.2227,0.2245,0.2245,0.228,0.2217,0.2194
"DBR-SVM",0.2115,0.2072,0.1973,0.2107,0.2113,0.2107,0.2059,0.2151,0.2002,0.2085
"EBR-SVM",0.3286,0.3288,0.3242,0.3204,0.3291,0.325,0.331,0.3224,0.3252,0.3273
"ECC-SVM",0.3106,0.3117,0.3132,0.3155,0.3165,0.3132,0.31,0.3075,0.3111,0.3132
"MBR-SVM",0.2347,0.232,0.2289,0.2306,0.2381,0.2317,0.2345,0.2376,0.2364,0.2382
