"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0454,0.0449,0.0447,0.0456,0.0346,0.045,0.0446,0.0457,0.0448,0.0455
"baseline-HL",0.0221,0.0217,0.0218,0.022,0.022,0.0218,0.0216,0.0222,0.0217,0.0221
"baseline-RL",0.0221,0.0217,0.0218,0.022,0.022,0.0218,0.0216,0.0222,0.0217,0.0221
"baseline-SA",0.0221,0.0217,0.0218,0.022,0.022,0.0218,0.0216,0.0222,0.0217,0.0221
"BR-C5.0",0.6864,0.7453,0.7058,0.7178,0.6722,0.712,0.7207,0.6911,0.7235,0.6955
"BR+-C5.0",0.686,0.7448,0.7125,0.7172,0.6716,0.7155,0.7311,0.6959,0.7257,0.7021
"CC-C5.0",0.6911,0.7557,0.7066,0.7207,0.6727,0.7154,0.7226,0.7077,0.7211,0.713
"DBR-C5.0",0.6872,0.7444,0.7145,0.7164,0.674,0.7156,0.7298,0.6942,0.7254,0.6988
"EBR-C5.0",0.7207,0.7172,0.7347,0.7149,0.73,0.7292,0.7479,0.7178,0.7301,0.7022
"ECC-C5.0",0.7487,0.7158,0.7286,0.7223,0.7354,0.7342,0.743,0.7191,0.7233,0.7411
"MBR-C5.0",0.6867,0.7392,0.7051,0.7181,0.6719,0.7122,0.7222,0.693,0.7258,0.695
"NS-C5.0",0.6894,0.725,0.7064,0.7008,0.6746,0.7063,0.7163,0.7059,0.717,0.6971
"PruDent-C5.0",0.6864,0.7453,0.7058,0.7178,0.6722,0.712,0.7207,0.6911,0.7235,0.6955
"RDBR-C5.0",0.6873,0.7449,0.7112,0.7172,0.6716,0.7155,0.731,0.6959,0.7262,0.7021
"BR-LR",0.7325,0.7002,0.717,0.7023,0.7141,0.7056,0.7075,0.7486,0.7326,0.709
"BR+-LR",0.729,0.6989,0.7138,0.7131,0.7177,0.6988,0.7042,0.7487,0.7152,0.7032
"CC-LR",0.7334,0.6981,0.7272,0.7059,0.7053,0.7022,0.7094,0.7426,0.7373,0.705
"DBR-LR",0.7332,0.712,0.7207,0.705,0.7009,0.7066,0.7036,0.7147,0.7305,0.7061
"EBR-LR",0.6424,0.6293,0.6632,0.6107,0.6686,0.6291,0.5995,0.6043,0.5286,0.5603
"ECC-LR",0.6149,0.6472,0.6057,0.6158,0.6678,0.6423,0.6224,0.6258,0.6145,0.5772
"MBR-LR",0.73,0.6909,0.7222,0.7166,0.7264,0.7011,0.7073,0.7339,0.7128,0.7125
"NS-LR",0.6769,0.6539,0.6838,0.6698,0.6804,0.6671,0.681,0.691,0.6962,0.6859
"PruDent-LR",0.7292,0.6966,0.7249,0.6939,0.7132,0.7003,0.712,0.7231,0.7241,0.7038
"RDBR-LR",0.7196,0.6985,0.7166,0.7302,0.7002,0.7003,0.7074,0.729,0.7263,0.7282
"BR-RF",0.5874,0.5967,0.6,0.5838,0.5959,0.5611,0.5997,0.582,0.608,0.6169
"BR+-RF",0.582,0.5624,0.6058,0.5668,0.5948,0.5448,0.6088,0.5796,0.5842,0.5912
"CC-RF",0.6014,0.5873,0.5959,0.5839,0.6006,0.5872,0.61,0.6065,0.6072,0.6131
"DBR-RF",0.5805,0.5633,0.5978,0.577,0.6022,0.5569,0.6114,0.5795,0.5866,0.5964
"EBR-RF",0.5906,0.613,0.5948,0.6009,0.5958,0.5983,0.6199,0.6173,0.6225,0.6284
"ECC-RF",0.5996,0.5839,0.6054,0.5869,0.5954,0.6003,0.6108,0.5976,0.6196,0.6235
"MBR-RF",0.5846,0.6071,0.5994,0.5591,0.582,0.5743,0.6159,0.5907,0.6114,0.6139
"NS-RF",0.5877,0.6029,0.5994,0.5875,0.5907,0.5771,0.585,0.5993,0.6061,0.6068
"PruDent-RF",0.588,0.5888,0.6034,0.5882,0.5973,0.5722,0.6006,0.592,0.6071,0.6124
"RDBR-RF",0.5879,0.571,0.6067,0.5677,0.5947,0.556,0.6098,0.5872,0.5918,0.5875
"BR-SVM",0.725,0.6862,0.7263,0.7055,0.7414,0.7057,0.711,0.7275,0.7301,0.7051
"BR+-SVM",0.724,0.6877,0.719,0.7133,0.719,0.7141,0.7087,0.7219,0.7138,0.7095
"CC-SVM",0.7304,0.6946,0.7205,0.7107,0.7163,0.7178,0.7094,0.7386,0.7374,0.7072
"DBR-SVM",0.7118,0.6873,0.7189,0.7252,0.7068,0.7137,0.709,0.7148,0.7188,0.7095
"EBR-SVM",0.6811,0.6769,0.717,0.6912,0.6843,0.6905,0.666,0.7076,0.7052,0.7049
"ECC-SVM",0.6851,0.6767,0.7008,0.676,0.6881,0.672,0.6955,0.6936,0.7011,0.6921
"MBR-SVM",0.7481,0.7077,0.7312,0.7098,0.7064,0.7162,0.7168,0.7302,0.7417,0.7142
"NS-SVM",0.7181,0.6661,0.7166,0.6808,0.6929,0.6868,0.7002,0.7108,0.7104,0.6925
"PruDent-SVM",0.7427,0.7051,0.7185,0.7069,0.722,0.7075,0.7103,0.7225,0.7139,0.7086
"RDBR-SVM",0.7213,0.694,0.7172,0.71,0.716,0.7134,0.7118,0.7329,0.7124,0.7095
"BR-SVMt",0.7419,0.7106,0.7416,0.7342,0.7485,0.7263,0.7468,0.7328,0.7305,0.724
"BR+-SVMt",0.7272,0.6859,0.7497,0.7112,0.7384,0.7208,0.7413,0.738,0.7569,0.7143
"CC-SVMt",0.7439,0.7164,0.7553,0.7118,0.7433,0.7225,0.7481,0.7248,0.757,0.7138
"DBR-SVMt",0.7436,0.7064,0.7448,0.7158,0.7334,0.7272,0.755,0.7448,0.75,0.7168
"EBR-SVMt",0.7199,0.7113,0.7949,0.7267,0.72,0.7171,0.7632,0.709,0.7465,0.7003
"ECC-SVMt",0.581,0.59,0.7647,0.707,0.7304,0.7083,0.7587,0.753,0.7313,0.7174
"MBR-SVMt",0.7267,0.7077,0.7247,0.7258,0.716,0.7355,0.7523,0.7187,0.7482,0.7458
"NS-SVMt",0.7169,0.6945,0.7292,0.7174,0.7372,0.7038,0.7401,0.7352,0.7519,0.7218
"PruDent-SVMt",0.7344,0.7181,0.7303,0.7194,0.7525,0.7313,0.7662,0.7196,0.7339,0.7223
"RDBR-SVMt",0.7391,0.696,0.7535,0.7143,0.7218,0.7139,0.7413,0.7183,0.7383,0.7186
"BR-XGB",0.7003,0.7387,0.7514,0.698,0.7058,0.7556,0.7453,0.71,0.7442,0.7035
"BR+-XGB",0.6945,0.7447,0.7528,0.6899,0.7103,0.7454,0.7389,0.6961,0.7437,0.7045
"CC-XGB",0.6983,0.7397,0.7444,0.7025,0.7206,0.7504,0.7487,0.7093,0.7475,0.701
"DBR-XGB",0.695,0.745,0.7521,0.6964,0.7081,0.7481,0.7396,0.695,0.7425,0.7107
"EBR-XGB",0.6876,0.704,0.741,0.6952,0.7107,0.7312,0.7473,0.7028,0.7428,0.7222
"ECC-XGB",0.726,0.719,0.7463,0.6874,0.717,0.7242,0.7538,0.6866,0.7296,0.7084
"MBR-XGB",0.7003,0.7387,0.7514,0.698,0.7058,0.7556,0.7453,0.71,0.7442,0.7033
"NS-XGB",0.6901,0.7297,0.7366,0.6896,0.6974,0.7317,0.7363,0.6895,0.7276,0.6788
"PruDent-XGB",0.7003,0.7387,0.7514,0.698,0.7058,0.7556,0.7453,0.71,0.7442,0.7035
"RDBR-XGB",0.6982,0.7425,0.7403,0.6873,0.7043,0.7541,0.7517,0.7016,0.7377,0.7039
