"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0512,0.0517,0.0508,0.0521,0.0515,0.0514,0.052,0.051,0.0512,0.0517
"baseline-HL",0.0104,0.0105,0.0104,0.0106,0.0105,0.0105,0.0106,0.0104,0.0104,0.0105
"baseline-RL",0.0104,0.0105,0.0296,0.0106,0.0105,0.0105,0.0106,0.0297,0.0104,0.0105
"baseline-SA",0.0096,0.0097,0.0096,0.0098,0.0097,0.0097,0.0098,0.0096,0.0096,0.0097
"BR-C5.0",0.1137,0.1152,0.1116,0.1064,0.1107,0.1152,0.1243,0.1297,0.117,0.1133
"BR+-C5.0",0.1111,0.0936,0.1078,0.1111,0.1068,0.1032,0.1066,0.1222,0.1057,0.1044
"CC-C5.0",0.1098,0.104,0.0985,0.116,0.0926,0.1045,0.1202,0.1107,0.105,0.1004
"DBR-C5.0",0.1138,0.101,0.113,0.1136,0.1235,0.1125,0.1152,0.124,0.1123,0.1058
"EBR-C5.0",0.1154,0.162,0.1162,0.1316,0.1416,0.1412,0.1615,0.125,0.1302,0.1649
"ECC-C5.0",0.1146,0.1621,0.1107,0.1578,0.1677,0.103,0.1192,0.1525,0.1305,0.1541
"MBR-C5.0",0.1317,0.1331,0.1293,0.1186,0.1368,0.1329,0.1379,0.141,0.1333,0.1279
"NS-C5.0",0.1083,0.1069,0.1143,0.1029,0.1014,0.1084,0.1251,0.1189,0.1076,0.1162
"PruDent-C5.0",0.1021,0.1042,0.0988,0.0983,0.1067,0.1077,0.1112,0.1158,0.1079,0.1031
"RDBR-C5.0",0.1106,0.1032,0.1064,0.1117,0.1125,0.1013,0.1148,0.1166,0.1048,0.1041
"BR-LR",0.1237,0.1285,0.1227,0.1275,0.1298,0.126,0.1236,0.1373,0.13,0.1229
"BR+-LR",0.1534,0.1527,0.1495,0.1536,0.1474,0.1495,0.1591,0.1621,0.1522,0.1476
"CC-LR",0.1345,0.1459,0.1409,0.1348,0.1403,0.1395,0.1406,0.1523,0.1404,0.1331
"DBR-LR",0.1432,0.1481,0.1505,0.1451,0.1501,0.1468,0.1523,0.1607,0.1432,0.1442
"EBR-LR",0.1835,0.1902,0.1775,0.1775,0.1822,0.1762,0.1796,0.1946,0.1902,0.1885
"ECC-LR",0.172,0.1773,0.1649,0.1717,0.202,0.1699,0.1646,0.2076,0.2178,0.1713
"MBR-LR",0.1473,0.1478,0.1489,0.1475,0.1442,0.142,0.1426,0.1572,0.1475,0.1441
"NS-LR",0.1302,0.136,0.1357,0.1344,0.134,0.1284,0.133,0.1485,0.0283,0.1284
"PruDent-LR",0.1399,0.1439,0.1425,0.1399,0.1405,0.1326,0.1424,0.1478,0.1433,0.1415
"RDBR-LR",0.1561,0.152,0.1516,0.1509,0.1521,0.1579,0.1527,0.1618,0.156,0.1506
"BR-RF",0.0836,0.0887,0.0804,0.0898,0.0841,0.0773,0.0837,0.0832,0.0808,0.0821
"BR+-RF",0.0845,0.0878,0.0794,0.0866,0.0802,0.0783,0.0861,0.0835,0.0786,0.0787
"CC-RF",0.0832,0.088,0.0835,0.0886,0.0846,0.0773,0.0836,0.0842,0.0828,0.0846
"DBR-RF",0.0824,0.0855,0.0766,0.0845,0.0801,0.0734,0.08,0.079,0.0775,0.0768
"EBR-RF",0.1326,0.1409,0.1296,0.1411,0.1414,0.1234,0.1391,0.1309,0.1315,0.1355
"ECC-RF",0.1377,0.1456,0.1278,0.1403,0.1506,0.1264,0.1425,0.1381,0.1322,0.1382
"MBR-RF",0.0815,0.0858,0.0811,0.0851,0.0907,0.0744,0.0803,0.0859,0.0835,0.0822
"NS-RF",0.0888,0.0879,0.0835,0.0886,0.0874,0.0775,0.0836,0.0842,0.0865,0.0846
"PruDent-RF",0.082,0.0846,0.0812,0.0828,0.0934,0.077,0.08,0.0812,0.0751,0.0797
"RDBR-RF",0.0873,0.0835,0.0755,0.0861,0.0855,0.0754,0.0833,0.0819,0.0808,0.0836
"BR-SVM",0.125,0.1295,0.1274,0.1249,0.1285,0.125,0.1323,0.1337,0.1314,0.1277
"BR+-SVM",0.1485,0.1531,0.1504,0.1489,0.1475,0.1539,0.1607,0.1576,0.1531,0.1493
"CC-SVM",0.1387,0.1424,0.1389,0.1339,0.1359,0.1392,0.1369,0.1528,0.1437,0.1314
"DBR-SVM",0.1413,0.1471,0.1452,0.1438,0.1438,0.1489,0.1572,0.1519,0.1482,0.1461
"EBR-SVM",0.2019,0.2076,0.1973,0.2109,0.2039,0.2064,0.2164,0.2148,0.2091,0.2114
"ECC-SVM",0.1962,0.2028,0.194,0.203,0.2028,0.2018,0.2086,0.2022,0.2089,0.1974
