"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0671,0.0665,0.0663,0.0672,0.0669,0.0667,0.0664,0.0672,0.0667,0.0669
"baseline-HL",0.0149,0.0148,0.0148,0.015,0.0149,0.0149,0.0148,0.015,0.0149,0.0149
"baseline-RL",0.0149,0.0148,0.0148,0.015,0.0149,0.0149,0.0148,0.015,0.0149,0.0149
"baseline-SA",0.0149,0.0148,0.0148,0.015,0.0149,0.0149,0.0148,0.015,0.0149,0.0149
"BR-C5.0",0.2321,0.2588,0.2634,0.2288,0.2729,0.2477,0.2528,0.2303,0.2445,0.2363
"BR+-C5.0",0.2299,0.2581,0.2601,0.2342,0.2652,0.2353,0.2372,0.2398,0.2355,0.2313
"CC-C5.0",0.2498,0.2466,0.26,0.2436,0.2653,0.237,0.2484,0.2443,0.2434,0.2525
"DBR-C5.0",0.2302,0.2552,0.2599,0.237,0.2654,0.2435,0.2495,0.2391,0.2337,0.2302
"EBR-C5.0",0.2845,0.3099,0.2946,0.2861,0.3052,0.3002,0.2879,0.3052,0.3213,0.2554
"ECC-C5.0",0.2827,0.3068,0.3086,0.3035,0.2998,0.2673,0.2874,0.2718,0.2725,0.2974
"MBR-C5.0",0.2322,0.2482,0.2568,0.224,0.2734,0.244,0.2516,0.2223,0.2463,0.2373
"NS-C5.0",0.2319,0.2495,0.2668,0.2269,0.2682,0.2506,0.2494,0.2334,0.2431,0.2353
"PruDent-C5.0",0.2321,0.2588,0.2634,0.2288,0.2729,0.2477,0.2528,0.2303,0.2445,0.2363
"RDBR-C5.0",0.2298,0.2584,0.2597,0.2337,0.2716,0.2371,0.2382,0.2407,0.2405,0.2294
"BR-LR",0.432,0.4276,0.4266,0.4163,0.4157,0.4165,0.4042,0.4462,0.421,0.4145
"BR+-LR",0.4357,0.4177,0.41,0.4201,0.4336,0.4255,0.4067,0.4424,0.4198,0.4338
"CC-LR",0.3993,0.417,0.4403,0.4017,0.4046,0.411,0.4069,0.4226,0.4209,0.3982
"DBR-LR",0.4373,0.4048,0.4128,0.4391,0.4268,0.4204,0.4338,0.4513,0.4205,0.4203
"EBR-LR",0.4094,0.4137,0.4014,0.3861,0.3868,0.435,0.4241,0.4057,0.419,0.394
"ECC-LR",0.4025,0.3936,0.4146,0.4062,0.4038,0.428,0.3861,0.4304,0.4043,0.3824
"MBR-LR",0.4498,0.407,0.43,0.4147,0.4385,0.4236,0.4308,0.4463,0.4245,0.422
"NS-LR",0.4223,0.416,0.4332,0.4233,0.4181,0.4,0.404,0.4389,0.4203,0.4167
"PruDent-LR",0.4422,0.4048,0.436,0.4297,0.4277,0.4122,0.4048,0.4395,0.4198,0.4278
"RDBR-LR",0.4168,0.418,0.4128,0.4221,0.42,0.4236,0.4087,0.4394,0.4211,0.4214
"BR-RF",0.391,0.401,0.4041,0.3833,0.4024,0.425,0.4055,0.3968,0.3982,0.3814
