"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0106,0.0104,0.0128,0.0105,0.0104,0.0106,0.0104,0.0106,0.0105,0.0104
"baselineHL",0.0054,0.0053,0.0053,0.0054,0.0053,0.0054,0.0053,0.0054,0.0054,0.0053
"baselineRL",0.0054,0.0053,0.0053,0.0054,0.0053,0.0054,0.0053,0.0054,0.0054,0.0053
"baselineSA",0.0054,0.0053,0.0053,0.0054,0.0053,0.0054,0.0053,0.0054,0.0054,0.0053
"BR-C5.0",0.1565,0.1507,0.1263,0.152,0.168,0.1602,0.1399,0.1506,0.1575,0.152
"BR-LR",0.2009,0.1871,0.1728,0.1822,0.1878,0.1772,0.1685,0.205,0.1975,0.1675
"BR-RF",0.1259,0.1076,0.0975,0.1092,0.1083,0.1097,0.1139,0.1051,0.1035,0.1098
"BR-SVM",0.1973,0.1811,0.1945,0.175,0.1886,0.1929,0.1938,0.2049,0.1966,0.1836
"BR-SVMt",0.1912,0.2006,0.1608,0.1972,0.1703,0.1868,0.1525,0.206,0.0283,0.1822
"BR-XGB",0.2459,0.273,0.2541,0.2614,0.2733,0.2589,0.2449,0.2604,0.2658,0.2482
"BR+-C5.0",0.1311,0.149,0.1348,0.1475,0.1578,0.1438,0.1406,0.1245,0.1349,0.1469
"BR+-LR",0.1954,0.1915,0.2024,0.1837,0.2003,0.1861,0.1904,0.1995,0.2033,0.1869
"BR+-RF",0.1177,0.1061,0.109,0.1204,0.106,0.1144,0.118,0.1075,0.1056,0.1145
"BR+-SVM",0.19,0.1891,0.2029,0.1935,0.1984,0.1999,0.1884,0.2004,0.2044,0.1872
"BR+-SVMt",0.1941,0.1996,0.1673,0.1957,0.1959,0.1928,0.1742,0.2119,0.035,0.2001
"BR+-XGB",0.2582,0.2805,0.2413,0.2427,0.2727,0.2565,0.252,0.2588,0.2662,0.2528
"CC-C5.0",0.1433,0.1276,0.1133,0.1546,0.1422,0.1478,0.1301,0.1495,0.1523,0.1384
"CC-LR",0.1881,0.1868,0.1959,0.1691,0.1953,0.1897,0.1771,0.2026,0.2043,0.1831
"CC-RF",0.1199,0.1004,0.106,0.1091,0.1016,0.1174,0.1144,0.1038,0.1092,0.1015
"CC-SVM",0.1911,0.1824,0.1924,0.1785,0.1952,0.1936,0.1885,0.2044,0.2017,0.1834
"CC-SVMt",0.1924,0.19,0.1712,0.2025,0.2124,0.1583,0.1493,0.2068,0.0317,0.163
"CC-XGB",0.2491,0.276,0.2448,0.2587,0.2614,0.2513,0.2582,0.2653,0.2631,0.2495
"DBR-C5.0",0.1347,0.1457,0.1332,0.144,0.1549,0.1394,0.1407,0.1251,0.1327,0.1432
"DBR-LR",0.1912,0.1888,0.1905,0.18,0.1934,0.1802,0.1778,0.2085,0.2084,0.1785
"DBR-RF",0.1153,0.1012,0.1086,0.1173,0.1045,0.114,0.1129,0.1085,0.1047,0.1117
"DBR-SVM",0.1877,0.1902,0.2012,0.1909,0.2002,0.2006,0.1878,0.1983,0.2053,0.1875
"DBR-SVMt",0.1913,0.1801,0.1641,0.2025,0.1901,0.1931,0.1988,0.2035,0.0764,0.1786
"DBR-XGB",0.2571,0.2745,0.2403,0.2445,0.2707,0.252,0.2532,0.2581,0.2659,0.2482
"EBR-C5.0",0.2094,0.2018,0.2007,0.2054,0.2097,0.2077,0.1991,0.1944,0.1962,0.1908
"EBR-LR",0.2119,0.2321,0.1694,0.1921,0.1574,0.1743,0.1853,0.2102,0.1722,0.161
"EBR-RF",0.1672,0.1656,0.166,0.1553,0.1792,0.1713,0.1708,0.1493,0.1697,0.1774
"EBR-SVM",0.2201,0.2069,0.2084,0.2337,0.1995,0.2525,0.1902,0.219,0.2038,0.2284
"EBR-SVMt",0.1895,0.2115,0.2313,0.2113,0.2246,0.1821,0.2295,0.1987,0.2152,0.2227
"EBR-XGB",0.2828,0.3047,0.2929,0.2963,0.3138,0.2846,0.2969,0.301,0.3016,0.2932
"ECC-C5.0",0.1862,0.1933,0.1815,0.18,0.2037,0.1892,0.1973,0.1906,0.1837,0.1954
"ECC-LR",0.16,0.2392,0.2267,0.1958,0.2272,0.1906,0.181,0.1899,0.2116,0.1863
"ECC-RF",0.162,0.173,0.1644,0.1737,0.1601,0.171,0.1674,0.1638,0.1679,0.1652
"ECC-SVM",0.2252,0.2097,0.2107,0.2248,0.2121,0.2331,0.1813,0.2119,0.2576,0.1909
"ECC-SVMt",0.1998,0.2127,0.2359,0.1692,0.2349,0.1407,0.2154,0.2563,0.2463,0.2339
"ECC-XGB",0.2775,0.2965,0.2824,0.2905,0.3107,0.2759,0.2885,0.2918,0.3047,0.2883
"MBR-C5.0",0.1509,0.1452,0.1164,0.1573,0.1542,0.1588,0.134,0.1522,0.1597,0.1483
"MBR-LR",0.2113,0.2535,0.2407,0.2333,0.2039,0.2286,0.2247,0.2598,0.2516,0.2396
"MBR-RF",0.1237,0.1048,0.1042,0.1101,0.1069,0.1093,0.1132,0.108,0.1093,0.1025
"MBR-SVM",0.2036,0.1874,0.2059,0.18,0.1955,0.1858,0.1908,0.2052,0.2076,0.1856
