"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.2838,0.2845,0.2839,0.2844,0.2841,0.2841,0.2838,0.2844,0.2846,0.2836
"baselineHL",0.0925,0.0927,0.0926,0.0927,0.0926,0.0927,0.0926,0.0927,0.0928,0.0925
"baselineRL",0.0925,0.0927,0.0926,0.0927,0.0926,0.0927,0.0926,0.0927,0.0928,0.0925
"baselineSA",0.1466,0.147,0.1467,0.1469,0.1468,0.1468,0.1467,0.147,0.1471,0.1466
"BR-C5.0",0.5577,0.5837,0.5692,0.5833,0.5758,0.5798,0.5887,0.5778,0.5935,0.5673
"BR-LR",0.5511,0.5576,0.5649,0.5496,0.5488,0.5613,0.5442,0.5603,0.561,0.5488
"BR-RF",0.6273,0.6365,0.6331,0.6336,0.6363,0.635,0.6362,0.6302,0.634,0.6347
"BR-SVM",0.5523,0.5566,0.5625,0.5509,0.5497,0.5626,0.5425,0.5602,0.5613,0.5478
"BR-SVMt",0.6761,0.6845,0.6885,0.6835,0.6851,0.679,0.6779,0.6817,0.6825,0.6823
"BR-XGB",0.681,0.6865,0.6842,0.6822,0.6814,0.6859,0.6773,0.6843,0.6827,0.6867
"BR+-C5.0",0.5607,0.6064,0.586,0.5975,0.5814,0.6032,0.598,0.5871,0.6142,0.5866
"BR+-LR",0.5631,0.5759,0.5819,0.5667,0.5646,0.5694,0.5617,0.5705,0.5802,0.5605
"BR+-RF",0.6482,0.6586,0.6525,0.6593,0.6584,0.6556,0.6581,0.6523,0.6543,0.6554
"BR+-SVM",0.5635,0.5774,0.5813,0.5705,0.5634,0.58,0.5623,0.5764,0.5788,0.5617
"BR+-SVMt",0.6809,0.6945,0.6855,0.6812,0.6857,0.6849,0.6838,0.6892,0.6913,0.6873
"BR+-XGB",0.6881,0.6892,0.6918,0.6822,0.6857,0.6889,0.6754,0.6907,0.6941,0.6885
"CC-C5.0",0.5634,0.6007,0.5839,0.6036,0.5831,0.6177,0.5959,0.6111,0.5985,0.5954
"CC-LR",0.5635,0.5684,0.575,0.5613,0.5554,0.5677,0.5511,0.5675,0.5701,0.5614
