"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0576,0.0603,0.0591,0.0588,0.061,0.057,0.058,0.0599,0.0613,0.0568
"baseline-HL",0.02,0.0208,0.0206,0.0201,0.021,0.0198,0.0201,0.0206,0.0214,0.0194
"baseline-RL",0.0357,0.0371,0.0369,0.0359,0.0376,0.0353,0.0359,0.0369,0.0383,0.0347
"baseline-SA",0.0157,0.0164,0.0163,0.0158,0.0166,0.0155,0.0158,0.0206,0.0169,0.0152
"BR-C5.0",0.4123,0.4265,0.436,0.3926,0.4457,0.4628,0.398,0.4302,0.3938,0.3955
"BR+-C5.0",0.4574,0.4384,0.4753,0.4237,0.3847,0.4622,0.3927,0.4025,0.3832,0.3791
"CC-C5.0",0.389,0.4435,0.4459,0.4197,0.4338,0.4533,0.4019,0.4292,0.383,0.3715
"DBR-C5.0",0.4547,0.4384,0.471,0.4199,0.3921,0.4658,0.3887,0.4035,0.3803,0.3793
"EBR-C5.0",0.5024,0.4628,0.4251,0.3967,0.4806,0.5625,0.5085,0.4671,0.4933,0.4381
"ECC-C5.0",0.5287,0.4491,0.5113,0.5528,0.5351,0.5481,0.5272,0.4832,0.4931,0.4423
"MBR-C5.0",0.4016,0.418,0.3783,0.3844,0.4013,0.4423,0.3933,0.4089,0.3887,0.4077
"NS-C5.0",0.3741,0.4457,0.4708,0.4728,0.451,0.4786,0.4291,0.3867,0.415,0.3734
"PruDent-C5.0",0.4123,0.4265,0.436,0.3926,0.4457,0.4628,0.398,0.4302,0.3938,0.3955
"RDBR-C5.0",0.4539,0.4403,0.4725,0.4237,0.4031,0.4577,0.3931,0.4032,0.3822,0.3822
"BR-LR",0.6444,0.0213,0.6668,0.6099,0.555,0.5972,0.5024,0.0652,0.6524,0.6204
"BR+-LR",0.6521,0.021,0.5493,0.6798,0.5795,0.5811,0.4999,0.0211,0.6112,0.5337
"CC-LR",0.5883,0.0877,0.5112,0.6075,0.6398,0.5407,0.5572,0.0213,0.6498,0.6294
"DBR-LR",0.6705,0.0877,0.6328,0.6355,0.5254,0.6267,0.5906,0.0543,0.6187,0.6527
"EBR-LR",0.2428,0.1318,0.1381,0.3846,0.1787,0.3175,0.0754,0.1203,0.4722,0.2474
"ECC-LR",0.1313,0.0542,0.246,0.3101,0.2113,0.2707,0.1195,0.3308,0.3377,0.1266
"MBR-LR",0.653,0.0877,0.5942,0.6581,0.0433,0.6057,0.5963,0.0207,0.6975,0.5552
"NS-LR",0.7137,0.0209,0.5761,0.6476,0.1526,0.6059,0.6229,0.0208,0.506,0.5847
"PruDent-LR",0.6397,0.0877,0.6242,0.6885,0.6475,0.5958,0.5408,0.0209,0.5751,0.6431
