"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.1111,0.1096,0.1162,0.113,0.1112,0.1123,0.1112,0.1104,0.1107,0.1096
"baseline-HL",0.039,0.0369,0.0362,0.0363,0.036,0.0365,0.036,0.0365,0.0357,0.0368
"baseline-RL",0.0756,0.0782,0.0688,0.0676,0.0693,0.0732,0.0695,0.071,0.0693,0.0666
"baseline-SA",0.0416,0.049,0.0481,0.0428,0.0429,0.0475,0.0428,0.0481,0.0416,0.0484
"BR-C5.0",0.1806,0.1706,0.1828,0.165,0.1849,0.1729,0.1817,0.1752,0.1691,0.1698
"BR+-C5.0",0.2027,0.2047,0.1994,0.1916,0.1991,0.1755,0.1887,0.1864,0.1998,0.1966
"CC-C5.0",0.1987,0.1779,0.1943,0.1859,0.1815,0.195,0.1904,0.191,0.1919,0.2059
"DBR-C5.0",0.2001,0.1912,0.1978,0.1908,0.1963,0.178,0.1878,0.1951,0.1995,0.1879
"EBR-C5.0",0.1965,0.206,0.2151,0.2009,0.2063,0.2011,0.2115,0.2042,0.2164,0.1862
"ECC-C5.0",0.2104,0.1871,0.2088,0.1982,0.2004,0.2018,0.2115,0.2065,0.2057,0.2215
"MBR-C5.0",0.2059,0.1972,0.1948,0.2119,0.1929,0.1915,0.2033,0.1985,0.1959,0.2042
"NS-C5.0",0.2016,0.2095,0.1809,0.1728,0.2109,0.1875,0.1874,0.1867,0.1849,0.1892
"PruDent-C5.0",0.1934,0.1752,0.1956,0.1872,0.1956,0.1859,0.1867,0.1751,0.1831,0.1877
"RDBR-C5.0",0.1732,0.2162,0.2022,0.2068,0.1819,0.1782,0.1788,0.1982,0.2132,0.1914
"BR-LR",0.1033,0.0788,0.0892,0.0936,0.1165,0.0728,0.101,0.078,0.104,0.1073
"BR+-LR",0.1753,0.1088,0.1624,0.1208,0.1691,0.1256,0.1786,0.1205,0.1415,0.1152
"CC-LR",0.179,0.1337,0.1746,0.1884,0.1627,0.1466,0.1794,0.1345,0.2005,0.1585
"DBR-LR",0.1671,0.0989,0.1491,0.1266,0.1734,0.1027,0.1566,0.0968,0.1435,0.1177
"EBR-LR",0.2158,0.1881,0.1995,0.2069,0.2178,0.1984,0.204,0.2181,0.1962,0.1829
"ECC-LR",0.2139,0.2166,0.199,0.2176,0.2167,0.1923,0.2167,0.2005,0.2003,0.1959
"MBR-LR",0.1454,0.1414,0.1466,0.1224,0.1537,0.1107,0.1377,0.119,0.1735,0.1251
"NS-LR",0.1699,0.1247,0.1326,0.1084,0.1479,0.1434,0.1427,0.1534,0.1586,0.1377
