"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
"baselineHL",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
"baselineRL",0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028
"baselineSA",5e-04,0.0013,4e-04,0.0013,0.0013,5e-04,0.0019,0.0013,5e-04,0.0013
"BR-C5.0",0.0429,0.0492,0.0487,0.0362,0.0359,0.0391,0.0352,0.0514,0.0289,0.0399
"BR-LR",0.0997,0.085,0.0984,0.1051,0.099,0.0854,0.0814,0.1077,0.0988,0.1
"BR-RF",0.0891,0.0852,0.0657,0.0935,0.0878,0.0972,0.0904,0.0892,0.0899,0.094
"BR-SVM",0.0991,0.094,0.0791,0.0983,0.0979,0.0856,0.0865,0.1042,0.099,0.0948
"BR-SVMt",0.1345,0.1185,0.1313,0.12,0.1286,0.1384,0.146,0.1484,0.1231,0.1293
"BR-XGB",0.11,0.1093,0.1099,0.0998,0.1352,0.1181,0.1115,0.1266,0.1098,0.1184
"BR+-C5.0",0.0375,0.0447,0.058,0.0451,0.0418,0.0584,0.0447,0.0603,0.0359,0.0464
"BR+-LR",0.1401,0.1358,0.1477,0.1062,0.1552,0.1346,0.1112,0.1508,0.1302,0.1402
"BR+-RF",0.0957,0.0979,0.0899,0.0925,0.0899,0.0906,0.1027,0.1175,0.0932,0.1058
"BR+-SVM",0.1368,0.1367,0.1369,0.1135,0.1447,0.1287,0.1118,0.145,0.1251,0.1317
"BR+-SVMt",0.1383,0.1383,0.1484,0.128,0.1501,0.1464,0.1247,0.1407,0.1395,0.1306
"BR+-XGB",0.1144,0.1136,0.115,0.1149,0.1284,0.115,0.1214,0.118,0.1233,0.1084
"CC-C5.0",0.0432,0.0589,0.0614,0.0423,0.0463,0.0564,0.0364,0.0436,0.0424,0.065
"CC-LR",0.1017,0.1161,0.1197,0.1045,0.1254,0.1165,0.1018,0.1087,0.1118,0.1223
"CC-RF",0.0772,0.0916,0.0738,0.0799,0.0623,0.0985,0.0775,0.0963,0.0756,0.0883
"CC-SVM",0.103,0.1215,0.116,0.1032,0.1148,0.1124,0.1009,0.1192,0.106,0.119
"CC-SVMt",0.1278,0.1257,0.1325,0.1314,0.1381,0.1478,0.1246,0.1422,0.1263,0.1203
"CC-XGB",0.1079,0.1188,0.1023,0.0997,0.1124,0.1005,0.1005,0.0916,0.1123,0.1146
"DBR-C5.0",0.0453,0.0518,0.0635,0.0444,0.0425,0.0475,0.0438,0.0513,0.0358,0.0483
"DBR-LR",0.1216,0.1312,0.1414,0.1054,0.1447,0.1232,0.111,0.1385,0.1251,0.132
"DBR-RF",0.0888,0.0978,0.0865,0.1039,0.0889,0.0943,0.0955,0.1004,0.0852,0.0879
"DBR-SVM",0.1284,0.1432,0.1375,0.1108,0.1382,0.136,0.1132,0.1377,0.1285,0.1229
"DBR-SVMt",0.1309,0.1211,0.1394,0.1458,0.1391,0.1197,0.1152,0.1626,0.118,0.1066
"DBR-XGB",0.1117,0.1107,0.1193,0.1146,0.13,0.1088,0.1193,0.1185,0.1132,0.1133
"EBR-C5.0",0.0856,0.1002,0.0785,0.1012,0.0863,0.093,0.0843,0.1037,0.0865,0.0788
"EBR-LR",0.0992,0.1123,0.1102,0.0952,0.1057,0.1111,0.1457,0.1176,0.1111,0.1117
"EBR-RF",0.0988,0.0921,0.0917,0.0791,0.0791,0.0919,0.0904,0.0889,0.1052,0.0955
"EBR-SVM",0.0985,0.1194,0.1261,0.1159,0.1249,0.1074,0.11,0.1411,0.1188,0.1047
"EBR-SVMt",0.1074,0.1142,0.1139,0.1197,0.1134,0.1166,0.1213,0.1103,0.1078,0.1149
"EBR-XGB",0.105,0.108,0.1074,0.1109,0.1241,0.1115,0.1035,0.107,0.1003,0.104
"ECC-C5.0",0.0974,0.0881,0.0817,0.0935,0.0927,0.1037,0.0969,0.103,0.0948,0.0857
"ECC-LR",0.1162,0.0997,0.1084,0.0961,0.1057,0.1051,0.102,0.0949,0.1068,0.1068
"ECC-RF",0.0959,0.0914,0.096,0.092,0.1092,0.1083,0.1026,0.0997,0.0932,0.1055
"ECC-SVM",0.1025,0.1439,0.1045,0.1284,0.135,0.1115,0.1171,0.1237,0.1123,0.1204
"ECC-SVMt",0.1274,0.1426,0.117,0.1241,0.1341,0.1157,0.1103,0.1223,0.1184,0.1148
"ECC-XGB",0.1015,0.1318,0.1103,0.1039,0.1321,0.1012,0.1096,0.1184,0.1125,0.0996
"MBR-C5.0",0.0421,0.0485,0.0484,0.0455,0.0426,0.0372,0.0312,0.0532,0.0292,0.0352
"MBR-LR",0.1051,0.1192,0.1012,0.1353,0.1099,0.1072,0.1024,0.1175,0.1183,0.1248
"MBR-RF",0.0922,0.0936,0.0798,0.1028,0.0908,0.0985,0.1012,0.0924,0.1164,0.1067
"MBR-SVM",0.1097,0.105,0.118,0.1248,0.118,0.1074,0.118,0.1154,0.1136,0.1219
"MBR-SVMt",0.1494,0.1567,0.1492,0.1545,0.1634,0.1527,0.1434,0.1777,0.1423,0.1313
"MBR-XGB",0.1013,0.1137,0.1042,0.1012,0.1194,0.1122,0.118,0.1081,0.126,0.1112
"NS-C5.0",0.0403,0.0581,0.0643,0.0379,0.0486,0.063,0.0431,0.0603,0.0284,0.0602
"NS-LR",0.0915,0.0953,0.0993,0.0839,0.1042,0.1019,0.1027,0.1079,0.102,0.0977
"NS-RF",0.0897,0.0789,0.0731,0.098,0.084,0.1064,0.097,0.0968,0.0848,0.1065
"NS-SVM",0.1049,0.1011,0.105,0.1029,0.1316,0.1061,0.105,0.1128,0.1102,0.106
"NS-SVMt",0.1293,0.1064,0.1267,0.1104,0.1364,0.1432,0.1275,0.1252,0.1082,0.1088
"NS-XGB",0.0949,0.109,0.105,0.1083,0.1206,0.1146,0.1084,0.1044,0.1009,0.0909
