"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0422,0.0413,0.0419,0.0415,0.0416,0.0418,0.0421,0.0413,0.0418,0.0416
"baselineHL",0.0249,0.0246,0.0248,0.0246,0.0247,0.0248,0.0129,0.0245,0.0248,0.0246
"baselineRL",0.0346,0.0339,0.0344,0.0341,0.0342,0.0343,0.0345,0.034,0.0344,0.0341
"baselineSA",0.0076,0.0293,0.0075,0.0074,0.0074,0.0075,0.0075,0.0074,0.0075,0.0074
"BR-C5.0",0.2576,0.2287,0.2283,0.2361,0.2451,0.2471,0.2309,0.2399,0.2281,0.2267
"BR-LR",0.2626,0.283,0.2566,0.2735,0.2512,0.2478,0.2626,0.239,0.2764,0.2668
"BR-RF",0.3349,0.3683,0.3735,0.3678,0.3744,0.3387,0.3404,0.3755,0.3947,0.3569
"BR-SVM",0.2804,0.294,0.2874,0.2766,0.2536,0.282,0.2918,0.2583,0.2563,0.2726
"BR-SVMt",0.2626,0.2809,0.2979,0.2649,0.3112,0.3033,0.2884,0.2808,0.3148,0.2669
"BR-XGB",0.3445,0.3718,0.3685,0.3283,0.3724,0.3787,0.3946,0.3475,0.4047,0.3782
"BR+-C5.0",0.2646,0.2466,0.2203,0.2386,0.2531,0.261,0.2425,0.2481,0.2388,0.2022
"BR+-LR",0.2824,0.2973,0.2951,0.302,0.2891,0.2891,0.2661,0.3171,0.2648,0.3041
"BR+-RF",0.3416,0.349,0.3778,0.3685,0.3849,0.3727,0.3716,0.3766,0.4046,0.378
"BR+-SVM",0.3065,0.2851,0.3093,0.2932,0.2471,0.2895,0.2839,0.2869,0.3056,0.2728
"BR+-SVMt",0.265,0.2952,0.3064,0.2829,0.2959,0.287,0.289,0.2986,0.2797,0.3168
"BR+-XGB",0.3335,0.3642,0.3385,0.3315,0.3542,0.3462,0.3603,0.3469,0.3936,0.3375
"CC-C5.0",0.2571,0.2372,0.2157,0.2298,0.2365,0.2668,0.2291,0.2333,0.2295,0.2133
"CC-LR",0.2564,0.2587,0.2892,0.3051,0.2721,0.2672,0.2807,0.2801,0.2857,0.2774
"CC-RF",0.3404,0.3411,0.3814,0.3467,0.3698,0.3856,0.3717,0.4049,0.4018,0.3535
"CC-SVM",0.3059,0.2936,0.3023,0.2923,0.2509,0.2646,0.2831,0.2965,0.3008,0.2821
"CC-SVMt",0.2638,0.3041,0.2979,0.2814,0.2934,0.2723,0.2887,0.302,0.3,0.2818
"CC-XGB",0.3388,0.3697,0.3742,0.3399,0.3426,0.3733,0.3767,0.3491,0.4001,0.3612
"DBR-C5.0",0.259,0.232,0.2183,0.2415,0.2494,0.2441,0.2408,0.2416,0.2383,0.2016
"DBR-LR",0.2869,0.2494,0.2885,0.3102,0.2741,0.2551,0.2628,0.3098,0.2873,0.2917
