"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.037,0.0295,0.0362,0.0302,0.0362,0.0302,0.0364,0.03,0.037,0.0295
"baselineHL",0.0081,0.0078,0.0079,0.008,0.0079,0.008,0.008,0.0079,0.0081,0.0078
"baselineRL",0.0081,0.0078,0.0079,0.008,0.0079,0.008,0.008,0.0079,0.0081,0.0078
"baselineSA",0.0081,0.0065,0.0079,0.008,0.0079,0.008,0.008,0.0079,0.0081,0.0078
"BR-C5.0",0.3853,0.2817,0.3943,0.3055,0.311,0.3967,0.3454,0.3395,0.4269,0.2728
"BR-LR",0.5386,0.551,0.4773,0.5055,0.5309,0.4672,0.5849,0.4545,0.539,0.515
"BR-RF",0.5369,0.5035,0.5972,0.4319,0.6265,0.43,0.6666,0.4672,0.5886,0.4425
"BR-SVM",0.5449,0.5611,0.484,0.5487,0.5788,0.6078,0.6846,0.4931,0.5704,0.5803
"BR-SVMt",0.5151,0.5855,0.4574,0.5242,0.6219,0.5061,0.5789,0.5527,0.4892,0.6051
"BR-XGB",0.6065,0.5658,0.5298,0.55,0.5482,0.617,0.6337,0.4539,0.6109,0.555
"BR+-C5.0",0.3858,0.2949,0.3829,0.2846,0.311,0.3887,0.3454,0.3238,0.4269,0.2917
"BR+-LR",0.5016,0.5696,0.5037,0.5218,0.6619,0.4713,0.5768,0.4822,0.6058,0.5249
"BR+-RF",0.5619,0.504,0.4603,0.3783,0.6236,0.3942,0.5477,0.4081,0.5773,0.525
"BR+-SVM",0.5273,0.6153,0.4707,0.558,0.5741,0.6038,0.6248,0.4935,0.5704,0.5877
"BR+-SVMt",0.5505,0.6041,0.3942,0.5076,0.5777,0.4859,0.527,0.4968,0.4833,0.5044
"BR+-XGB",0.6052,0.5204,0.5233,0.5449,0.5455,0.6129,0.6323,0.4839,0.6027,0.5266
"CC-C5.0",0.3858,0.2961,0.3934,0.2946,0.311,0.4022,0.3454,0.3331,0.4269,0.2858
"CC-LR",0.6057,0.6006,0.5077,0.5155,0.457,0.4806,0.5724,0.4582,0.5342,0.5556
"CC-RF",0.5571,0.3874,0.5459,0.4457,0.5172,0.405,0.5221,0.4871,0.5786,0.4128
"CC-SVM",0.548,0.5644,0.484,0.5403,0.57,0.6034,0.6868,0.4958,0.5138,0.5813
"CC-SVMt",0.5267,0.6065,0.5285,0.4984,0.5692,0.5283,0.5661,0.5587,0.4862,0.5877
"CC-XGB",0.6048,0.5674,0.5251,0.5522,0.5455,0.6051,0.6314,0.4502,0.624,0.5341
"DBR-C5.0",0.3858,0.287,0.3829,0.2846,0.311,0.3887,0.3454,0.3238,0.4269,0.2875
"DBR-LR",0.5016,0.5163,0.5082,0.5058,0.6619,0.5045,0.5758,0.488,0.5297,0.6095
"DBR-RF",0.5619,0.504,0.4603,0.3779,0.6138,0.3942,0.4928,0.4081,0.5773,0.5321
"DBR-SVM",0.5327,0.622,0.4707,0.558,0.5724,0.6038,0.6248,0.4935,0.5704,0.531
"DBR-SVMt",0.5812,0.5561,0.4756,0.5522,0.6226,0.4772,0.5678,0.4839,0.5104,0.4805
"DBR-XGB",0.6052,0.5204,0.5226,0.5449,0.5455,0.6129,0.6323,0.4902,0.6027,0.5257
"EBR-C5.0",0.486,0.4312,0.4651,0.3521,0.5371,0.4527,0.5265,0.4146,0.5657,0.4217
"EBR-LR",0.4333,0.5174,0.4978,0.3186,0.5487,0.5229,0.453,0.3989,0.5144,0.4722
"EBR-RF",0.5662,0.4352,0.5994,0.4928,0.5768,0.4217,0.5848,0.4685,0.623,0.5212
"EBR-SVM",0.5073,0.4798,0.4659,0.5436,0.5224,0.4638,0.4857,0.4418,0.4623,0.5105
"EBR-SVMt",0.614,0.5446,0.4848,0.4707,0.4822,0.4408,0.4428,0.4901,0.4978,0.4886
"EBR-XGB",0.577,0.5746,0.496,0.4891,0.5214,0.5689,0.5235,0.5343,0.597,0.4962
"ECC-C5.0",0.3944,0.4392,0.4823,0.4784,0.5717,0.4073,0.4466,0.3641,0.451,0.4311
"ECC-LR",0.481,0.5191,0.5074,0.4458,0.434,0.436,0.4937,0.4479,0.4366,0.457
"ECC-RF",0.5118,0.3677,0.5713,0.4576,0.589,0.3843,0.5971,0.4804,0.5295,0.5245
"ECC-SVM",0.496,0.4575,0.4806,0.4769,0.4656,0.4731,0.4977,0.4468,0.4995,0.462
"ECC-SVMt",0.5096,0.4962,0.5485,0.5472,0.4936,0.4554,0.4981,0.4478,0.5631,0.52
"ECC-XGB",0.563,0.479,0.5002,0.4998,0.5003,0.5221,0.487,0.4937,0.556,0.5179
"MBR-C5.0",0.3743,0.2955,0.387,0.2995,0.3114,0.3859,0.341,0.339,0.418,0.285
"MBR-LR",0.5671,0.6224,0.5515,0.5572,0.5828,0.4517,0.6211,0.4833,0.5407,0.5103
"MBR-RF",0.5937,0.4551,0.6449,0.3795,0.5282,0.4432,0.5909,0.4765,0.5482,0.4667
"MBR-SVM",0.5684,0.5519,0.5618,0.5443,0.5429,0.5254,0.5621,0.4638,0.5498,0.5029
"MBR-SVMt",0.5614,0.5456,0.511,0.5435,0.5476,0.5281,0.551,0.4928,0.6004,0.5424
"MBR-XGB",0.6065,0.5658,0.5298,0.55,0.5482,0.617,0.6337,0.4539,0.6109,0.555
"NS-C5.0",0.4456,0.3135,0.4278,0.3396,0.3277,0.3812,0.3722,0.3854,0.5231,0.2291
"NS-LR",0.5579,0.5464,0.4825,0.5478,0.4998,0.5349,0.5409,0.423,0.5477,0.5924
"NS-RF",0.5571,0.3874,0.5459,0.4457,0.5172,0.405,0.5221,0.4871,0.5786,0.4128
"NS-SVM",0.548,0.5705,0.4849,0.5447,0.573,0.6069,0.622,0.4958,0.519,0.5956
"NS-SVMt",0.5816,0.5687,0.4678,0.5269,0.5209,0.5341,0.5883,0.5587,0.5521,0.5212
"NS-XGB",0.6248,0.5095,0.5232,0.5512,0.5428,0.6087,0.6314,0.464,0.6331,0.5341
"PruDent-C5.0",0.3853,0.2817,0.3943,0.2866,0.311,0.3746,0.3454,0.3209,0.4269,0.2726
"PruDent-LR",0.5423,0.5514,0.5321,0.5418,0.5752,0.5313,0.6151,0.4762,0.5835,0.4681
"PruDent-RF",0.5576,0.4402,0.5009,0.3873,0.6359,0.4862,0.5079,0.4704,0.5617,0.4359
"PruDent-SVM",0.5659,0.562,0.5345,0.5446,0.5877,0.497,0.5538,0.4666,0.5114,0.6044
