"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.4286,0.4256,0.4242,0.43,0.4286,0.4256,0.4171,0.4377,0.4286,0.4256
"baselineHL",0.2931,0.2931,0.2901,0.296,0.2931,0.2931,0.2871,0.2249,0.2931,0.2931
"baselineRL",0.2931,0.2931,0.2901,0.296,0.2931,0.2931,0.2871,0.2994,0.2931,0.2931
"baselineSA",0.2931,0.2931,0.2901,0.296,0.2209,0.2931,0.2871,0.2249,0.2209,0.2931
"BR-C5.0",0.6429,0.641,0.6235,0.6359,0.7261,0.6865,0.7056,0.7222,0.7503,0.6735
"BR-LR",0.6289,0.6727,0.6474,0.6363,0.6748,0.5981,0.6082,0.6859,0.6736,0.6774
"BR-RF",0.733,0.7222,0.6414,0.7988,0.7938,0.6632,0.6592,0.7901,0.643,0.7001
"BR-SVM",0.5308,0.6824,0.6369,0.6559,0.6465,0.6695,0.6772,0.6821,0.6467,0.6813
"BR-SVMt",0.7127,0.4908,0.6306,0.6509,0.6462,0.6747,0.5752,0.6513,0.6174,0.668
"BR-XGB",0.6831,0.6853,0.6451,0.6603,0.669,0.7044,0.6625,0.643,0.6245,0.7099
"BR+-C5.0",0.6011,0.7021,0.6525,0.6076,0.707,0.6631,0.6651,0.7357,0.7572,0.693
"BR+-LR",0.6208,0.6838,0.6369,0.6672,0.6318,0.6859,0.6839,0.7297,0.6447,0.6869
"BR+-RF",0.7415,0.7174,0.6406,0.7958,0.7789,0.688,0.6761,0.8195,0.6784,0.699
"BR+-SVM",0.6198,0.6877,0.6306,0.626,0.6148,0.6837,0.6776,0.651,0.6272,0.6803
"BR+-SVMt",0.6648,0.6913,0.6292,0.6904,0.6191,0.7001,0.6786,0.6971,0.6158,0.6892
"BR+-XGB",0.6535,0.6559,0.6719,0.6496,0.6725,0.708,0.6352,0.6496,0.682,0.6881
"CC-C5.0",0.6277,0.6803,0.6283,0.6257,0.6653,0.671,0.6589,0.7244,0.7686,0.7021
"CC-LR",0.6894,0.6892,0.6129,0.6139,0.6186,0.674,0.6222,0.64,0.677,0.6859
