"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0085,0.0084,0.0083,0.0086,0.0084,0.0085,0.0084,0.0085,0.0085,0.0084
"baselineHL",0.0038,0.0037,0.0037,0.0038,0.0037,0.0038,0.0037,0.0038,0.0038,0.0037
"baselineRL",0.0038,0.0037,0.0037,0.0038,0.0037,0.0038,0.0037,0.0038,0.0038,0.0037
"baselineSA",0.0038,0.0037,0.0037,0.0038,0.0037,0.0038,0.0037,0.0038,0.0038,0.0037
"BR-C5.0",0.1509,0.1732,0.1687,0.1429,0.1329,0.125,0.1399,0.1288,0.1392,0.1444
"BR-LR",0.1558,0.163,0.2359,0.1613,0.2067,0.1837,0.1781,0.1466,0.2391,0.1786
"BR-RF",0.2048,0.1888,0.1715,0.1872,0.1848,0.2042,0.2011,0.2362,0.2055,0.1797
"BR-SVM",0.1712,0.1972,0.1882,0.2065,0.1807,0.1641,0.1756,0.1844,0.2412,0.1613
"BR-SVMt",0.2062,0.1988,0.1976,0.1865,0.1575,0.1971,0.1742,0.188,0.2429,0.1634
"BR-XGB",0.265,0.2043,0.1857,0.1995,0.1769,0.1769,0.2129,0.1982,0.2111,0.1969
"BR+-C5.0",0.1421,0.1608,0.1942,0.1697,0.1238,0.1264,0.1301,0.1168,0.1551,0.1311
"BR+-LR",0.2058,0.2173,0.2036,0.1355,0.2153,0.2071,0.2078,0.1438,0.218,0.1904
"BR+-RF",0.187,0.2009,0.1713,0.2003,0.1764,0.1952,0.204,0.2123,0.2097,0.1777
"BR+-SVM",0.1708,0.1841,0.2154,0.2249,0.2158,0.1879,0.187,0.1558,0.2539,0.148
"BR+-SVMt",0.16,0.1758,0.2184,0.1844,0.181,0.228,0.2232,0.1436,0.2022,0.1414
"BR+-XGB",0.2156,0.1869,0.1816,0.208,0.1806,0.2172,0.2239,0.2252,0.2199,0.1982
"CC-C5.0",0.1466,0.1573,0.1927,0.1465,0.1318,0.1197,0.1325,0.1269,0.1457,0.1373
"CC-LR",0.168,0.2025,0.201,0.1849,0.2036,0.1698,0.1842,0.1413,0.1931,0.1716
"CC-RF",0.1512,0.1769,0.1672,0.1957,0.1816,0.2098,0.2446,0.2047,0.2204,0.2093
"CC-SVM",0.1695,0.1861,0.1985,0.2239,0.204,0.1622,0.1873,0.1806,0.2327,0.1532
"CC-SVMt",0.1161,0.1859,0.1988,0.1941,0.2072,0.1975,0.2029,0.1918,0.2162,0.168
"CC-XGB",0.2409,0.238,0.1823,0.1728,0.1837,0.2205,0.195,0.2144,0.1983,0.2083
"DBR-C5.0",0.1466,0.1597,0.1862,0.17,0.1249,0.1251,0.13,0.1247,0.1573,0.1314
"DBR-LR",0.1974,0.1512,0.2545,0.1789,0.2307,0.2009,0.1825,0.1465,0.2193,0.1574
"DBR-RF",0.1878,0.2013,0.1694,0.1995,0.1772,0.1953,0.2037,0.2079,0.2147,0.1781
"DBR-SVM",0.1718,0.1845,0.2141,0.2249,0.2155,0.1856,0.1864,0.1561,0.2585,0.1488
"DBR-SVMt",0.1458,0.1698,0.1547,0.1686,0.1878,0.1889,0.1947,0.1859,0.2182,0.1611
"DBR-XGB",0.202,0.1858,0.1732,0.2086,0.1811,0.2185,0.2236,0.2034,0.2242,0.2007
"EBR-C5.0",0.144,0.2031,0.1781,0.141,0.1556,0.1846,0.1684,0.1586,0.167,0.1714
"EBR-LR",0.1313,0.1943,0.1792,0.1935,0.1817,0.1347,0.1882,0.1499,0.1156,0.1772
"EBR-RF",0.1747,0.1811,0.1859,0.1941,0.1801,0.1876,0.1967,0.2173,0.1969,0.1561
"EBR-SVM",0.2009,0.1597,0.195,0.2134,0.244,0.1827,0.1602,0.1697,0.165,0.1801
"EBR-SVMt",0.2023,0.2255,0.2278,0.1381,0.2257,0.1632,0.2259,0.2054,0.1602,0.2091
"EBR-XGB",0.2507,0.1965,0.2411,0.2154,0.1916,0.1912,0.2137,0.2375,0.2324,0.2516
"ECC-C5.0",0.1728,0.2006,0.1892,0.1759,0.1535,0.213,0.1681,0.2104,0.171,0.1441
"ECC-LR",0.1458,0.1624,0.1359,0.1743,0.1777,0.1594,0.1509,0.1389,0.1613,0.1628
"ECC-RF",0.1796,0.1872,0.1513,0.1933,0.1739,0.1871,0.1948,0.2366,0.1926,0.2109
"ECC-SVM",0.169,0.1953,0.2167,0.1938,0.2286,0.1749,0.1831,0.2151,0.2315,0.2033
"ECC-SVMt",0.1537,0.1868,0.2069,0.179,0.2155,0.1441,0.2333,0.179,0.1693,0.1397
"ECC-XGB",0.2159,0.1828,0.1759,0.2212,0.2309,0.2525,0.2451,0.1813,0.2489,0.2512
"MBR-C5.0",0.1478,0.1568,0.1634,0.1511,0.1307,0.1236,0.138,0.1158,0.1402,0.1491
"MBR-LR",0.217,0.1978,0.2093,0.1925,0.2353,0.1932,0.2308,0.1371,0.2385,0.177
"MBR-RF",0.2225,0.2069,0.1942,0.182,0.1707,0.193,0.232,0.1876,0.2046,0.1945
"MBR-SVM",0.1807,0.1856,0.1991,0.1784,0.2362,0.1934,0.2088,0.1577,0.224,0.232
"MBR-SVMt",0.1661,0.1609,0.1751,0.2292,0.2334,0.2099,0.2154,0.1895,0.2127,0.1959
"MBR-XGB",0.265,0.2043,0.1857,0.1995,0.1769,0.1769,0.2129,0.1982,0.2111,0.1969
"NS-C5.0",0.1359,0.1425,0.1494,0.1652,0.1496,0.1375,0.1324,0.1423,0.1593,0.1441
"NS-LR",0.2019,0.18,0.21,0.2084,0.2391,0.1803,0.1899,0.143,0.2121,0.1656
"NS-RF",0.187,0.1896,0.1891,0.1764,0.1776,0.1877,0.2102,0.2169,0.2043,0.1787
"NS-SVM",0.1686,0.1858,0.1901,0.2336,0.2088,0.164,0.1807,0.1775,0.2297,0.1465
"NS-SVMt",0.2037,0.1831,0.208,0.1919,0.1344,0.1991,0.1343,0.14,0.2606,0.1539
"NS-XGB",0.2434,0.2339,0.1821,0.1779,0.1834,0.2118,0.1897,0.212,0.1996,0.2081
"PruDent-C5.0",0.1509,0.1732,0.1687,0.1429,0.1329,0.125,0.1399,0.1288,0.1392,0.1444
"PruDent-LR",0.1688,0.2037,0.1789,0.1452,0.2304,0.2239,0.1918,0.1434,0.2365,0.1581
"PruDent-RF",0.1856,0.1952,0.1989,0.1556,0.1955,0.2097,0.1811,0.2033,0.2318,0.2074
"PruDent-SVM",0.191,0.2014,0.2263,0.1584,0.1749,0.1596,0.1946,0.1636,0.2278,0.1677
"PruDent-SVMt",0.1614,0.1484,0.2004,0.1711,0.1848,0.1734,0.1942,0.1502,0.2126,0.15
"PruDent-XGB",0.265,0.2043,0.1857,0.1995,0.1769,0.1769,0.2129,0.1982,0.2111,0.1969
"RDBR-C5.0",0.1461,0.1609,0.1743,0.1741,0.1223,0.121,0.1295,0.1471,0.1669,0.1326
"RDBR-LR",0.1692,0.198,0.2092,0.1425,0.1689,0.2155,0.1926,0.1573,0.2331,0.1787
"RDBR-RF",0.1924,0.1988,0.1734,0.2009,0.1753,0.1974,0.2097,0.2157,0.2115,0.178
"RDBR-SVM",0.1827,0.1872,0.2058,0.2256,0.2197,0.1905,0.1987,0.1635,0.2511,0.1485
"RDBR-SVMt",0.1654,0.1637,0.176,0.1532,0.2108,0.1886,0.187,0.1762,0.2231,0.1553
"RDBR-XGB",0.2195,0.1883,0.1838,0.2082,0.1853,0.2082,0.2234,0.2279,0.2139,0.2028
