"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0274,0.027,0.0269,0.0275,0.0213,0.0271,0.0268,0.0276,0.0269,0.0274
"baseline-HL",0.0142,0.0139,0.0139,0.0141,0.0141,0.0139,0.0138,0.0142,0.0139,0.0141
"baseline-RL",0.0142,0.0139,0.0139,0.0141,0.0141,0.0139,0.0138,0.0142,0.0139,0.0141
"baseline-SA",0.0142,0.0139,0.0139,0.0141,0.0141,0.0139,0.0138,0.0142,0.0139,0.0141
"BR-C5.0",0.7216,0.7899,0.7583,0.7087,0.7115,0.7182,0.762,0.7035,0.7623,0.7051
"BR+-C5.0",0.7214,0.7908,0.7548,0.7187,0.714,0.729,0.7704,0.7128,0.7665,0.7151
"CC-C5.0",0.7242,0.7909,0.7491,0.7149,0.7096,0.7249,0.7631,0.7192,0.7607,0.7191
"DBR-C5.0",0.7241,0.791,0.7575,0.717,0.7179,0.7294,0.7696,0.713,0.7664,0.7139
"EBR-C5.0",0.7854,0.767,0.7621,0.7826,0.7981,0.7566,0.7794,0.7308,0.7748,0.734
"ECC-C5.0",0.7804,0.7476,0.7577,0.7707,0.7765,0.7643,0.8121,0.734,0.7766,0.7938
"MBR-C5.0",0.7221,0.7736,0.7582,0.7098,0.7139,0.72,0.7666,0.7076,0.7607,0.7054
"NS-C5.0",0.7532,0.7885,0.7826,0.7212,0.7364,0.7374,0.7836,0.7413,0.7903,0.7655
"PruDent-C5.0",0.7216,0.7899,0.7583,0.7087,0.7115,0.7182,0.762,0.7035,0.7623,0.7051
"RDBR-C5.0",0.7223,0.7907,0.753,0.7187,0.714,0.729,0.7692,0.7128,0.7674,0.7151
"BR-LR",0.7989,0.716,0.7498,0.7059,0.7572,0.7154,0.7429,0.8097,0.7621,0.6988
"BR+-LR",0.8029,0.7301,0.7434,0.7195,0.7438,0.729,0.7424,0.8383,0.7586,0.7157
"CC-LR",0.7927,0.698,0.7499,0.7016,0.7379,0.7521,0.7645,0.813,0.812,0.7195
"DBR-LR",0.7758,0.7433,0.7577,0.6959,0.7086,0.7345,0.7231,0.7421,0.7906,0.7357
"EBR-LR",0.7405,0.6591,0.7676,0.6761,0.7141,0.6918,0.6858,0.6522,0.5676,0.6167
"ECC-LR",0.6839,0.6801,0.6698,0.601,0.7199,0.6851,0.6435,0.7022,0.714,0.68
"MBR-LR",0.7962,0.6744,0.7471,0.7415,0.7709,0.7173,0.7554,0.8011,0.7275,0.7338
"NS-LR",0.7299,0.6643,0.7415,0.7039,0.7118,0.7219,0.7221,0.7838,0.7852,0.7203
"PruDent-LR",0.7874,0.7175,0.7474,0.6834,0.7578,0.6949,0.7549,0.7581,0.75,0.7086
