"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0308,0.0311,0.0305,0.0314,0.031,0.0309,0.0313,0.0306,0.0308,0.0311
"baseline-HL",0.0065,0.0066,0.0065,0.0066,0.0066,0.0065,0.0066,0.0065,0.0065,0.0066
"baseline-RL",0.0065,0.0066,0.0182,0.0066,0.0066,0.0065,0.0066,0.0183,0.0065,0.0066
"baseline-SA",0.0059,0.006,0.0058,0.006,0.0059,0.0059,0.006,0.0059,0.0059,0.006
"BR-C5.0",0.1571,0.15,0.1368,0.1416,0.1503,0.1473,0.1544,0.1546,0.1477,0.1345
"BR+-C5.0",0.1355,0.115,0.1379,0.1473,0.1416,0.129,0.1318,0.1681,0.1328,0.1299
"CC-C5.0",0.1371,0.1198,0.1117,0.1466,0.1142,0.1255,0.145,0.1291,0.131,0.1184
"DBR-C5.0",0.1326,0.1115,0.1329,0.1371,0.15,0.1251,0.1287,0.1518,0.1318,0.1231
"EBR-C5.0",0.1717,0.1767,0.1618,0.1993,0.2205,0.2679,0.1668,0.19,0.2153,0.1642
"ECC-C5.0",0.1826,0.2009,0.1615,0.18,0.1871,0.1602,0.1789,0.1543,0.1952,0.1597
"MBR-C5.0",0.1443,0.14,0.1315,0.1351,0.1638,0.1394,0.1452,0.1507,0.1422,0.1353
"NS-C5.0",0.158,0.1205,0.1379,0.1294,0.1818,0.1468,0.1595,0.1647,0.1567,0.1482
"PruDent-C5.0",0.1578,0.1571,0.1374,0.1362,0.1619,0.1575,0.1639,0.1554,0.1493,0.1405
"RDBR-C5.0",0.141,0.1222,0.1338,0.1445,0.1351,0.1244,0.1367,0.1468,0.1326,0.1231
"BR-LR",0.2863,0.3889,0.3137,0.3148,0.3307,0.3487,0.3543,0.3827,0.3214,0.3394
"BR+-LR",0.3048,0.3727,0.3134,0.3076,0.3146,0.3221,0.3734,0.3539,0.335,0.3064
"CC-LR",0.2791,0.3901,0.33,0.3201,0.3097,0.3535,0.4112,0.3854,0.3074,0.3437
"DBR-LR",0.2952,0.3733,0.3373,0.3177,0.3199,0.3438,0.3787,0.3493,0.2989,0.3253
"EBR-LR",0.3346,0.3443,0.2633,0.254,0.3089,0.2608,0.2853,0.3538,0.2795,0.2834
"ECC-LR",0.3205,0.3663,0.2689,0.3083,0.284,0.3106,0.2856,0.2848,0.3108,0.3074
"MBR-LR",0.3031,0.3443,0.3382,0.2962,0.326,0.3425,0.3703,0.3947,0.308,0.3327
"NS-LR",0.3072,0.3499,0.2865,0.3471,0.3429,0.2968,0.4024,0.4092,0.0522,0.3442
"PruDent-LR",0.3064,0.383,0.3689,0.3402,0.324,0.327,0.3466,0.4273,0.3254,0.3601
"RDBR-LR",0.305,0.3709,0.3085,0.279,0.3024,0.3447,0.3463,0.3335,0.3061,0.3296
"BR-RF",0.2791,0.2745,0.2766,0.2826,0.2679,0.2027,0.2855,0.2555,0.232,0.2486
"BR+-RF",0.3049,0.2942,0.2823,0.3082,0.2754,0.2059,0.3244,0.279,0.2287,0.2527
"CC-RF",0.2388,0.2853,0.2372,0.2631,0.2568,0.1808,0.2525,0.2336,0.2183,0.2398
"DBR-RF",0.3032,0.3083,0.2473,0.3031,0.2686,0.2166,0.2796,0.2519,0.2261,0.2762
"EBR-RF",0.2265,0.2738,0.2149,0.2594,0.2359,0.2018,0.2513,0.2466,0.2774,0.2357
"ECC-RF",0.259,0.2527,0.193,0.251,0.318,0.2007,0.2425,0.3229,0.2264,0.2465
"MBR-RF",0.2752,0.2755,0.2406,0.2844,0.3083,0.1939,0.2523,0.2717,0.2357,0.2342
"NS-RF",0.2543,0.2853,0.2372,0.2631,0.2708,0.1811,0.2525,0.2336,0.2463,0.2398
"PruDent-RF",0.286,0.2831,0.2864,0.2901,0.3461,0.2172,0.2593,0.2677,0.2483,0.2729
"RDBR-RF",0.3109,0.3107,0.2341,0.2944,0.2882,0.2017,0.2674,0.2697,0.2352,0.3228
"BR-SVM",0.3369,0.3864,0.3461,0.32,0.3434,0.3842,0.3778,0.3939,0.3198,0.3666
"BR+-SVM",0.289,0.3773,0.3158,0.3042,0.3067,0.3475,0.3732,0.3355,0.3049,0.3091
"CC-SVM",0.3223,0.3886,0.3043,0.332,0.3401,0.3591,0.3627,0.3763,0.327,0.3248
"DBR-SVM",0.2899,0.3816,0.3182,0.3008,0.3068,0.3625,0.3912,0.3247,0.3065,0.3157
"EBR-SVM",0.2825,0.3009,0.2759,0.3189,0.3005,0.2871,0.3255,0.3371,0.3023,0.3282
"ECC-SVM",0.3271,0.3248,0.2895,0.3314,0.3525,0.325,0.3206,0.3217,0.3065,0.3311
"MBR-SVM",0.3034,0.3438,0.3546,0.3077,0.309,0.3306,0.3584,0.4053,0.3306,0.318
"NS-SVM",0.3081,0.0312,0.3003,0.3793,0.3432,0.343,0.3821,0.3913,0.3142,0.3866
"PruDent-SVM",0.2901,0.3601,0.3649,0.3127,0.3325,0.3508,0.3446,0.3855,0.2992,0.3133
"RDBR-SVM",0.3308,0.3664,0.3101,0.2788,0.3262,0.3312,0.341,0.3453,0.3101,0.3067
"BR-SVMt",0.3239,0.3496,0.3562,0.3268,0.2525,0.3664,0.3651,0.408,0.2843,0.3201
"BR+-SVMt",0.3194,0.3839,0.3106,0.3236,0.4,0.3774,0.3683,0.3376,0.3246,0.3109
"CC-SVMt",0.3035,0.3252,0.305,0.3401,0.306,0.4015,0.3579,0.3953,0.3353,0.3295
"DBR-SVMt",0.2891,0.3861,0.3382,0.3206,0.4195,0.3747,0.3956,0.3507,0.2856,0.392
"EBR-SVMt",0.2469,0.2498,0.2401,0.2917,0.1948,0.2199,0.2341,0.2495,0.2207,0.2021
"ECC-SVMt",0.1997,0.2195,0.304,0.2037,0.2444,0.3255,0.2396,0.3345,0.1989,0.1864
"MBR-SVMt",0.3086,0.3668,0.3691,0.3241,0.3662,0.3478,0.3633,0.3625,0.3273,0.3817
"NS-SVMt",0.3167,0.3191,0.2898,0.0505,0.3797,0.0406,0.0417,0.394,0.0416,0.333
"PruDent-SVMt",0.3458,0.3873,0.3124,0.2884,0.3874,0.2948,0.3313,0.3993,0.3192,0.2975
"RDBR-SVMt",0.2727,0.3856,0.3628,0.2902,0.3519,0.2857,0.34,0.3263,0.3131,0.2941
"BR-XGB",0.2736,0.2843,0.2876,0.3112,0.3138,0.2363,0.2526,0.3471,0.2796,0.2424
"BR+-XGB",0.2312,0.2716,0.2364,0.2928,0.3268,0.2464,0.2646,0.3836,0.2759,0.2323
"CC-XGB",0.2511,0.3143,0.2778,0.3184,0.3214,0.2564,0.2621,0.3443,0.2867,0.2476
"DBR-XGB",0.239,0.2554,0.239,0.2794,0.3275,0.2368,0.2859,0.3948,0.2958,0.2247
"EBR-XGB",0.2309,0.307,0.2233,0.2841,0.2923,0.2668,0.2308,0.2931,0.2638,0.2551
"ECC-XGB",0.2557,0.2584,0.2621,0.2765,0.3044,0.2852,0.2629,0.328,0.2775,0.2726
"MBR-XGB",0.2736,0.2843,0.2876,0.3112,0.3138,0.2363,0.2526,0.3471,0.2796,0.2424
"NS-XGB",0.251,0.3144,0.2761,0.3218,0.3222,0.2568,0.2624,0.3337,0.2848,0.2464
"PruDent-XGB",0.2471,0.2782,0.3253,0.3022,0.2762,0.2565,0.2748,0.3175,0.2753,0.2509
"RDBR-XGB",0.2289,0.2899,0.2319,0.2949,0.368,0.2296,0.2711,0.3442,0.2564,0.2387
