"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0286,0.0284,0.0285,0.0285,0.0286,0.0284,0.0285,0.0286,0.0284,0.0286
"baseline-HL",0.0124,0.0123,0.0123,0.0123,0.0124,0.0123,0.0123,0.0124,0.0123,0.0124
"baseline-RL",0.0124,0.0123,0.0123,0.0123,0.0124,0.0123,0.0123,0.0124,0.0123,0.0124
"baseline-SA",0.008,0.0079,0.008,0.008,0.008,0.0079,0.0079,0.008,0.0079,0.008
"BR-C5.0",0.4461,0.4918,0.465,0.4578,0.4812,0.4656,0.4445,0.4628,0.4982,0.4647
"BR+-C5.0",0.4712,0.4926,0.4796,0.4684,0.4584,0.4906,0.4651,0.4797,0.4815,0.5097
"CC-C5.0",0.4666,0.4875,0.4788,0.475,0.4775,0.4862,0.4401,0.4801,0.4968,0.4672
"DBR-C5.0",0.4641,0.4879,0.4805,0.4675,0.4765,0.4904,0.4644,0.48,0.4996,0.5112
"EBR-C5.0",0.5322,0.5121,0.5251,0.5017,0.5088,0.5065,0.516,0.4943,0.5237,0.5019
"ECC-C5.0",0.5119,0.5012,0.5229,0.5039,0.4973,0.505,0.5026,0.5021,0.5342,0.5287
"MBR-C5.0",0.4438,0.4747,0.4665,0.4497,0.475,0.4616,0.4432,0.4432,0.4727,0.4685
"NS-C5.0",0.4474,0.4985,0.4692,0.4597,0.4883,0.4719,0.4466,0.5027,0.4855,0.4813
"PruDent-C5.0",0.4461,0.4918,0.465,0.4578,0.4812,0.4656,0.4445,0.4628,0.4982,0.4647
"RDBR-C5.0",0.4661,0.4969,0.4787,0.4702,0.4647,0.4903,0.4646,0.4797,0.4819,0.4681
"BR-LR",0.6454,0.6054,0.6297,0.602,0.6353,0.6175,0.6226,0.6163,0.6206,0.6184
"BR+-LR",0.621,0.6099,0.633,0.6023,0.6331,0.6128,0.627,0.6152,0.6223,0.6162
"CC-LR",0.6394,0.6076,0.6337,0.5963,0.6373,0.6134,0.6227,0.6265,0.6176,0.61
"DBR-LR",0.6379,0.6167,0.6338,0.6033,0.6303,0.6144,0.6056,0.6137,0.6234,0.6187
"EBR-LR",0.5593,0.5442,0.5331,0.5325,0.5666,0.5294,0.5633,0.5374,0.5251,0.5329
"ECC-LR",0.5456,0.5682,0.5232,0.526,0.535,0.5153,0.5567,0.5348,0.5252,0.5725
"MBR-LR",0.6093,0.5945,0.6269,0.5885,0.6355,0.5962,0.5929,0.6069,0.6194,0.5998
"NS-LR",0.6393,0.6208,0.6282,0.6052,0.6255,0.6168,0.6251,0.6186,0.6229,0.6144
"PruDent-LR",0.6307,0.6014,0.6313,0.5948,0.6356,0.6048,0.6217,0.6028,0.619,0.604
"RDBR-LR",0.6404,0.6078,0.6355,0.6021,0.6352,0.612,0.6245,0.6123,0.6207,0.6138
"BR-RF",0.625,0.577,0.5744,0.586,0.5911,0.5779,0.5797,0.5911,0.5792,0.6131
"BR+-RF",0.5805,0.5819,0.5932,0.6269,0.5915,0.5912,0.589,0.595,0.5387,0.5782
"CC-RF",0.6333,0.5325,0.543,0.6292,0.586,0.6271,0.5831,0.6364,0.582,0.5888
"DBR-RF",0.578,0.5864,0.5471,0.6048,0.5932,0.6348,0.5491,0.5985,0.5896,0.6126
"EBR-RF",0.5499,0.5721,0.5616,0.6181,0.5963,0.5849,0.5651,0.5699,0.6381,0.5669
"ECC-RF",0.5858,0.5714,0.5846,0.536,0.5557,0.5697,0.549,0.5629,0.5632,0.5456
"MBR-RF",0.6287,0.6269,0.5879,0.6374,0.6522,0.5615,0.5374,0.6172,0.5593,0.5823
"NS-RF",0.6419,0.5833,0.5902,0.6291,0.592,0.6279,0.5644,0.5985,0.5751,0.6255
"PruDent-RF",0.5901,0.6025,0.5422,0.6123,0.5822,0.6189,0.5874,0.5903,0.6155,0.6327
"RDBR-RF",0.5941,0.5416,0.5837,0.6544,0.6397,0.6304,0.5836,0.5696,0.6233,0.5863
"BR-SVM",0.6407,0.6181,0.6349,0.5959,0.6299,0.6139,0.6186,0.6141,0.5808,0.6157
"BR+-SVM",0.6409,0.6178,0.6312,0.5986,0.6328,0.6071,0.5931,0.61,0.6268,0.617
"CC-SVM",0.6384,0.6171,0.6302,0.5986,0.6318,0.6096,0.6281,0.6111,0.6221,0.6134
"DBR-SVM",0.641,0.6079,0.6306,0.6042,0.6301,0.6182,0.6213,0.6165,0.6265,0.6081
"EBR-SVM",0.5547,0.5364,0.5755,0.5361,0.5245,0.5288,0.538,0.5598,0.5393,0.5315
"ECC-SVM",0.5297,0.5238,0.5503,0.5415,0.5537,0.5345,0.5293,0.536,0.5456,0.536
"MBR-SVM",0.5963,0.5858,0.5933,0.585,0.5868,0.5877,0.5809,0.5977,0.6167,0.5943
"NS-SVM",0.6423,0.6078,0.6317,0.602,0.629,0.616,0.623,0.6194,0.6229,0.6241
"PruDent-SVM",0.6174,0.6178,0.6311,0.5965,0.6287,0.6117,0.6228,0.6179,0.6235,0.6045
"RDBR-SVM",0.6395,0.6121,0.6342,0.6054,0.6339,0.6094,0.5987,0.6198,0.6211,0.6139
"BR-SVMt",0.6394,0.6508,0.6473,0.6155,0.6321,0.6493,0.6221,0.6573,0.6172,0.6345
"BR+-SVMt",0.6407,0.6491,0.6489,0.6095,0.5883,0.6455,0.6222,0.6548,0.6213,0.6102
"CC-SVMt",0.6007,0.6424,0.6476,0.6158,0.6377,0.6351,0.6262,0.6371,0.6213,0.6379
"DBR-SVMt",0.638,0.6446,0.641,0.6132,0.6318,0.6487,0.599,0.62,0.6239,0.6307
"EBR-SVMt",0.5221,0.5216,0.5435,0.5162,0.5231,0.5112,0.537,0.5217,0.5199,0.5154
"ECC-SVMt",0.5283,0.518,0.5198,0.5249,0.522,0.5216,0.5103,0.5265,0.5187,0.5176
"MBR-SVMt",0.6292,0.6045,0.6294,0.6059,0.628,0.6153,0.6031,0.6206,0.6128,0.6009
"NS-SVMt",0.6387,0.6516,0.6428,0.628,0.6294,0.6527,0.6185,0.6452,0.6169,0.6248
"PruDent-SVMt",0.6314,0.6408,0.6059,0.6084,0.5941,0.6455,0.5769,0.6282,0.6338,0.6379
"RDBR-SVMt",0.6417,0.6295,0.6416,0.609,0.5955,0.6483,0.5776,0.6538,0.6272,0.6082
"BR-XGB",0.5916,0.5586,0.5621,0.5766,0.6082,0.5706,0.5704,0.5858,0.5705,0.5837
"BR+-XGB",0.6029,0.5627,0.5569,0.5704,0.5774,0.5859,0.5592,0.5739,0.556,0.5728
"CC-XGB",0.5609,0.56,0.5602,0.5631,0.5499,0.5787,0.5587,0.5779,0.5603,0.5817
"DBR-XGB",0.5988,0.5688,0.559,0.5684,0.5759,0.5818,0.5609,0.5712,0.5521,0.5697
"EBR-XGB",0.5463,0.5664,0.5508,0.5518,0.5417,0.5612,0.5403,0.5778,0.5567,0.5473
"ECC-XGB",0.5443,0.5535,0.5717,0.5585,0.5316,0.5533,0.5355,0.5727,0.5637,0.5534
"MBR-XGB",0.591,0.5576,0.5613,0.5754,0.6067,0.5693,0.5694,0.5848,0.5694,0.5827
"NS-XGB",0.5444,0.5673,0.5604,0.5586,0.5583,0.5636,0.5545,0.5762,0.5477,0.5767
"PruDent-XGB",0.5916,0.5586,0.5621,0.5766,0.6082,0.5706,0.5704,0.5858,0.5705,0.5837
"RDBR-XGB",0.6055,0.5536,0.5648,0.5592,0.5746,0.5686,0.5484,0.5635,0.5549,0.574
