"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.1793,0.1787,0.1793,0.1787,0.1793,0.1787,0.1793,0.1787,0.1793,0.1787
"baselineHL",0.037,0.0368,0.037,0.0368,0.037,0.0368,0.037,0.0368,0.037,0.0368
"baselineRL",0.037,0.0368,0.037,0.0368,0.037,0.0368,0.037,0.0368,0.037,0.0368
"baselineSA",0.037,0.0298,0.037,0.0298,0.037,0.0298,0.037,0.0298,0.037,0.0298
"BR-C5.0",0.6113,0.6179,0.6113,0.6179,0.6113,0.6179,0.6113,0.6179,0.6113,0.6179
"BR-LR",0.7918,0.804,0.7908,0.802,0.793,0.8041,0.7927,0.8028,0.7936,0.8031
"BR-RF",0.8142,0.8116,0.8142,0.8116,0.8142,0.8116,0.8142,0.8116,0.8142,0.8116
"BR-SVM",0.7925,0.8029,0.7925,0.8029,0.7925,0.8029,0.7925,0.8029,0.7925,0.8029
"BR-SVMt",0.7991,0.8054,0.7991,0.8054,0.7991,0.8054,0.7991,0.8054,0.7991,0.8054
"BR-XGB",0.7852,0.8067,0.7852,0.8067,0.7852,0.8067,0.7852,0.8067,0.7852,0.8067
"BR+-C5.0",0.6471,0.6183,0.6471,0.6183,0.6471,0.6183,0.6471,0.6183,0.6471,0.6183
"BR+-LR",0.7947,0.8091,0.7945,0.8093,0.7947,0.8081,0.7969,0.8069,0.795,0.8093
"BR+-RF",0.8118,0.82,0.8118,0.82,0.8118,0.82,0.8118,0.82,0.8118,0.82
"BR+-SVM",0.7948,0.8068,0.7948,0.8068,0.7948,0.8068,0.7948,0.8068,0.7948,0.8068
"BR+-SVMt",0.8017,0.7999,0.8017,0.7999,0.8088,0.7999,0.8017,0.8128,0.8017,0.8128
"BR+-XGB",0.7989,0.8146,0.7989,0.8146,0.7989,0.8146,0.7989,0.8146,0.7989,0.8146
"CC-C5.0",0.6538,0.6185,0.6538,0.6185,0.6538,0.6185,0.6538,0.6185,0.6538,0.6185
"CC-LR",0.7943,0.8046,0.7958,0.8065,0.7914,0.8061,0.7951,0.805,0.7929,0.8074
"CC-RF",0.81,0.8148,0.81,0.8148,0.81,0.8148,0.81,0.8148,0.81,0.8148
"CC-SVM",0.7932,0.8074,0.7932,0.8074,0.7932,0.8074,0.7932,0.8074,0.7932,0.8074
"CC-SVMt",0.7973,0.8122,0.7973,0.8122,0.7973,0.8122,0.7973,0.8122,0.7973,0.8122
"CC-XGB",0.7974,0.8112,0.7974,0.8112,0.7974,0.8112,0.7974,0.8112,0.7974,0.8112
"DBR-C5.0",0.6146,0.6004,0.6146,0.6004,0.6146,0.6004,0.6146,0.6004,0.6146,0.6004
"DBR-LR",0.7912,0.805,0.7958,0.8057,0.7938,0.8072,0.7951,0.8048,0.7943,0.8041
"DBR-RF",0.8163,0.8127,0.8163,0.8127,0.8163,0.8127,0.8163,0.8127,0.8163,0.8127
