"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0382,0.0378,0.0377,0.0383,0.0381,0.0379,0.0377,0.0383,0.0379,0.0381
"baseline-HL",0.0086,0.0086,0.0085,0.0087,0.0086,0.0086,0.0085,0.0086,0.0086,0.0086
"baseline-RL",0.0086,0.0086,0.0085,0.0087,0.0086,0.0086,0.0085,0.0086,0.0086,0.0086
"baseline-SA",0.0086,0.0086,0.0085,0.0087,0.0086,0.0086,0.0085,0.0086,0.0086,0.0086
"BR-C5.0",0.3396,0.3948,0.357,0.2925,0.3698,0.3355,0.3783,0.3095,0.3418,0.3121
"BR+-C5.0",0.3905,0.4063,0.4142,0.2972,0.3893,0.3296,0.3568,0.3491,0.3496,0.3628
"CC-C5.0",0.4182,0.4007,0.4032,0.3286,0.3758,0.3667,0.3639,0.4114,0.3536,0.4241
"DBR-C5.0",0.3374,0.4002,0.3838,0.2992,0.3911,0.3283,0.3925,0.3079,0.3463,0.3053
"EBR-C5.0",0.4039,0.4294,0.4865,0.4148,0.4341,0.4892,0.4345,0.5059,0.4615,0.3843
"ECC-C5.0",0.3583,0.4188,0.4418,0.4628,0.4967,0.483,0.3962,0.4038,0.4706,0.3916
"MBR-C5.0",0.3398,0.3268,0.3291,0.2796,0.3707,0.3097,0.341,0.2828,0.3387,0.3032
"NS-C5.0",0.3405,0.3775,0.3619,0.2917,0.3642,0.3379,0.3727,0.314,0.3434,0.3112
"PruDent-C5.0",0.3396,0.3948,0.357,0.2925,0.3698,0.3355,0.3783,0.3095,0.3418,0.3121
"RDBR-C5.0",0.3752,0.3999,0.4137,0.2844,0.3884,0.3199,0.363,0.3522,0.3237,0.354
"BR-LR",0.5123,0.5257,0.5392,0.4841,0.4941,0.5293,0.5083,0.5264,0.5331,0.467
"BR+-LR",0.5572,0.495,0.4785,0.5339,0.5436,0.5333,0.4865,0.5633,0.5299,0.5347
"CC-LR",0.5383,0.5026,0.5406,0.5237,0.5816,0.5277,0.4957,0.5873,0.5322,0.5032
"DBR-LR",0.559,0.4619,0.4933,0.556,0.5142,0.5209,0.5894,0.531,0.5306,0.4734
"EBR-LR",0.4982,0.4868,0.4594,0.4668,0.4653,0.5525,0.5016,0.489,0.4359,0.4935
"ECC-LR",0.4428,0.49,0.484,0.4344,0.5191,0.4772,0.4483,0.546,0.4534,0.4371
"MBR-LR",0.5507,0.4694,0.5415,0.4901,0.5665,0.5185,0.5626,0.5278,0.5379,0.4729
"NS-LR",0.4884,0.502,0.5402,0.502,0.542,0.4952,0.4962,0.5236,0.5301,0.4759
"PruDent-LR",0.5668,0.4704,0.5342,0.5414,0.6032,0.5176,0.4849,0.5245,0.5317,0.5342
"RDBR-LR",0.5089,0.4995,0.4853,0.4955,0.509,0.5256,0.493,0.5417,0.5361,0.471
"BR-RF",0.4854,0.4844,0.5151,0.4704,0.5154,0.5883,0.552,0.5404,0.4906,0.4566
"BR+-RF",0.4819,0.5283,0.5072,0.4637,0.4818,0.6167,0.601,0.4844,0.5256,0.4929
"CC-RF",0.4775,0.5333,0.5159,0.4819,0.522,0.535,0.5751,0.5531,0.5322,0.4611
"DBR-RF",0.4793,0.5207,0.4944,0.4594,0.5147,0.5663,0.5897,0.4965,0.518,0.4739
"EBR-RF",0.4558,0.4606,0.4899,0.455,0.4814,0.5208,0.5088,0.4677,0.4457,0.4502
