"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0063,0.0062,0.0075,0.0063,0.0062,0.0063,0.0062,0.0063,0.0063,0.0062
"baseline-HL",0.0034,0.0033,0.0034,0.0034,0.0033,0.0034,0.0033,0.0034,0.0034,0.0034
"baseline-RL",0.0034,0.0033,0.0034,0.0034,0.0033,0.0034,0.0033,0.0034,0.0034,0.0034
"baseline-SA",0.0034,0.0033,0.0034,0.0034,0.0033,0.0034,0.0033,0.0034,0.0034,0.0034
"BR-C5.0",0.19,0.1819,0.1519,0.1877,0.1996,0.2082,0.1624,0.1893,0.1974,0.1772
"BR+-C5.0",0.1876,0.1758,0.1718,0.1773,0.1712,0.1817,0.1855,0.1591,0.1703,0.1828
"CC-C5.0",0.1992,0.1522,0.1444,0.1944,0.1698,0.1845,0.1626,0.1856,0.1972,0.1649
"DBR-C5.0",0.1797,0.1754,0.1697,0.1745,0.1694,0.176,0.1877,0.1582,0.1743,0.1795
"EBR-C5.0",0.249,0.2326,0.243,0.2459,0.269,0.2515,0.2877,0.237,0.214,0.2518
"ECC-C5.0",0.2272,0.2392,0.2598,0.2279,0.2677,0.2376,0.3138,0.2385,0.2253,0.2748
"MBR-C5.0",0.1953,0.1688,0.1317,0.195,0.1775,0.1985,0.1551,0.1924,0.1986,0.1741
"NS-C5.0",0.2026,0.1853,0.166,0.2089,0.1873,0.2032,0.1764,0.1797,0.1831,0.1978
"PruDent-C5.0",0.19,0.1819,0.1519,0.1877,0.1996,0.2082,0.1624,0.1893,0.1974,0.1772
"RDBR-C5.0",0.1743,0.1827,0.1497,0.1659,0.1607,0.1658,0.1603,0.1625,0.1619,0.1759
"BR-LR",0.3353,0.3149,0.3171,0.2711,0.3082,0.2504,0.2955,0.3196,0.3228,0.2884
"BR+-LR",0.2975,0.2944,0.3457,0.2814,0.3181,0.2986,0.3376,0.2971,0.3368,0.3269
"CC-LR",0.2872,0.3009,0.3302,0.255,0.2847,0.2916,0.2767,0.3288,0.3501,0.3238
"DBR-LR",0.3077,0.3023,0.3255,0.2665,0.2866,0.2742,0.2848,0.3362,0.3328,0.2896
"EBR-LR",0.2735,0.3236,0.2671,0.2415,0.2024,0.2608,0.2605,0.2971,0.2568,0.2482
"ECC-LR",0.224,0.3318,0.3186,0.2572,0.2856,0.2642,0.2786,0.2439,0.2836,0.2684
"MBR-LR",0.3068,0.3536,0.3758,0.3191,0.3237,0.3338,0.3464,0.364,0.3587,0.3726
"NS-LR",0.3063,0.3112,0.3578,0.2781,0.2781,0.3309,0.3466,0.3292,0.3297,0.3419
"PruDent-LR",0.3307,0.3181,0.3524,0.2758,0.3147,0.2867,0.3534,0.3333,0.3278,0.329
"RDBR-LR",0.3176,0.2905,0.3437,0.3166,0.296,0.2966,0.3138,0.3195,0.3592,0.3314
"BR-RF",0.2777,0.2344,0.2,0.1995,0.2098,0.1901,0.2667,0.1873,0.1893,0.2254
"BR+-RF",0.2581,0.2253,0.2237,0.2442,0.2075,0.2107,0.2693,0.202,0.1907,0.2275
"CC-RF",0.2393,0.1872,0.2041,0.2167,0.2097,0.2216,0.238,0.2122,0.2088,0.194
