"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.2024,0.2032,0.2026,0.203,0.2028,0.2028,0.2025,0.2031,0.2034,0.2023
"baseline-HL",0.0735,0.0737,0.0735,0.0737,0.0736,0.0736,0.0735,0.0737,0.0738,0.0734
"baseline-RL",0.0735,0.0737,0.0735,0.0737,0.0736,0.0736,0.0735,0.0737,0.0738,0.0734
"baseline-SA",0.108,0.1084,0.108,0.1083,0.1082,0.1082,0.108,0.1083,0.1085,0.1079
"BR-C5.0",0.6481,0.6592,0.6351,0.6551,0.6515,0.659,0.6419,0.6473,0.6618,0.6421
"BR+-C5.0",0.6261,0.63,0.6265,0.6303,0.6335,0.6369,0.6427,0.6331,0.6384,0.6278
"CC-C5.0",0.6272,0.629,0.6176,0.6454,0.6356,0.6568,0.6323,0.6479,0.6442,0.6311
"DBR-C5.0",0.6109,0.6103,0.6059,0.6128,0.6124,0.6097,0.625,0.6178,0.6172,0.6076
"EBR-C5.0",0.7202,0.7225,0.7226,0.7081,0.7076,0.7165,0.7165,0.7244,0.7167,0.7067
"ECC-C5.0",0.7285,0.7351,0.7286,0.724,0.73,0.7299,0.714,0.7319,0.7183,0.7114
"MBR-C5.0",0.6675,0.6651,0.6425,0.6594,0.6557,0.6713,0.6574,0.6541,0.6697,0.6463
"NS-C5.0",0.6506,0.6642,0.6391,0.6636,0.6634,0.6698,0.6555,0.6572,0.6626,0.6495
"PruDent-C5.0",0.6465,0.6601,0.6436,0.6506,0.6614,0.6748,0.6557,0.6561,0.6684,0.655
"RDBR-C5.0",0.6323,0.636,0.6159,0.6237,0.6231,0.6198,0.6237,0.6331,0.6243,0.6223
"BR-LR",0.6831,0.6759,0.6815,0.6603,0.6657,0.6801,0.6613,0.6749,0.6769,0.6724
"BR+-LR",0.6253,0.6264,0.6336,0.6165,0.612,0.6377,0.6144,0.6323,0.6338,0.6186
"CC-LR",0.6356,0.6249,0.6417,0.617,0.6187,0.6394,0.6147,0.636,0.6322,0.6275
"DBR-LR",0.6109,0.6058,0.612,0.5998,0.5904,0.6222,0.5893,0.616,0.6098,0.6031
"EBR-LR",0.6078,0.6062,0.6206,0.6014,0.6421,0.6469,0.6377,0.6134,0.6189,0.6561
"ECC-LR",0.6148,0.6038,0.6109,0.5933,0.5855,0.626,0.6057,0.6201,0.6098,0.6114
"MBR-LR",0.6834,0.6724,0.6827,0.6612,0.6638,0.6824,0.6609,0.6763,0.6806,0.6746
"NS-LR",0.6793,0.6689,0.6807,0.6641,0.6641,0.6826,0.6653,0.6791,0.6812,0.6752
"PruDent-LR",0.6822,0.6771,0.684,0.6603,0.6606,0.6838,0.661,0.6735,0.6785,0.6744
"RDBR-LR",0.6325,0.6276,0.6376,0.6095,0.6173,0.6394,0.6178,0.6309,0.6315,0.6259
"BR-RF",0.8838,0.8829,0.8913,0.8724,0.8799,0.8837,0.8847,0.8767,0.881,0.8833
"BR+-RF",0.8658,0.8634,0.8675,0.8537,0.864,0.8638,0.8651,0.8606,0.8619,0.8603
"CC-RF",0.8627,0.866,0.8734,0.8585,0.8617,0.8676,0.8643,0.8651,0.8663,0.8637
"DBR-RF",0.8652,0.8622,0.8673,0.8529,0.8637,0.8632,0.8655,0.8602,0.8626,0.8595
"EBR-RF",0.8081,0.8077,0.808,0.8012,0.8022,0.8069,0.803,0.8026,0.8035,0.806
"ECC-RF",0.7525,0.8083,0.7646,0.807,0.7957,0.8099,0.7565,0.8062,0.8079,0.7639
"MBR-RF",0.8847,0.8824,0.89,0.8683,0.8802,0.8849,0.8858,0.8795,0.8813,0.8825
"NS-RF",0.8686,0.8671,0.8792,0.8626,0.8621,0.8669,0.8644,0.8667,0.8706,0.8648
"PruDent-RF",0.8833,0.8808,0.8879,0.8724,0.879,0.8812,0.8848,0.8798,0.8774,0.8817
"RDBR-RF",0.8655,0.8611,0.8653,0.8518,0.862,0.8632,0.8626,0.8585,0.8619,0.8606
"BR-SVM",0.6801,0.6751,0.683,0.6615,0.6643,0.6826,0.6644,0.6752,0.6793,0.6762
"BR+-SVM",0.6255,0.6267,0.6343,0.6155,0.6115,0.6405,0.6141,0.6322,0.6287,0.6166
"CC-SVM",0.6358,0.6298,0.6424,0.6164,0.6183,0.6396,0.6166,0.6365,0.6314,0.6266
"DBR-SVM",0.6114,0.6079,0.6103,0.5986,0.5906,0.6219,0.59,0.617,0.6072,0.6021
"EBR-SVM",0.6004,0.6277,0.6257,0.6119,0.6191,0.6094,0.5973,0.6288,0.6283,0.6016
"ECC-SVM",0.6037,0.6078,0.6033,0.598,0.6139,0.6099,0.595,0.6108,0.6297,0.6016
"MBR-SVM",0.6806,0.6746,0.6819,0.6619,0.6654,0.6825,0.6628,0.6747,0.6793,0.6717
"NS-SVM",0.6778,0.6694,0.6792,0.6613,0.6628,0.6805,0.6685,0.676,0.6794,0.6751
"PruDent-SVM",0.6734,0.6715,0.6776,0.6571,0.6569,0.6778,0.6572,0.6725,0.6767,0.6712
"RDBR-SVM",0.6331,0.6263,0.6327,0.6127,0.6137,0.6396,0.6111,0.6324,0.6294,0.6228
"BR-SVMt",0.8077,0.8066,0.7988,0.8003,0.805,0.8113,0.7966,0.8145,0.8051,0.7883
"BR+-SVMt",0.7647,0.7695,0.7572,0.754,0.7588,0.755,0.7591,0.7713,0.7661,0.7594
"CC-SVMt",0.776,0.7762,0.7821,0.7781,0.7631,0.7639,0.7756,0.7781,0.78,0.7726
"DBR-SVMt",0.7465,0.7478,0.7339,0.7418,0.7425,0.7261,0.7468,0.7508,0.7498,0.74
"EBR-SVMt",0.7229,0.7305,0.7344,0.7311,0.7212,0.7378,0.7173,0.7265,0.7302,0.7391
"ECC-SVMt",0.7086,0.7444,0.7453,0.7361,0.7227,0.7293,0.7353,0.7263,0.7369,0.74
"MBR-SVMt",0.8088,0.8072,0.8114,0.7893,0.8069,0.8169,0.8015,0.8001,0.8051,0.7997
"NS-SVMt",0.7846,0.7813,0.7756,0.7781,0.7674,0.7777,0.7789,0.7791,0.7851,0.7771
"PruDent-SVMt",0.8117,0.804,0.7981,0.8024,0.8025,0.8114,0.8001,0.7995,0.8006,0.8081
"RDBR-SVMt",0.7654,0.7757,0.7671,0.7554,0.7722,0.7851,0.7729,0.7822,0.7787,0.7746
"BR-XGB",0.7819,0.7937,0.7838,0.7778,0.7795,0.7914,0.7834,0.7844,0.7841,0.7918
"BR+-XGB",0.7454,0.7486,0.7427,0.7321,0.7426,0.7466,0.7318,0.7424,0.7535,0.7431
"CC-XGB",0.7638,0.76,0.7526,0.7628,0.7559,0.7707,0.7491,0.7678,0.7693,0.7613
"DBR-XGB",0.7242,0.7343,0.7254,0.7214,0.7248,0.7339,0.718,0.7268,0.7318,0.7314
"EBR-XGB",0.73,0.7424,0.7338,0.7679,0.7718,0.7458,0.7253,0.7385,0.7384,0.7349
"ECC-XGB",0.7526,0.7561,0.7478,0.7501,0.7567,0.7591,0.7418,0.7587,0.7607,0.7538
"MBR-XGB",0.789,0.8023,0.7946,0.7839,0.7895,0.7985,0.7923,0.7924,0.7907,0.8012
"NS-XGB",0.774,0.7704,0.761,0.7618,0.7681,0.7739,0.7623,0.7732,0.769,0.7771
"PruDent-XGB",0.7809,0.7925,0.7834,0.7802,0.7833,0.7898,0.7824,0.7857,0.786,0.7912
"RDBR-XGB",0.7602,0.7678,0.7563,0.752,0.7518,0.7647,0.751,0.7568,0.7615,0.7607
