"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",1,1,1,1,1,1,1,1,1,1
"baseline-HL",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"baseline-RL",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"baseline-SA",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"BR-C5.0",0.6005,0.5952,0.5884,0.5876,0.5984,0.5927,0.5926,0.5982,0.591,0.5819
"BR+-C5.0",0.5651,0.5723,0.5646,0.5664,0.5683,0.5522,0.5633,0.5681,0.5651,0.5517
"CC-C5.0",0.5879,0.5895,0.5893,0.5827,0.6021,0.5882,0.586,0.5248,0.5923,0.5766
"DBR-C5.0",0.5758,0.5819,0.5882,0.5756,0.589,0.5674,0.5856,0.5762,0.5907,0.5715
"EBR-C5.0",0.6759,0.6848,0.6881,0.6792,0.6786,0.6783,0.6828,0.6862,0.6799,0.6841
"ECC-C5.0",0.6702,0.6753,0.6617,0.6647,0.6704,0.6579,0.6781,0.6702,0.674,0.6653
"MBR-C5.0",0.5968,0.5967,0.5941,0.5856,0.6032,0.5952,0.6045,0.5989,0.5971,0.5847
"NS-C5.0",0.5896,0.584,0.5799,0.58,0.5896,0.5841,0.5834,0.5838,0.5815,0.5697
"PruDent-C5.0",0.6005,0.5952,0.5884,0.5876,0.5984,0.5927,0.5926,0.5982,0.591,0.5819
"RDBR-C5.0",0.5632,0.5635,0.546,0.5594,0.567,0.5526,0.5625,0.5646,0.5492,0.5513
"BR-LR",0.7776,0.7773,0.7781,0.7761,0.781,0.7693,0.7759,0.7804,0.7769,0.7779
"BR+-LR",0.7769,0.7775,0.7791,0.7774,0.78,0.7699,0.7749,0.7792,0.7767,0.7783
"CC-LR",0.7764,0.7775,0.7765,0.7773,0.7806,0.7699,0.7754,0.7788,0.7758,0.7786
"DBR-LR",0.7771,0.777,0.7782,0.7767,0.7814,0.7698,0.776,0.7795,0.7767,0.778
"EBR-LR",0.7656,0.7709,0.7735,0.7655,0.7715,0.759,0.7661,0.7728,0.7606,0.772
"ECC-LR",0.7688,0.7737,0.7707,0.7626,0.7656,0.7657,0.7665,0.7635,0.7661,0.7696
