"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.2837,0.2695,0.2979,0.2908,0.2837,0.2837,0.2837,0.2766,0.2837,0.2695
"baselineHL",0.0638,0.0567,0.0567,0.0567,0.0567,0.0567,0.0567,0.0567,0.0567,0.0567
"baselineRL",0.1631,0.1631,0.1348,0.1348,0.1418,0.1489,0.1418,0.1418,0.1418,0.1277
"baselineSA",0.1489,0.1418,0.1418,0.1064,0.1064,0.1418,0.1064,0.1418,0.1489,0.1418
"BR-C5.0",0.1541,0.143,0.1582,0.1535,0.1592,0.15,0.1752,0.1605,0.162,0.1446
"BR-LR",0.0771,0.0575,0.0696,0.063,0.071,0.0641,0.0626,0.0659,0.0685,0.0652
"BR-RF",0.0961,0.0772,0.089,0.0897,0.0911,0.0852,0.0881,0.087,0.0927,0.0827
"BR-SVM",0.0751,0.0619,0.0731,0.0615,0.0709,0.0626,0.0637,0.0644,0.0659,0.0646
"BR-SVMt",0.0712,0.0614,0.0722,0.0671,0.0679,0.0619,0.0666,0.0681,0.0693,0.0647
"BR-XGB",0.127,0.1107,0.1222,0.1223,0.1221,0.1201,0.1223,0.1149,0.1244,0.115
"BR+-C5.0",0.1565,0.1516,0.1552,0.1522,0.1471,0.1376,0.1451,0.1444,0.157,0.1365
"BR+-LR",0.0844,0.0637,0.0814,0.0656,0.0761,0.0739,0.0757,0.0737,0.0752,0.064
"BR+-RF",0.0876,0.0703,0.0833,0.0797,0.0797,0.0756,0.0751,0.0787,0.0798,0.077
"BR+-SVM",0.0757,0.0648,0.077,0.0667,0.077,0.0783,0.0737,0.0738,0.0773,0.0642
"BR+-SVMt",0.1276,0.1193,0.1294,0.1025,0.1205,0.1266,0.1239,0.1255,0.1237,0.1258
"BR+-XGB",0.1122,0.1035,0.1166,0.1041,0.1084,0.1064,0.1092,0.1078,0.1149,0.1022
"CC-C5.0",0.1838,0.1593,0.1656,0.1722,0.1762,0.1714,0.1756,0.1725,0.1879,0.1767
"CC-LR",0.0882,0.0775,0.0877,0.0842,0.0895,0.0777,0.0937,0.0795,0.092,0.0753
"CC-RF",0.0863,0.0758,0.0875,0.0817,0.0863,0.0737,0.0786,0.0811,0.0827,0.0827
"CC-SVM",0.0856,0.0735,0.0865,0.0864,0.0883,0.0769,0.0874,0.084,0.0898,0.0802
"CC-SVMt",0.1091,0.1107,0.0822,0.1138,0.1121,0.0963,0.1123,0.0964,0.1016,0.0927
"CC-XGB",0.1125,0.1216,0.1276,0.1216,0.121,0.1173,0.1101,0.1194,0.1196,0.1188
"DBR-C5.0",0.1662,0.1451,0.1704,0.1576,0.1551,0.1434,0.1521,0.1549,0.1527,0.1378
"DBR-LR",0.0798,0.0626,0.0792,0.0613,0.0738,0.0724,0.072,0.0724,0.0774,0.0611
"DBR-RF",0.0894,0.0718,0.0849,0.0823,0.0822,0.0771,0.0773,0.0812,0.0801,0.0789
"DBR-SVM",0.073,0.0632,0.0756,0.0631,0.0742,0.0757,0.0689,0.0727,0.0751,0.0625
"DBR-SVMt",0.1199,0.1161,0.1385,0.0982,0.1065,0.1377,0.1118,0.1357,0.1201,0.1141
"DBR-XGB",0.1117,0.102,0.1175,0.1078,0.1114,0.1068,0.1097,0.1071,0.1144,0.1009
"EBR-C5.0",0.223,0.2116,0.2319,0.2217,0.2183,0.2231,0.2207,0.2291,0.2383,0.2049
"EBR-LR",0.2126,0.197,0.2067,0.2097,0.2066,0.2101,0.1997,0.205,0.2159,0.1828
"EBR-RF",0.203,0.1735,0.1899,0.1905,0.1865,0.1856,0.1881,0.183,0.2001,0.1678
"EBR-SVM",0.2335,0.211,0.2249,0.2386,0.2215,0.2172,0.2227,0.2229,0.187,0.2066
"EBR-SVMt",0.186,0.2112,0.1908,0.1961,0.2228,0.2149,0.2163,0.2278,0.1867,0.2148
"EBR-XGB",0.232,0.2099,0.2311,0.2362,0.223,0.226,0.2302,0.228,0.2336,0.2133
"ECC-C5.0",0.2042,0.1829,0.1948,0.2048,0.1823,0.2018,0.1979,0.1966,0.2045,0.1823
"ECC-LR",0.2345,0.2021,0.2034,0.2244,0.2308,0.2039,0.222,0.2112,0.218,0.2085
"ECC-RF",0.1911,0.1689,0.1737,0.1738,0.1735,0.1749,0.1759,0.1724,0.188,0.1592
"ECC-SVM",0.2437,0.2304,0.2314,0.2499,0.2295,0.2208,0.2331,0.2364,0.2465,0.2186
"ECC-SVMt",0.2201,0.2203,0.2127,0.236,0.2244,0.2254,0.2267,0.2196,0.195,0.1987
"ECC-XGB",0.2438,0.2218,0.2418,0.2366,0.2313,0.2301,0.2236,0.232,0.2415,0.2157
"MBR-C5.0",0.1934,0.182,0.1846,0.2005,0.1838,0.1885,0.1961,0.1926,0.1945,0.1859
"MBR-LR",0.0982,0.0665,0.0801,0.0806,0.0858,0.0729,0.0777,0.073,0.0879,0.0733
"MBR-RF",0.0963,0.0765,0.0902,0.0905,0.0909,0.0858,0.0898,0.0882,0.0933,0.0816
"MBR-SVM",0.0928,0.0667,0.0902,0.0838,0.0849,0.0772,0.0808,0.0768,0.0818,0.0774
"MBR-SVMt",0.0971,0.1092,0.0921,0.1333,0.1129,0.0864,0.1443,0.1218,0.1068,0.086
"MBR-XGB",0.127,0.1107,0.1222,0.1223,0.1221,0.1192,0.1223,0.1149,0.1244,0.115
"NS-C5.0",0.1854,0.1884,0.1659,0.1603,0.1835,0.174,0.1672,0.1763,0.1668,0.1654
"NS-LR",0.1059,0.127,0.1191,0.1146,0.1028,0.1222,0.1056,0.1231,0.1311,0.1062
"NS-RF",0.1378,0.1401,0.1372,0.1279,0.1296,0.1272,0.1226,0.1414,0.144,0.122
"NS-SVM",0.105,0.1286,0.1207,0.1074,0.102,0.1114,0.1049,0.1219,0.1271,0.1115
"NS-SVMt",0.1331,0.1504,0.1573,0.1425,0.1571,0.1267,0.1584,0.1545,0.1442,0.1237
"NS-XGB",0.1502,0.1684,0.1649,0.1527,0.1428,0.1553,0.1413,0.1649,0.1644,0.1429
"PruDent-C5.0",0.1335,0.1139,0.1336,0.1402,0.1287,0.1285,0.1356,0.1247,0.1243,0.124
"PruDent-LR",0.0742,0.0571,0.0686,0.0589,0.0634,0.0674,0.0609,0.0663,0.0705,0.0662
"PruDent-RF",0.0938,0.0742,0.0888,0.0874,0.0872,0.0808,0.0833,0.0867,0.0872,0.0804
"PruDent-SVM",0.0729,0.064,0.0696,0.0578,0.0678,0.0667,0.0642,0.0688,0.0703,0.0631
"PruDent-SVMt",0.0728,0.0659,0.0696,0.0655,0.0689,0.069,0.0601,0.0648,0.0736,0.0684
"PruDent-XGB",0.1147,0.1048,0.1143,0.112,0.113,0.1107,0.1108,0.1079,0.1169,0.1044
"RDBR-C5.0",0.1368,0.1586,0.1563,0.1416,0.1322,0.1292,0.1265,0.1493,0.1436,0.1281
"RDBR-LR",0.0898,0.0736,0.0914,0.0773,0.0832,0.0852,0.0847,0.0806,0.0911,0.0667
"RDBR-RF",0.0883,0.0701,0.0845,0.0804,0.0817,0.0769,0.0748,0.0792,0.081,0.0792
"RDBR-SVM",0.082,0.0751,0.0881,0.0753,0.0851,0.0887,0.0938,0.0802,0.0928,0.0661
"RDBR-SVMt",0.1821,0.1751,0.1804,0.1616,0.2001,0.1596,0.1731,0.1731,0.1668,0.1844
"RDBR-XGB",0.1137,0.1061,0.123,0.1077,0.1126,0.113,0.108,0.1092,0.1176,0.1016
