"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183
"baselineHL",0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046
"baselineRL",0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138,0.0138
"baselineSA",0.0183,0.0138,0.0183,0.0138,0.0138,0.0183,0.0183,0.0138,0.0183,0.0138
"BR-C5.0",0.0126,0.017,0.0129,0.0112,0.0132,0.011,0.0126,0.0135,0.0109,0.0128
"BR-LR",0.0296,0.0325,0.0304,0.0311,0.0316,0.0298,0.0296,0.0355,0.029,0.0313
"BR-RF",0.0178,0.0185,0.0169,0.0189,0.018,0.0196,0.0172,0.0192,0.0176,0.0188
"BR-SVM",0.0312,0.0324,0.0305,0.0299,0.0304,0.0294,0.0289,0.0352,0.0285,0.0293
"BR-SVMt",0.0447,0.0461,0.0428,0.0433,0.0479,0.043,0.0424,0.0479,0.0452,0.0445
"BR-XGB",0.0409,0.0435,0.0399,0.0388,0.044,0.0414,0.0414,0.0417,0.0394,0.0416
"BR+-C5.0",0.0134,0.021,0.0152,0.013,0.0174,0.0109,0.0104,0.0142,0.011,0.0165
"BR+-LR",0.0428,0.0418,0.0415,0.0381,0.0427,0.0426,0.0366,0.0453,0.0391,0.0411
"BR+-RF",0.0209,0.0226,0.0221,0.0211,0.0222,0.0229,0.0216,0.0236,0.0206,0.0238
"BR+-SVM",0.0383,0.0402,0.0418,0.0378,0.0414,0.0401,0.0366,0.0441,0.0371,0.042
"BR+-SVMt",0.0829,0.0782,0.083,0.0874,0.0833,0.0927,0.063,0.0853,0.0835,0.0714
"BR+-XGB",0.0346,0.0425,0.0403,0.0366,0.042,0.04,0.041,0.0423,0.0404,0.0399
"CC-C5.0",0.0128,0.0148,0.0154,0.015,0.0146,0.013,0.0121,0.0144,0.0135,0.0195
