"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",1,1,1,1,1,1,1,1,1,1
"baseline-HL",0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667,0.1667
"baseline-RL",0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
"baseline-SA",0.3333,0.1667,0.3333,0.3333,0.3333,0.3333,0.3333,0.1667,0.3333,0.1667
"BR-C5.0",0.5695,0.525,0.5599,0.5555,0.5667,0.5485,0.5804,0.5891,0.5267,0.5311
"BR+-C5.0",0.5917,0.5538,0.5414,0.5735,0.5271,0.5766,0.5546,0.5953,0.514,0.5577
"CC-C5.0",0.5392,0.5324,0.5438,0.5275,0.5113,0.5254,0.5854,0.5788,0.5207,0.5544
"DBR-C5.0",0.5897,0.5784,0.5611,0.5972,0.5043,0.5659,0.5655,0.5951,0.5211,0.5729
"EBR-C5.0",0.6472,0.6095,0.6531,0.6227,0.6427,0.6236,0.688,0.6364,0.6514,0.6322
"ECC-C5.0",0.6573,0.6128,0.64,0.6055,0.659,0.6149,0.6814,0.635,0.6393,0.6324
"MBR-C5.0",0.5554,0.5445,0.573,0.5551,0.5556,0.5447,0.5374,0.584,0.5307,0.5552
"NS-C5.0",0.5133,0.5288,0.5495,0.5558,0.5041,0.5375,0.6128,0.544,0.5417,0.5517
"PruDent-C5.0",0.5209,0.5288,0.5449,0.5386,0.5231,0.5246,0.496,0.5254,0.5115,0.5398
"RDBR-C5.0",0.6027,0.5823,0.5754,0.59,0.5153,0.584,0.5885,0.6048,0.582,0.5677
"BR-LR",0.6271,0.5861,0.626,0.6055,0.6206,0.5926,0.6393,0.6007,0.6222,0.5963
"BR+-LR",0.6839,0.6486,0.6579,0.6466,0.6658,0.649,0.6706,0.661,0.6758,0.6544
"CC-LR",0.6376,0.6256,0.6391,0.6408,0.6362,0.6251,0.6517,0.6392,0.6304,0.6358
"DBR-LR",0.6773,0.6624,0.6653,0.6563,0.6714,0.6705,0.671,0.6788,0.6687,0.6633
"EBR-LR",0.7016,0.6683,0.693,0.6771,0.6734,0.6643,0.6979,0.6804,0.6883,0.6671
"ECC-LR",0.6732,0.644,0.6684,0.6573,0.6774,0.6655,0.6913,0.6705,0.6915,0.6436
"MBR-LR",0.6291,0.5929,0.6256,0.6046,0.622,0.5956,0.6273,0.596,0.622,0.6026
"NS-LR",0.6318,0.6126,0.6181,0.6235,0.6285,0.6147,0.6362,0.615,0.6248,0.6123
"PruDent-LR",0.6286,0.5899,0.6227,0.6037,0.6229,0.5951,0.6251,0.6057,0.624,0.6046
"RDBR-LR",0.671,0.6567,0.6649,0.6632,0.6582,0.6503,0.678,0.6574,0.6594,0.6674
"BR-RF",0.6345,0.6021,0.6305,0.592,0.6168,0.6024,0.6417,0.5989,0.6269,0.6002
"BR+-RF",0.6423,0.6164,0.6517,0.6198,0.6513,0.6185,0.6674,0.613,0.6439,0.6121
"CC-RF",0.6231,0.616,0.6225,0.5914,0.6251,0.5985,0.634,0.6064,0.6296,0.5957
"DBR-RF",0.6436,0.6162,0.652,0.618,0.6553,0.6155,0.6618,0.613,0.6442,0.6099
"EBR-RF",0.7088,0.644,0.6747,0.6719,0.673,0.6613,0.6879,0.6811,0.6868,0.6698
"ECC-RF",0.6817,0.6456,0.6782,0.6441,0.6806,0.6676,0.7166,0.6443,0.6858,0.6695
"MBR-RF",0.6288,0.5978,0.6299,0.601,0.6173,0.5959,0.6267,0.5943,0.6265,0.6003
"NS-RF",0.6231,0.616,0.6225,0.5914,0.6251,0.5985,0.634,0.6064,0.6296,0.5957
"PruDent-RF",0.6346,0.6195,0.637,0.6174,0.6312,0.6103,0.6281,0.5992,0.6262,0.6239
