"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.0952,0.0952,0.0952,0.0952,0.0952,0.0952,0.0952,0.0952,0.0952,0.0952
"baselineHL",0.0476,0.0476,0.0476,0.0476,0.0476,0.0476,0.0238,0.0476,0.0476,0.0476
"baselineRL",0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714,0.0714
"baselineSA",0.0238,0.0714,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238,0.0238
"BR-C5.0",0.1727,0.1646,0.1785,0.1589,0.185,0.1727,0.1628,0.1791,0.1669,0.1599
"BR-LR",0.1214,0.115,0.1166,0.1264,0.1236,0.1189,0.1183,0.1231,0.1195,0.121
"BR-RF",0.1676,0.1727,0.1826,0.17,0.1767,0.162,0.1566,0.1794,0.171,0.17
"BR-SVM",0.1282,0.1185,0.1297,0.1279,0.1283,0.1176,0.1259,0.1229,0.1143,0.1205
"BR-SVMt",0.1334,0.1353,0.1433,0.1405,0.1399,0.1358,0.1393,0.134,0.1301,0.136
"BR-XGB",0.2111,0.212,0.2258,0.2057,0.2168,0.2232,0.2057,0.2176,0.2085,0.2186
"BR+-C5.0",0.1776,0.165,0.1802,0.1625,0.189,0.1768,0.1667,0.1979,0.1757,0.1578
"BR+-LR",0.1413,0.134,0.1383,0.142,0.1347,0.1363,0.1275,0.1435,0.1293,0.1383
"BR+-RF",0.1689,0.1735,0.1801,0.1739,0.1792,0.168,0.1669,0.1837,0.1742,0.1746
"BR+-SVM",0.1389,0.1299,0.1438,0.1366,0.1367,0.1345,0.1347,0.1365,0.132,0.1312
"BR+-SVMt",0.1502,0.1487,0.1552,0.1615,0.1456,0.1518,0.1542,0.1623,0.1524,0.1659
"BR+-XGB",0.226,0.2317,0.2311,0.2182,0.2319,0.2296,0.2225,0.2381,0.2338,0.2247
"CC-C5.0",0.1681,0.162,0.1802,0.1532,0.1797,0.1727,0.1535,0.1848,0.1643,0.1542
"CC-LR",0.1324,0.1254,0.1289,0.1378,0.1343,0.1264,0.1322,0.1362,0.1296,0.1317
"CC-RF",0.1694,0.1708,0.1817,0.1645,0.1779,0.1741,0.1656,0.1795,0.1728,0.1705
"CC-SVM",0.1393,0.1269,0.1402,0.1349,0.1349,0.1259,0.1331,0.133,0.1278,0.1286
"CC-SVMt",0.1464,0.147,0.1593,0.1531,0.1544,0.1506,0.1484,0.1499,0.1497,0.1569
"CC-XGB",0.2197,0.2233,0.2345,0.215,0.2311,0.2271,0.2148,0.2306,0.2223,0.2209
"DBR-C5.0",0.1807,0.1705,0.1823,0.1669,0.1905,0.176,0.169,0.1986,0.1783,0.1626
"DBR-LR",0.1411,0.1218,0.1387,0.1384,0.1352,0.1291,0.1244,0.143,0.1313,0.1365
"DBR-RF",0.1692,0.1739,0.1809,0.1742,0.1812,0.1681,0.1679,0.1861,0.1744,0.1745
"DBR-SVM",0.1386,0.1294,0.1431,0.1368,0.1366,0.1339,0.1345,0.1368,0.1321,0.1307
"DBR-SVMt",0.1455,0.1486,0.153,0.1635,0.1519,0.15,0.1534,0.1641,0.1555,0.1662
"DBR-XGB",0.2409,0.2361,0.2396,0.2266,0.238,0.2366,0.2336,0.2452,0.2414,0.2324
"EBR-C5.0",0.2193,0.2146,0.2168,0.2054,0.2094,0.2088,0.2072,0.2374,0.222,0.2172
"EBR-LR",0.1757,0.2083,0.21,0.2225,0.2216,0.2148,0.2132,0.2261,0.2147,0.2182
"EBR-RF",0.2197,0.2329,0.2302,0.221,0.2333,0.2288,0.2234,0.2337,0.231,0.2281
"EBR-SVM",0.2222,0.2277,0.2265,0.2282,0.2194,0.2292,0.2386,0.2342,0.2296,0.2532
"EBR-SVMt",0.1762,0.2166,0.2297,0.2451,0.2416,0.2229,0.2287,0.2439,0.2152,0.228
"EBR-XGB",0.2523,0.2716,0.2486,0.2463,0.2502,0.2577,0.2532,0.2611,0.2421,0.2591
"ECC-C5.0",0.212,0.2157,0.2174,0.2184,0.2131,0.2113,0.2071,0.2257,0.2162,0.2165
"ECC-LR",0.1875,0.2259,0.1774,0.1903,0.1844,0.2215,0.2169,0.1879,0.1881,0.1843
"ECC-RF",0.2222,0.2336,0.24,0.2217,0.2351,0.2263,0.2324,0.2344,0.2341,0.2309
"ECC-SVM",0.203,0.2309,0.2043,0.2334,0.2285,0.2364,0.2415,0.2093,0.2255,0.2395
"ECC-SVMt",0.1883,0.2249,0.2344,0.2475,0.2335,0.2202,0.2304,0.2311,0.2113,0.2195
"ECC-XGB",0.2601,0.2555,0.2596,0.2568,0.2525,0.2667,0.2576,0.2697,0.2535,0.2515
"MBR-C5.0",0.1806,0.166,0.1772,0.1595,0.1887,0.1797,0.1618,0.1823,0.1698,0.1644
"MBR-LR",0.1241,0.1138,0.1297,0.1323,0.1236,0.1236,0.1185,0.1333,0.1138,0.1203
"MBR-RF",0.1675,0.1731,0.1803,0.1649,0.1796,0.168,0.1599,0.1828,0.171,0.1719
"MBR-SVM",0.1291,0.1155,0.125,0.1309,0.1265,0.1136,0.1255,0.1273,0.1176,0.125
"MBR-SVMt",0.1409,0.1518,0.1389,0.152,0.1413,0.1454,0.1413,0.1431,0.14,0.156
"MBR-XGB",0.211,0.2119,0.2258,0.2058,0.2168,0.2232,0.206,0.2183,0.2085,0.2186
"NS-C5.0",0.1731,0.1538,0.1532,0.1614,0.17,0.1542,0.1588,0.1774,0.1629,0.1638
"NS-LR",0.1408,0.1192,0.1243,0.1379,0.1421,0.1288,0.1239,0.1392,0.1372,0.1297
"NS-RF",0.1899,0.1843,0.1913,0.1849,0.1924,0.1787,0.1776,0.2009,0.1956,0.1827
"NS-SVM",0.1344,0.1244,0.1383,0.1441,0.1403,0.1311,0.1316,0.1409,0.1367,0.1271
"NS-SVMt",0.164,0.1404,0.1469,0.1633,0.1593,0.1605,0.1585,0.1478,0.1646,0.1565
