"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143,0.7143
"baselineHL",0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,0.2857,0.4286,0.4286
"baselineRL",0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286
"baselineSA",0.4286,0.4286,0.4286,0.4286,0.2857,0.4286,0.4286,0.2857,0.2857,0.4286
"BR-C5.0",0.538,0.6937,0.6859,0.6454,0.6179,0.6802,0.6776,0.6232,0.5969,0.7155
"BR-LR",0.6005,0.6753,0.6494,0.5674,0.5738,0.6554,0.6034,0.5862,0.5585,0.6722
"BR-RF",0.6199,0.7115,0.6399,0.6047,0.643,0.6422,0.5911,0.6439,0.6371,0.6703
"BR-SVM",0.5867,0.7005,0.6571,0.5888,0.6068,0.6773,0.6517,0.5925,0.6229,0.6789
"BR-SVMt",0.655,0.6593,0.6482,0.5939,0.6176,0.6921,0.5926,0.5854,0.5906,0.6399
"BR-XGB",0.6306,0.6688,0.6202,0.616,0.6041,0.6815,0.6125,0.6133,0.6161,0.6837
"BR+-C5.0",0.5357,0.6193,0.615,0.5659,0.678,0.6425,0.6438,0.616,0.6048,0.6219
"BR+-LR",0.6173,0.6725,0.6547,0.5514,0.5516,0.6421,0.6599,0.6495,0.5457,0.6492
"BR+-RF",0.6248,0.6764,0.6178,0.6155,0.5925,0.6599,0.6038,0.6355,0.6179,0.6382
"BR+-SVM",0.5619,0.6778,0.6514,0.5604,0.5997,0.6487,0.6741,0.5873,0.6027,0.641
"BR+-SVMt",0.606,0.6946,0.6298,0.6123,0.5976,0.6571,0.6219,0.6222,0.5902,0.6773
"BR+-XGB",0.6217,0.6549,0.6401,0.6066,0.6436,0.6847,0.6046,0.6238,0.6205,0.6395
"CC-C5.0",0.5777,0.6771,0.6326,0.584,0.6435,0.6519,0.6615,0.6569,0.5809,0.6173
"CC-LR",0.6195,0.6834,0.632,0.587,0.6147,0.6515,0.6468,0.5763,0.5595,0.6579
"CC-RF",0.6389,0.6829,0.6276,0.6155,0.6144,0.6495,0.6188,0.6228,0.6206,0.658
"CC-SVM",0.5889,0.6842,0.6405,0.5849,0.6198,0.6339,0.6578,0.5902,0.6128,0.6348
"CC-SVMt",0.6504,0.6893,0.6299,0.4752,0.5624,0.6509,0.6416,0.5965,0.5779,0.529
"CC-XGB",0.6362,0.6625,0.6386,0.6397,0.6754,0.7022,0.6139,0.6269,0.6568,0.6532
"DBR-C5.0",0.5621,0.5959,0.5971,0.5318,0.6527,0.6585,0.62,0.6051,0.6073,0.5682
"DBR-LR",0.5775,0.6903,0.6485,0.5779,0.546,0.6414,0.616,0.5817,0.5989,0.6519
"DBR-RF",0.6189,0.6793,0.6151,0.607,0.5965,0.6598,0.6029,0.6385,0.6079,0.6202
"DBR-SVM",0.5599,0.674,0.6485,0.5584,0.6106,0.636,0.6769,0.5821,0.6007,0.6322
"DBR-SVMt",0.636,0.6869,0.6301,0.6402,0.6073,0.6454,0.6661,0.6003,0.564,0.5905
"DBR-XGB",0.63,0.6595,0.6426,0.6068,0.6422,0.6798,0.6316,0.6088,0.6156,0.6256
"EBR-C5.0",0.6331,0.6518,0.6133,0.6746,0.657,0.6462,0.6764,0.5842,0.6481,0.6588
"EBR-LR",0.6262,0.6027,0.5702,0.5712,0.5864,0.5536,0.6261,0.6108,0.5956,0.6064
"EBR-RF",0.6204,0.6635,0.6267,0.6117,0.6641,0.6164,0.6271,0.6276,0.6388,0.6448
"EBR-SVM",0.634,0.6559,0.6006,0.636,0.5913,0.6442,0.6384,0.5902,0.5839,0.6524
"EBR-SVMt",0.638,0.6385,0.6106,0.5604,0.5945,0.619,0.6266,0.5926,0.6301,0.6527
"EBR-XGB",0.6355,0.6924,0.5818,0.6501,0.6433,0.6602,0.6548,0.6184,0.6129,0.6363
"ECC-C5.0",0.6335,0.6404,0.5754,0.5834,0.692,0.6417,0.6437,0.5508,0.6596,0.6758
"ECC-LR",0.6258,0.6391,0.5836,0.5666,0.5558,0.6076,0.6608,0.6253,0.5716,0.5445
"ECC-RF",0.6395,0.6417,0.6151,0.6041,0.6438,0.6258,0.6541,0.5896,0.6424,0.6337
"ECC-SVM",0.6084,0.679,0.6156,0.5999,0.6121,0.6212,0.6304,0.5712,0.6136,0.6553
"ECC-SVMt",0.64,0.6727,0.5643,0.5536,0.5781,0.6572,0.6658,0.597,0.6049,0.6671
"ECC-XGB",0.6439,0.6897,0.5863,0.6395,0.6765,0.6604,0.6454,0.6068,0.6159,0.6755
"MBR-C5.0",0.5614,0.6722,0.6738,0.646,0.6478,0.6937,0.6681,0.6341,0.5969,0.6895
"MBR-LR",0.6529,0.6856,0.6413,0.5699,0.5662,0.6732,0.6218,0.6702,0.5892,0.6615
"MBR-RF",0.6159,0.6965,0.6355,0.6038,0.6493,0.6475,0.5822,0.6488,0.6509,0.6668
"MBR-SVM",0.6515,0.6785,0.6693,0.5654,0.5479,0.6773,0.6285,0.5983,0.5751,0.6741
"MBR-SVMt",0.5624,0.5639,0.6413,0.5703,0.5749,0.6905,0.5956,0.6222,0.6075,0.5933
"MBR-XGB",0.6306,0.6688,0.6202,0.616,0.6041,0.6815,0.6125,0.6133,0.6161,0.6837
"NS-C5.0",0.5558,0.7418,0.6527,0.6076,0.611,0.6396,0.6444,0.6246,0.566,0.6242
"NS-LR",0.6259,0.6701,0.6522,0.5583,0.5914,0.6766,0.664,0.5737,0.5658,0.6602
"NS-RF",0.6248,0.6765,0.6276,0.6045,0.6113,0.6592,0.6188,0.6165,0.6144,0.658
"NS-SVM",0.5635,0.7033,0.6508,0.5756,0.6055,0.6766,0.6711,0.5823,0.6043,0.6633
"NS-SVMt",0.5381,0.6712,0.6428,0.6185,0.5889,0.6818,0.5882,0.5871,0.6369,0.6283
"NS-XGB",0.6122,0.6754,0.6245,0.6287,0.6551,0.6941,0.6139,0.6269,0.6507,0.6367
"PruDent-C5.0",0.6211,0.68,0.6682,0.6186,0.6179,0.6732,0.6055,0.59,0.5531,0.6409
"PruDent-LR",0.6347,0.7015,0.6376,0.5857,0.5737,0.6722,0.6447,0.5927,0.5756,0.6554
"PruDent-RF",0.6272,0.6904,0.6408,0.6029,0.6398,0.6368,0.6059,0.6404,0.6243,0.6552
"PruDent-SVM",0.5943,0.6397,0.6413,0.5613,0.5889,0.6533,0.618,0.5974,0.561,0.6624
"PruDent-SVMt",0.4949,0.6976,0.6249,0.5814,0.5794,0.6503,0.6108,0.6095,0.5611,0.5851
"PruDent-XGB",0.6364,0.664,0.621,0.6142,0.6041,0.6795,0.6369,0.6081,0.6219,0.6518
"RDBR-C5.0",0.5383,0.6259,0.6158,0.5748,0.6804,0.6563,0.6386,0.6017,0.5981,0.6251
"RDBR-LR",0.613,0.685,0.646,0.5565,0.6085,0.644,0.6285,0.5545,0.5666,0.6635
"RDBR-RF",0.6111,0.6828,0.6248,0.6284,0.6082,0.6598,0.6092,0.6389,0.611,0.6402
"RDBR-SVM",0.5759,0.6941,0.6485,0.5887,0.6184,0.6424,0.6787,0.5908,0.6241,0.6441
"RDBR-SVMt",0.6547,0.7083,0.6329,0.5858,0.6169,0.6543,0.6759,0.5893,0.6173,0.6877
"RDBR-XGB",0.6359,0.6716,0.651,0.6069,0.6243,0.6846,0.5972,0.6439,0.6415,0.6721
