"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",1,1,1,1,1,1,1,1,1,1
"baseline-HL",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"baseline-RL",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"baseline-SA",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"BR-C5.0",0.5682,0.6138,0.6116,0.5724,0.5826,0.5939,0.5998,0.5871,0.5937,0.5923
"BR+-C5.0",0.5149,0.5176,0.5344,0.4985,0.5166,0.5095,0.5464,0.5122,0.5429,0.5103
"CC-C5.0",0.5169,0.5392,0.5362,0.5087,0.5168,0.5203,0.5572,0.5056,0.5313,0.5227
"DBR-C5.0",0.5217,0.535,0.5403,0.5233,0.5182,0.5269,0.5485,0.514,0.5419,0.4986
"EBR-C5.0",0.6487,0.6471,0.6703,0.6446,0.6329,0.6381,0.6699,0.6579,0.6526,0.6513
"ECC-C5.0",0.6031,0.6185,0.6093,0.5914,0.6716,0.6091,0.6229,0.6005,0.6179,0.6037
"MBR-C5.0",0.5624,0.5965,0.6066,0.5617,0.5594,0.5781,0.566,0.5717,0.6019,0.5941
"NS-C5.0",0.535,0.5433,0.5375,0.5157,0.5126,0.5336,0.5398,0.5409,0.5348,0.5312
"PruDent-C5.0",0.5461,0.5679,0.5713,0.5549,0.5478,0.575,0.5739,0.5325,0.5578,0.563
"RDBR-C5.0",0.5072,0.5013,0.5201,0.5056,0.5182,0.4987,0.5262,0.5059,0.5471,0.5052
"BR-LR",0.6289,0.6316,0.6179,0.6264,0.6173,0.6229,0.6466,0.6243,0.634,0.6142
"BR+-LR",0.6266,0.6345,0.6243,0.6234,0.621,0.6202,0.6528,0.6249,0.6389,0.6164
"CC-LR",0.6207,0.6262,0.6154,0.6287,0.6148,0.6178,0.6408,0.622,0.6338,0.6131
"DBR-LR",0.6238,0.6327,0.6248,0.6284,0.6207,0.6237,0.6537,0.6233,0.6364,0.6166
"EBR-LR",0.671,0.6765,0.6695,0.6839,0.6637,0.6805,0.6814,0.6648,0.6696,0.6712
"ECC-LR",0.6627,0.6832,0.6832,0.6807,0.6633,0.684,0.6941,0.6701,0.6825,0.6752
"MBR-LR",0.6248,0.6317,0.6251,0.6258,0.6159,0.6209,0.6511,0.6257,0.6347,0.6177
"NS-LR",0.6274,0.6286,0.6201,0.6259,0.6156,0.6208,0.6463,0.6258,0.6297,0.6157
"PruDent-LR",0.6284,0.6321,0.6221,0.629,0.6188,0.623,0.6496,0.6265,0.6364,0.617
"RDBR-LR",0.6226,0.6389,0.6294,0.6249,0.6218,0.6283,0.6457,0.6239,0.6368,0.617
"BR-RF",0.6325,0.6333,0.6375,0.6363,0.6241,0.6288,0.6385,0.6247,0.6292,0.6238
"BR+-RF",0.6196,0.6382,0.6319,0.6286,0.6206,0.6345,0.6288,0.6284,0.6366,0.6189
"CC-RF",0.6274,0.6313,0.6339,0.6281,0.6224,0.6314,0.6315,0.622,0.6379,0.6179
"DBR-RF",0.6247,0.6409,0.6324,0.6328,0.6207,0.627,0.6383,0.628,0.633,0.6249
"EBR-RF",0.6855,0.6807,0.676,0.6748,0.6961,0.6823,0.6953,0.6671,0.6864,0.672
"ECC-RF",0.6795,0.685,0.6828,0.6775,0.6702,0.6835,0.6874,0.6797,0.6881,0.6676
"MBR-RF",0.6277,0.6261,0.6298,0.634,0.629,0.6257,0.6371,0.6266,0.6355,0.6266
"NS-RF",0.6274,0.6313,0.6339,0.6281,0.6224,0.6314,0.6315,0.622,0.6379,0.6179
"PruDent-RF",0.6321,0.6372,0.6375,0.6324,0.6306,0.6298,0.6433,0.6273,0.6393,0.6194
"RDBR-RF",0.6183,0.6346,0.6344,0.6292,0.6228,0.6362,0.6282,0.6256,0.6363,0.6207
"BR-SVM",0.6254,0.6315,0.6189,0.6238,0.6163,0.6222,0.6525,0.6243,0.6321,0.6169
"BR+-SVM",0.6243,0.635,0.6263,0.6242,0.6222,0.6208,0.6526,0.628,0.639,0.6181
"CC-SVM",0.6188,0.6261,0.617,0.6262,0.6173,0.6193,0.643,0.6241,0.6327,0.616
"DBR-SVM",0.6243,0.6341,0.6249,0.6243,0.6223,0.6235,0.6554,0.6274,0.6369,0.6174
"EBR-SVM",0.6797,0.6744,0.6708,0.679,0.6702,0.6773,0.7008,0.6691,0.6773,0.678
"ECC-SVM",0.6885,0.6757,0.6737,0.6808,0.6625,0.6843,0.6962,0.6656,0.679,0.6796
"MBR-SVM",0.6262,0.6325,0.6175,0.6275,0.6181,0.622,0.6505,0.6217,0.6307,0.614
"NS-SVM",0.6247,0.6279,0.62,0.6255,0.6143,0.6192,0.6508,0.6265,0.6295,0.6151
"PruDent-SVM",0.6279,0.635,0.6204,0.6304,0.6206,0.6262,0.6536,0.625,0.6386,0.6147
"RDBR-SVM",0.6253,0.6369,0.6285,0.6244,0.6232,0.6227,0.6522,0.6265,0.6373,0.62
"BR-SVMt",0.621,0.65,0.6415,0.6309,0.6305,0.6123,0.6515,0.6435,0.6352,0.5918
"BR+-SVMt",0.6113,0.6522,0.6486,0.6103,0.6409,0.6296,0.6534,0.6355,0.6626,0.6358
"CC-SVMt",0.6193,0.6422,0.6454,0.6173,0.6291,0.6015,0.6489,0.6316,0.6448,0.6179
"DBR-SVMt",0.6263,0.6546,0.6426,0.6396,0.6315,0.6259,0.6563,0.6443,0.6577,0.6361
