"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789,0.0789
"baseline-HL",0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263
"baseline-RL",0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263
"baseline-SA",0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263
"BR-C5.0",0.1394,0.1613,0.1538,0.1265,0.1275,0.1246,0.139,0.1143,0.1286,0.1541
"BR+-C5.0",0.1322,0.1505,0.1421,0.1307,0.1179,0.105,0.1297,0.1008,0.1371,0.128
"CC-C5.0",0.1299,0.1529,0.1535,0.1299,0.1281,0.1127,0.1325,0.1139,0.1287,0.1356
"DBR-C5.0",0.1357,0.1505,0.1423,0.1307,0.1185,0.1036,0.129,0.1002,0.1386,0.1269
"EBR-C5.0",0.1733,0.1707,0.2392,0.1585,0.1866,0.1725,0.1853,0.188,0.1942,0.2104
"ECC-C5.0",0.1813,0.1978,0.2021,0.1843,0.193,0.1867,0.1907,0.2147,0.189,0.1887
"MBR-C5.0",0.1367,0.1398,0.1414,0.1201,0.1142,0.1116,0.1313,0.0991,0.1243,0.1447
"NS-C5.0",0.1191,0.1339,0.1277,0.1248,0.124,0.1245,0.1239,0.11,0.1262,0.1319
"PruDent-C5.0",0.1394,0.1613,0.1538,0.1265,0.1275,0.1246,0.139,0.1143,0.1286,0.1541
"RDBR-C5.0",0.1335,0.1505,0.1431,0.134,0.1157,0.1022,0.1286,0.102,0.1398,0.1293
"BR-LR",0.126,0.1391,0.1396,0.1261,0.1337,0.1433,0.1353,0.1376,0.1471,0.1339
"BR+-LR",0.1409,0.1347,0.1399,0.1206,0.1346,0.1425,0.135,0.135,0.1439,0.1326
"CC-LR",0.1232,0.1394,0.1412,0.1334,0.1387,0.1384,0.1342,0.1345,0.1429,0.1335
"DBR-LR",0.1302,0.1342,0.1393,0.1301,0.1371,0.1431,0.1373,0.137,0.1497,0.1319
"EBR-LR",0.1187,0.1264,0.14,0.1376,0.1333,0.137,0.1302,0.1272,0.1198,0.1309
"ECC-LR",0.1258,0.1244,0.1224,0.1257,0.1271,0.1242,0.1276,0.1227,0.1334,0.1233
"MBR-LR",0.1458,0.1489,0.1542,0.1323,0.1404,0.144,0.1498,0.1349,0.1522,0.1476
"NS-LR",0.1347,0.1355,0.144,0.1315,0.1348,0.1451,0.1391,0.1353,0.1475,0.127
