"Strategies","1","2","3","4","5","6","7","8","9","10"
"baselineF1",0.15,0.15,0.15,0.15,0.1,0.15,0.15,0.15,0.15,0.15
"baselineHL",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"baselineRL",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"baselineSA",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
"BR-C5.0",0.6798,0.7338,0.6757,0.7369,0.6603,0.7248,0.7247,0.6927,0.7084,0.7076
"BR-LR",0.7397,0.7297,0.724,0.7307,0.7322,0.7326,0.7267,0.7447,0.7412,0.7355
"BR-RF",0.553,0.5624,0.5681,0.5533,0.5725,0.5238,0.5656,0.5428,0.5684,0.5881
"BR-SVM",0.7306,0.7222,0.7331,0.7338,0.7517,0.7326,0.7323,0.7242,0.7366,0.7321
"BR-SVMt",0.7207,0.7293,0.7264,0.7366,0.7251,0.7436,0.7315,0.7436,0.7141,0.7317
"BR-XGB",0.7076,0.7608,0.7399,0.7286,0.7087,0.7795,0.7742,0.7128,0.731,0.7296
"BR+-C5.0",0.6801,0.734,0.6895,0.7319,0.6592,0.7249,0.7357,0.6943,0.7087,0.7124
"BR+-LR",0.7288,0.7191,0.7135,0.7315,0.7225,0.7091,0.7167,0.7325,0.7124,0.7237
"BR+-RF",0.5463,0.5346,0.5708,0.5293,0.5668,0.5026,0.5639,0.5384,0.5465,0.559
"BR+-SVM",0.7243,0.7109,0.7163,0.7339,0.7228,0.7276,0.7229,0.7117,0.7132,0.7267
"BR+-SVMt",0.7033,0.7,0.7264,0.7086,0.7174,0.7137,0.7321,0.7073,0.7304,0.7193
"BR+-XGB",0.6963,0.7628,0.7376,0.7189,0.7071,0.7638,0.7651,0.6997,0.727,0.7279
"CC-C5.0",0.6868,0.747,0.6873,0.7366,0.6621,0.7269,0.7272,0.7103,0.7047,0.7315
"CC-LR",0.7368,0.7152,0.7265,0.7307,0.7176,0.7127,0.7179,0.7368,0.7265,0.7258
"CC-RF",0.5655,0.5555,0.5632,0.5498,0.5739,0.5588,0.5717,0.5693,0.5713,0.5828
"CC-SVM",0.7293,0.7194,0.7175,0.7334,0.724,0.7302,0.7248,0.7269,0.7286,0.7244
"CC-SVMt",0.7281,0.7121,0.7372,0.7158,0.7305,0.7151,0.7415,0.6982,0.7308,0.7347
"CC-XGB",0.6992,0.7619,0.7314,0.733,0.7153,0.7743,0.7707,0.7075,0.7298,0.7281
"DBR-C5.0",0.68,0.7328,0.6909,0.7304,0.6598,0.7245,0.7341,0.6902,0.7083,0.7064
"DBR-LR",0.734,0.7298,0.7163,0.7303,0.7121,0.7212,0.7212,0.7173,0.716,0.7244
"DBR-RF",0.5449,0.5346,0.5652,0.542,0.577,0.5172,0.5668,0.5399,0.5513,0.5628
"DBR-SVM",0.7177,0.7102,0.7156,0.7398,0.7151,0.7269,0.7215,0.7117,0.7151,0.7267
"DBR-SVMt",0.7206,0.7227,0.7267,0.7085,0.7162,0.7275,0.7413,0.7232,0.7234,0.7184
"DBR-XGB",0.697,0.7641,0.7382,0.7238,0.7063,0.7667,0.7676,0.6983,0.7262,0.7346
"EBR-C5.0",0.7231,0.708,0.7287,0.7134,0.7285,0.7307,0.7689,0.717,0.7293,0.712
"EBR-LR",0.642,0.642,0.6588,0.6101,0.6614,0.6324,0.5979,0.5954,0.5203,0.5725
"EBR-RF",0.5788,0.5876,0.5801,0.5791,0.5842,0.5805,0.5964,0.5973,0.6002,0.6045
"EBR-SVM",0.6938,0.691,0.7168,0.6799,0.6966,0.6915,0.6799,0.7026,0.7101,0.6967
"EBR-SVMt",0.6975,0.7198,0.779,0.7227,0.7157,0.7196,0.7532,0.691,0.7358,0.7005
"EBR-XGB",0.7013,0.7232,0.7353,0.7009,0.7216,0.7361,0.7586,0.7022,0.742,0.7214
"ECC-C5.0",0.7571,0.7151,0.7174,0.7295,0.7249,0.734,0.745,0.7162,0.7132,0.7514
"ECC-LR",0.6182,0.6671,0.5998,0.65,0.6753,0.6539,0.6406,0.6054,0.6134,0.5845
"ECC-RF",0.5831,0.5594,0.5864,0.5664,0.5879,0.5793,0.588,0.5818,0.5941,0.6119
"ECC-SVM",0.6907,0.6847,0.6978,0.6799,0.6948,0.6761,0.7019,0.683,0.6946,0.6995
"ECC-SVMt",0.575,0.5958,0.7616,0.6978,0.7119,0.7005,0.7358,0.7293,0.7234,0.7175
"ECC-XGB",0.731,0.7316,0.7425,0.6952,0.7312,0.7271,0.7532,0.6835,0.7313,0.7096
"MBR-C5.0",0.6798,0.7313,0.6739,0.7361,0.6571,0.7228,0.7238,0.6937,0.7147,0.7058
"MBR-LR",0.7338,0.7264,0.7342,0.7376,0.7412,0.7226,0.7235,0.7321,0.7264,0.7375
"MBR-RF",0.5527,0.5751,0.5651,0.5217,0.5524,0.5339,0.5813,0.5544,0.5705,0.5823
"MBR-SVM",0.754,0.7424,0.7327,0.7299,0.7198,0.7397,0.734,0.7317,0.742,0.7332
"MBR-SVMt",0.7023,0.718,0.7177,0.7225,0.6929,0.7301,0.7379,0.6896,0.7263,0.7473
"MBR-XGB",0.7076,0.7608,0.7399,0.7286,0.7087,0.7795,0.7742,0.7128,0.731,0.7292
"NS-C5.0",0.6553,0.707,0.6643,0.6987,0.6445,0.7044,0.7009,0.6906,0.6819,0.6912
"NS-LR",0.6593,0.6648,0.6626,0.6705,0.6753,0.66,0.6683,0.6751,0.666,0.6878
"NS-RF",0.554,0.5612,0.5652,0.5495,0.5689,0.546,0.5526,0.5627,0.5676,0.5773
"NS-SVM",0.7067,0.6866,0.6986,0.6908,0.6906,0.6961,0.7081,0.7021,0.6928,0.7058
"NS-SVMt",0.6813,0.6969,0.7064,0.7141,0.71,0.6928,0.7248,0.695,0.7127,0.7095
"NS-XGB",0.6694,0.7368,0.7117,0.6987,0.6802,0.7312,0.7318,0.6699,0.6972,0.6841
"PruDent-C5.0",0.6798,0.7338,0.6757,0.7369,0.6603,0.7248,0.7247,0.6927,0.7084,0.7076
"PruDent-LR",0.7411,0.721,0.7312,0.7233,0.7313,0.7317,0.7325,0.7305,0.7301,0.7321
"PruDent-RF",0.5575,0.554,0.573,0.5472,0.5737,0.5278,0.5579,0.5569,0.5699,0.5814
"PruDent-SVM",0.7429,0.7348,0.7211,0.7333,0.7377,0.7326,0.7347,0.7209,0.7235,0.7329
"PruDent-SVMt",0.7101,0.7247,0.7135,0.7209,0.7526,0.7248,0.7468,0.7034,0.7153,0.7348
"PruDent-XGB",0.7076,0.7608,0.7399,0.7286,0.7087,0.7795,0.7742,0.7128,0.731,0.7296
"RDBR-C5.0",0.6815,0.7341,0.6887,0.7319,0.6592,0.7249,0.7371,0.6943,0.7087,0.7124
"RDBR-LR",0.7255,0.7175,0.718,0.7482,0.7144,0.7134,0.7265,0.7196,0.7237,0.742
"RDBR-RF",0.5513,0.5433,0.5715,0.5303,0.5666,0.5158,0.5695,0.5459,0.5535,0.5554
"RDBR-SVM",0.7234,0.7117,0.7174,0.733,0.7225,0.7282,0.7272,0.7196,0.7143,0.7267
"RDBR-SVMt",0.7311,0.7032,0.7392,0.7098,0.7058,0.7139,0.7265,0.6909,0.7156,0.7302
"RDBR-XGB",0.7008,0.7632,0.7251,0.7156,0.7009,0.7706,0.7739,0.7034,0.7195,0.7279
