"Strategy","1","2","3","4","5","6","7","8","9","10"
"baseline-F1",0.1579,0.1579,0.1579,0.1579,0.1579,0.1579,0.1579,0.1579,0.1579,0.1579
"baseline-HL",0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263
"baseline-RL",0.0263,0.0263,0.0789,0.0263,0.0263,0.0263,0.0263,0.0789,0.0263,0.0263
"baseline-SA",0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263,0.0263
"BR-C5.0",0.1011,0.1001,0.0994,0.0938,0.1018,0.1046,0.1086,0.1186,0.1028,0.1032
"BR+-C5.0",0.1064,0.0866,0.099,0.1006,0.1001,0.0946,0.1005,0.1112,0.0999,0.0975
"CC-C5.0",0.1032,0.0974,0.0937,0.1058,0.0905,0.1029,0.1095,0.1055,0.0957,0.0977
"DBR-C5.0",0.1152,0.1025,0.1105,0.1083,0.1218,0.1125,0.1172,0.1198,0.1144,0.105
"EBR-C5.0",0.1017,0.1783,0.1041,0.1148,0.1219,0.119,0.1781,0.1102,0.1118,0.1867
"ECC-C5.0",0.1024,0.1794,0.1,0.1778,0.1883,0.0919,0.1032,0.1744,0.1139,0.1733
"MBR-C5.0",0.127,0.1315,0.1302,0.1132,0.1388,0.1334,0.1356,0.1375,0.1306,0.1261
"NS-C5.0",0.0987,0.0996,0.1068,0.0924,0.0872,0.0944,0.1127,0.1026,0.092,0.1027
"PruDent-C5.0",0.0871,0.0878,0.0858,0.0863,0.0933,0.0948,0.095,0.1051,0.0927,0.0916
"RDBR-C5.0",0.1012,0.0973,0.0982,0.0996,0.1101,0.0916,0.1082,0.111,0.0968,0.0977
"BR-LR",0.0968,0.0991,0.096,0.1002,0.1012,0.098,0.0974,0.106,0.1027,0.0975
"BR+-LR",0.1217,0.1172,0.1168,0.119,0.1177,0.1174,0.1232,0.1249,0.1195,0.1174
"CC-LR",0.1082,0.1132,0.1116,0.1066,0.1133,0.109,0.1118,0.1204,0.1107,0.1075
"DBR-LR",0.1116,0.115,0.1169,0.1117,0.1177,0.113,0.1159,0.1231,0.1122,0.1129
"EBR-LR",0.19,0.1907,0.1874,0.1817,0.1876,0.1835,0.1845,0.1984,0.1927,0.1931
"ECC-LR",0.1598,0.1566,0.1535,0.1523,0.212,0.1548,0.1496,0.2174,0.2288,0.1562
"MBR-LR",0.1162,0.1146,0.1154,0.1142,0.1122,0.1104,0.11,0.1204,0.1139,0.1129
"NS-LR",0.1048,0.1064,0.1062,0.1051,0.105,0.1026,0.1045,0.1142,0.0352,0.1038
"PruDent-LR",0.1114,0.1107,0.1096,0.1072,0.1115,0.1048,0.1103,0.1128,0.1113,0.1103
"RDBR-LR",0.1264,0.1207,0.12,0.1206,0.1224,0.1265,0.1226,0.1287,0.1233,0.1228
"BR-RF",0.0684,0.0729,0.0667,0.0729,0.0704,0.0648,0.0688,0.0691,0.0677,0.0681
"BR+-RF",0.0713,0.074,0.0667,0.0735,0.0705,0.067,0.0722,0.0705,0.0678,0.0677
"CC-RF",0.0702,0.0737,0.0702,0.074,0.0732,0.0664,0.0708,0.0708,0.0698,0.0714
"DBR-RF",0.0685,0.0704,0.0644,0.0702,0.0679,0.0625,0.0666,0.0667,0.066,0.0648
"EBR-RF",0.1379,0.1451,0.1369,0.1459,0.1497,0.1313,0.1431,0.1392,0.137,0.1411
"ECC-RF",0.1497,0.1573,0.1436,0.1514,0.1612,0.1384,0.1545,0.1494,0.1462,0.1524
"MBR-RF",0.0672,0.0707,0.0674,0.0698,0.0746,0.0628,0.0668,0.0708,0.0683,0.0678
"NS-RF",0.0737,0.0736,0.0702,0.074,0.0747,0.0666,0.0708,0.0708,0.0716,0.0714
"PruDent-RF",0.0677,0.0711,0.0679,0.0698,0.0765,0.0646,0.0674,0.0684,0.0646,0.0669
"RDBR-RF",0.0739,0.073,0.0662,0.0736,0.0754,0.0665,0.0713,0.0709,0.0708,0.0715
"BR-SVM",0.0985,0.1002,0.0995,0.098,0.0995,0.0983,0.1026,0.1036,0.1027,0.101
"BR+-SVM",0.1182,0.1178,0.1178,0.1162,0.117,0.1196,0.1243,0.1223,0.1213,0.1185
"CC-SVM",0.1108,0.1111,0.1109,0.1068,0.1099,0.1102,0.1102,0.1191,0.1146,0.1072
"DBR-SVM",0.1115,0.1126,0.1128,0.1109,0.113,0.1144,0.1196,0.1176,0.1164,0.1144
"EBR-SVM",0.2081,0.2081,0.203,0.2097,0.2078,0.209,0.2157,0.2163,0.2121,0.2121
"ECC-SVM",0.1827,0.1844,0.1789,0.1834,0.1863,0.1876,0.1931,0.1887,0.1912,0.1821
"MBR-SVM",0.113,0.1164,0.1136,0.1125,0.1136,0.111,0.1123,0.1198,0.12,0.1121
"NS-SVM",0.1054,0.0318,0.1063,0.1032,0.1053,0.106,0.1042,0.1103,0.1104,0.105
"PruDent-SVM",0.0977,0.1036,0.1022,0.1052,0.1064,0.0989,0.0994,0.105,0.1039,0.0994
"RDBR-SVM",0.1254,0.1202,0.1211,0.1219,0.1222,0.1228,0.1265,0.1269,0.1243,0.1224
"BR-SVMt",0.0982,0.096,0.0995,0.1004,0.0913,0.0962,0.1018,0.1064,0.1039,0.0972
"BR+-SVMt",0.1218,0.1169,0.1145,0.1128,0.1205,0.1201,0.1271,0.1194,0.124,0.1159
"CC-SVMt",0.1097,0.1081,0.1127,0.1079,0.1013,0.1127,0.1145,0.1191,0.1113,0.1114
"DBR-SVMt",0.1094,0.1125,0.1086,0.1068,0.1192,0.1157,0.1209,0.1158,0.1164,0.1122
"EBR-SVMt",0.2036,0.2153,0.2038,0.2112,0.1935,0.1849,0.1958,0.2157,0.1936,0.1974
